x,y,value
0.0,83.0,1.0
1.0,69.0,1.0
1.0,93.0,1.0
2.0,69.0,1.0
2.0,90.0,1.0
3.0,4.0,1.0
3.0,5.0,1.0
3.0,82.0,1.0
4.0,57.0,1.0
4.0,71.0,1.0
4.0,73.0,1.0
4.0,76.0,1.0
4.0,80.0,1.0
4.0,86.0,0.266667
4.0,91.0,1.0
4.0,96.0,1.0
4.0,97.0,2.0
5.0,11.0,1.0
5.0,72.0,1.0
5.0,73.0,1.0
5.0,90.0,1.0
5.0,91.0,1.0
6.0,37.0,1.0
6.0,85.0,1.0
6.0,96.0,1.0
6.0,97.0,0.844444
7.0,10.0,1.0
7.0,31.0,1.0
7.0,82.0,1.0
7.0,96.0,3.0
8.0,42.0,1.0
8.0,85.0,0.2
8.0,94.0,2.0
8.0,97.0,0.844444
9.0,75.0,1.0
9.0,76.0,0.844444
9.0,77.0,1.0
9.0,84.0,1.0
10.0,21.0,2.0
10.0,33.0,1.0
10.0,61.0,1.0
10.0,66.0,1.0
10.0,68.0,0.844444
10.0,85.0,1.0
11.0,35.0,1.0
11.0,37.0,2.0
11.0,86.0,1.0
11.0,91.0,1.0
12.0,58.0,1.533333
12.0,67.0,1.0
12.0,72.0,1.0
12.0,85.0,2.0
12.0,90.0,1.0
13.0,66.0,1.0
13.0,69.0,1.0
13.0,74.0,1.0
13.0,86.0,2.0
13.0,88.0,1.0
13.0,89.0,1.0
13.0,90.0,1.0
13.0,92.0,0.2
13.0,93.0,2.0
13.0,94.0,0.2
13.0,95.0,0.2
14.0,73.0,1.0
14.0,86.0,1.0
14.0,95.0,0.677778
15.0,70.0,1.0
15.0,86.0,1.0
15.0,95.0,1.0
15.0,96.0,1.0
16.0,9.0,0.766667
16.0,85.0,0.977778
17.0,43.0,0.766667
17.0,67.0,1.0
17.0,71.0,1.0
17.0,90.0,1.0
17.0,91.0,1.0
18.0,11.0,1.0
18.0,25.0,1.0
18.0,56.0,1.0
18.0,72.0,1.0
18.0,93.0,2.0
18.0,95.0,1.0
19.0,53.0,1.0
19.0,93.0,1.0
19.0,95.0,1.0
20.0,82.0,1.0
20.0,87.0,1.0
20.0,90.0,2.0
20.0,92.0,0.5
21.0,22.0,1.0
21.0,41.0,0.744444
21.0,64.0,1.0
