x,y,value
2.0,39.0,1.0
2.0,57.0,1.0
2.0,59.0,1.0
2.0,60.0,0.833333
3.0,32.0,1.0
3.0,59.0,1.0
4.0,65.0,0.8
5.0,37.0,1.0
5.0,44.0,1.0
6.0,12.0,1.0
6.0,23.0,1.0
6.0,87.0,1.0
7.0,46.0,1.0
8.0,28.0,0.922222
8.0,37.0,0.966667
8.0,42.0,1.0
8.0,45.0,0.755556
8.0,71.0,0.844444
9.0,16.0,0.8
9.0,29.0,1.0
9.0,50.0,0.5
9.0,89.0,0.288889
9.0,92.0,1.0
9.0,93.0,1.0
10.0,5.0,1.0
10.0,44.0,1.288889
10.0,61.0,0.9
11.0,33.0,0.844444
11.0,42.0,1.0
11.0,43.0,1.0
11.0,48.0,1.0
11.0,49.0,1.0
11.0,55.0,1.811111
11.0,60.0,1.0
11.0,88.0,1.0
12.0,16.0,0.733333
12.0,24.0,0.988889
12.0,25.0,0.922222
12.0,34.0,2.688889
12.0,43.0,1.8
12.0,44.0,0.966667
12.0,45.0,1.0
12.0,52.0,0.922222
12.0,57.0,1.0
13.0,14.0,0.8
13.0,18.0,1.0
13.0,22.0,1.0
13.0,28.0,1.922222
13.0,36.0,0.333333
13.0,38.0,1.0
13.0,39.0,1.0
13.0,45.0,1.0
13.0,49.0,1.0
13.0,54.0,2.266667
13.0,60.0,0.733333
13.0,75.0,0.844444
14.0,12.0,1.0
14.0,17.0,0.8
14.0,28.0,0.988889
14.0,45.0,0.288889
14.0,49.0,0.966667
14.0,51.0,1.8
14.0,64.0,0.988889
14.0,66.0,1.488889
15.0,6.0,1.0
15.0,9.0,1.0
15.0,19.0,0.622222
15.0,23.0,0.844444
15.0,45.0,0.8
15.0,46.0,0.988889
15.0,71.0,0.844444
15.0,88.0,1.0
16.0,28.0,1.0
16.0,31.0,1.0
16.0,32.0,0.833333
16.0,49.0,1.0
16.0,50.0,1.0
16.0,59.0,1.0
16.0,86.0,0.733333
17.0,13.0,1.0
17.0,21.0,0.988889
17.0,48.0,0.988889
17.0,70.0,0.755556
18.0,12.0,1.0
18.0,14.0,0.733333
18.0,48.0,2.0
18.0,67.0,2.0
19.0,22.0,0.988889
19.0,26.0,0.988889
19.0,29.0,0.866667
19.0,30.0,2.0
19.0,45.0,0.755556
19.0,47.0,0.922222
19.0,64.0,1.0
19.0,68.0,0.5
20.0,5.0,0.988889
20.0,22.0,1.0
20.0,27.0,2.0
20.0,28.0,1.0
20.0,43.0,0.911111
20.0,70.0,1.688889
21.0,15.0,1.0
21.0,24.0,0.8
21.0,26.0,1.0
21.0,35.0,1.911111
21.0,38.0,0.622222
21.0,41.0,1.0
21.0,47.0,0.988889
21.0,54.0,1.0
21.0,61.0,1.0
21.0,69.0,1.0
21.0,71.0,1.0
21.0,72.0,0.8
21.0,82.0,1.0
22.0,10.0,1.0
22.0,16.0,0.8
22.0,20.0,0.8
22.0,28.0,1.0
22.0,30.0,0.988889
22.0,33.0,1.0
22.0,46.0,1.0
22.0,52.0,1.0
22.0,58.0,0.844444
22.0,72.0,1.0
22.0,75.0,0.833333
23.0,5.0,0.866667
23.0,6.0,1.0
23.0,22.0,0.988889
23.0,25.0,1.0
23.0,27.0,0.8
23.0,28.0,0.8
23.0,29.0,1.688889
23.0,36.0,0.911111
23.0,37.0,1.0
23.0,41.0,1.866667
23.0,42.0,0.866667
23.0,45.0,0.922222
23.0,72.0,1.0
24.0,8.0,0.833333
24.0,10.0,1.0
24.0,11.0,1.0
24.0,13.0,0.8
24.0,17.0,1.0
24.0,21.0,1.0
24.0,23.0,1.0
24.0,35.0,1.733333
24.0,48.0,1.0
24.0,54.0,1.822222
24.0,56.0,0.911111
24.0,57.0,1.0
24.0,62.0,1.0
24.0,63.0,1.0
24.0,67.0,2.0
24.0,82.0,1.0
24.0,85.0,1.0
25.0,10.0,1.0
25.0,13.0,1.0
25.0,20.0,3.455556
25.0,26.0,1.866667
25.0,32.0,1.0
25.0,42.0,1.0
25.0,44.0,1.0
25.0,49.0,0.911111
25.0,61.0,0.922222
25.0,68.0,1.0
25.0,70.0,0.911111
25.0,79.0,0.988889
26.0,10.0,1.0
26.0,11.0,1.0
26.0,18.0,2.0
26.0,27.0,2.0
26.0,32.0,1.0
26.0,33.0,1.0
26.0,36.0,1.0
26.0,37.0,1.0
26.0,43.0,1.0
26.0,45.0,0.755556
26.0,48.0,0.333333
26.0,52.0,1.0
26.0,56.0,1.0
26.0,62.0,1.0
26.0,65.0,1.0
26.0,67.0,1.0
26.0,71.0,2.0
26.0,76.0,0.733333
26.0,88.0,0.622222
27.0,9.0,0.922222
27.0,12.0,1.0
27.0,14.0,1.0
27.0,22.0,2.966667
27.0,27.0,1.688889
27.0,28.0,1.0
27.0,33.0,0.844444
27.0,34.0,1.0
27.0,35.0,0.833333
27.0,39.0,1.0
27.0,40.0,0.8
27.0,44.0,1.0
27.0,52.0,1.0
27.0,53.0,0.8
27.0,66.0,0.922222
27.0,67.0,1.922222
27.0,69.0,0.966667
27.0,71.0,0.844444
27.0,75.0,0.866667
27.0,76.0,1.0
27.0,77.0,0.844444
27.0,78.0,0.988889
28.0,7.0,2.0
28.0,17.0,1.0
28.0,24.0,1.0
28.0,27.0,0.288889
28.0,28.0,0.866667
28.0,32.0,1.0
28.0,34.0,2.0
28.0,35.0,1.0
