x,y,value
1.0,13.0,1.0
1.0,24.0,1.0
1.0,71.0,2.0
1.0,77.0,0.877778
1.0,81.0,1.0
2.0,25.0,1.0
2.0,28.0,5.0
2.0,30.0,1.0
2.0,36.0,0.833333
2.0,53.0,0.877778
2.0,54.0,1.0
2.0,58.0,1.0
2.0,67.0,1.0
3.0,13.0,1.0
3.0,22.0,0.833333
3.0,24.0,1.0
3.0,37.0,1.0
3.0,40.0,1.0
3.0,60.0,1.0
3.0,66.0,1.0
3.0,67.0,0.833333
3.0,68.0,1.0
3.0,84.0,1.0
4.0,2.0,1.0
4.0,8.0,1.0
4.0,10.0,2.0
4.0,14.0,1.0
4.0,16.0,1.0
4.0,17.0,0.833333
4.0,19.0,1.0
4.0,31.0,0.8
4.0,41.0,1.0
4.0,43.0,2.0
4.0,53.0,1.755556
4.0,54.0,0.788889
4.0,59.0,1.666667
4.0,71.0,1.0
5.0,4.0,0.922222
5.0,16.0,1.0
5.0,24.0,2.0
5.0,38.0,1.0
5.0,41.0,0.833333
5.0,55.0,1.0
5.0,64.0,1.0
5.0,71.0,1.0
5.0,88.0,1.0
5.0,90.0,0.788889
6.0,38.0,2.0
6.0,42.0,1.0
6.0,47.0,1.0
6.0,51.0,1.0
6.0,59.0,1.0
6.0,61.0,1.0
6.0,73.0,0.833333
6.0,75.0,1.0
6.0,87.0,2.0
6.0,94.0,1.0
7.0,5.0,0.922222
7.0,21.0,1.0
7.0,31.0,1.0
7.0,41.0,1.8
7.0,50.0,1.0
7.0,54.0,2.0
7.0,57.0,2.0
7.0,58.0,1.833333
7.0,63.0,1.377778
7.0,87.0,1.0
7.0,95.0,1.0
8.0,6.0,1.0
8.0,10.0,2.0
8.0,13.0,0.833333
8.0,17.0,1.877778
8.0,34.0,0.877778
8.0,40.0,0.822222
8.0,41.0,1.0
8.0,43.0,1.0
8.0,44.0,1.0
8.0,45.0,2.0
8.0,46.0,2.0
8.0,48.0,2.0
8.0,60.0,1.0
8.0,70.0,4.0
8.0,86.0,0.788889
9.0,33.0,0.877778
9.0,34.0,0.877778
9.0,37.0,1.0
9.0,38.0,1.0
9.0,47.0,1.0
9.0,49.0,1.0
9.0,51.0,0.977778
9.0,60.0,2.0
9.0,65.0,0.922222
9.0,66.0,1.0
9.0,72.0,0.877778
9.0,81.0,2.0
9.0,91.0,1.0
10.0,27.0,0.833333
10.0,29.0,0.833333
10.0,30.0,1.0
10.0,37.0,0.922222
10.0,39.0,2.0
10.0,43.0,1.0
10.0,46.0,1.0
10.0,48.0,1.0
10.0,56.0,1.788889
10.0,57.0,1.0
10.0,59.0,1.0
10.0,63.0,2.0
10.0,68.0,1.0
10.0,75.0,1.0
10.0,76.0,1.0
10.0,89.0,1.0
11.0,7.0,1.0
11.0,11.0,1.0
11.0,14.0,1.644444
11.0,27.0,1.0
11.0,31.0,1.0
11.0,32.0,1.644444
11.0,40.0,2.0
11.0,45.0,1.0
11.0,51.0,1.0
11.0,52.0,2.0
11.0,56.0,2.0
11.0,71.0,1.0
11.0,72.0,0.877778
11.0,85.0,1.0
12.0,4.0,1.0
12.0,5.0,1.0
12.0,7.0,1.0
12.0,9.0,0.5
12.0,10.0,1.0
12.0,22.0,1.0
12.0,29.0,0.833333
12.0,35.0,1.0
12.0,38.0,2.0
12.0,40.0,2.0
12.0,42.0,1.0
12.0,46.0,1.0
12.0,53.0,1.0
12.0,61.0,1.0
12.0,65.0,1.0
12.0,66.0,1.0
12.0,88.0,1.0
12.0,98.0,0.9
13.0,11.0,1.0
13.0,14.0,1.0
13.0,16.0,3.0
13.0,17.0,1.0
13.0,26.0,1.0
13.0,29.0,1.0
13.0,33.0,1.0
13.0,42.0,3.0
13.0,49.0,1.0
13.0,52.0,1.0
13.0,54.0,0.833333
13.0,59.0,1.0
13.0,63.0,1.0
13.0,68.0,0.8
13.0,86.0,1.0
13.0,90.0,1.0
13.0,94.0,1.0
13.0,95.0,0.9
14.0,20.0,1.0
14.0,24.0,1.0
14.0,25.0,0.822222
14.0,34.0,0.877778
14.0,35.0,1.922222
14.0,36.0,0.977778
14.0,50.0,1.0
14.0,52.0,2.0
14.0,54.0,1.0
14.0,56.0,1.0
14.0,58.0,0.8
14.0,59.0,1.0
15.0,35.0,1.211111
15.0,40.0,1.0
15.0,46.0,0.788889
16.0,3.0,0.833333
16.0,10.0,1.0
16.0,11.0,1.0
16.0,13.0,1.0
16.0,32.0,1.0
16.0,37.0,1.0
16.0,41.0,0.822222
16.0,42.0,1.0
16.0,43.0,1.644444
16.0,45.0,1.0
16.0,86.0,1.0
17.0,6.0,1.0
17.0,13.0,0.833333
17.0,18.0,0.977778
17.0,35.0,0.833333
17.0,36.0,2.0
17.0,43.0,0.833333
17.0,45.0,1.0
17.0,46.0,1.0
17.0,49.0,1.0
17.0,59.0,0.822222
17.0,69.0,1.0
17.0,81.0,1.0
18.0,0.0,1.0
18.0,10.0,1.0
18.0,29.0,0.9
18.0,34.0,0.788889
18.0,38.0,0.833333
18.0,45.0,1.0
18.0,47.0,2.0
18.0,48.0,0.833333
18.0,49.0,0.877778
18.0,52.0,1.0
18.0,53.0,1.0
18.0,55.0,1.0
18.0,79.0,1.0
19.0,11.0,1.0
19.0,20.0,1.0
19.0,24.0,1.0
19.0,32.0,1.0
19.0,34.0,2.0
19.0,45.0,1.0
19.0,46.0,1.0
19.0,50.0,0.833333
19.0,84.0,0.877778
20.0,3.0,1.0
20.0,11.0,0.977778
20.0,15.0,1.0
20.0,18.0,1.0
20.0,26.0,0.877778
20.0,32.0,1.833333
20.0,35.0,1.0
20.0,40.0,1.0
20.0,47.0,1.0
20.0,53.0,1.0
20.0,56.0,1.0
20.0,64.0,0.5
20.0,70.0,1.0
20.0,71.0,1.0
20.0,72.0,0.9
20.0,76.0,1.0
20.0,78.0,1.0
21.0,11.0,1.0
21.0,15.0,1.0
21.0,37.0,1.0
21.0,38.0,0.833333
21.0,41.0,1.0
21.0,54.0,2.977778
21.0,67.0,1.0
22.0,13.0,1.0
22.0,14.0,1.0
22.0,15.0,1.0
22.0,16.0,1.0
22.0,17.0,2.0
22.0,18.0,1.0
22.0,26.0,1.777778
22.0,29.0,1.0
22.0,35.0,1.0
22.0,40.0,1.0
22.0,41.0,1.0
22.0,48.0,3.0
22.0,54.0,1.0
22.0,60.0,1.0
22.0,65.0,1.0
22.0,75.0,0.9
22.0,77.0,1.0
22.0,91.0,0.9
22.0,92.0,1.0
23.0,8.0,0.833333
23.0,10.0,2.0
23.0,12.0,0.9
23.0,17.0,1.0
23.0,20.0,1.0
23.0,23.0,1.0
23.0,24.0,1.0
23.0,28.0,0.788889
23.0,33.0,1.0
23.0,40.0,1.0
23.0,41.0,1.0
23.0,50.0,1.0
23.0,51.0,1.0
23.0,57.0,1.0
23.0,64.0,1.0
23.0,67.0,1.0
23.0,68.0,1.0
23.0,86.0,1.0
24.0,11.0,1.0
24.0,13.0,1.0
24.0,19.0,1.0
24.0,22.0,1.0
24.0,24.0,1.0
24.0,25.0,2.977778
24.0,27.0,2.0
24.0,28.0,0.877778
24.0,34.0,0.822222
24.0,36.0,0.977778
24.0,37.0,1.0
24.0,45.0,1.0
24.0,49.0,0.922222
24.0,50.0,1.0
24.0,56.0,1.0
24.0,58.0,1.0
24.0,65.0,0.833333
24.0,66.0,1.0
24.0,67.0,1.8
24.0,72.0,1.0
24.0,73.0,0.877778
24.0,80.0,1.0
24.0,83.0,1.0
25.0,4.0,1.0
25.0,6.0,1.0
25.0,12.0,1.0
25.0,21.0,0.877778
25.0,28.0,1.0
25.0,33.0,1.0
25.0,36.0,0.922222
25.0,41.0,1.0
25.0,46.0,1.0
25.0,48.0,2.833333
25.0,50.0,1.0
25.0,52.0,0.977778
25.0,55.0,1.611111
25.0,67.0,1.0
