x,y,value
2.0,71.0,1.866667
6.0,90.0,0.688889
7.0,79.0,0.5
8.0,72.0,0.933333
9.0,96.0,1.511111
12.0,60.0,1.144444
12.0,75.0,0.7
12.0,91.0,0.911111
12.0,93.0,0.755556
13.0,39.0,1.6
13.0,62.0,0.788889
13.0,88.0,0.911111
14.0,65.0,0.933333
14.0,86.0,0.944444
14.0,93.0,0.944444
15.0,91.0,0.144444
15.0,97.0,1.733333
16.0,89.0,1.0
16.0,90.0,0.755556
17.0,58.0,0.755556
17.0,94.0,0.944444
18.0,77.0,0.688889
18.0,94.0,1.0
19.0,87.0,0.866667
20.0,42.0,0.8
20.0,90.0,0.933333
21.0,65.0,0.744444
21.0,83.0,0.933333
21.0,88.0,0.866667
21.0,93.0,0.144444
22.0,59.0,0.788889
22.0,74.0,1.0
22.0,78.0,0.277778
22.0,82.0,0.144444
22.0,87.0,0.755556
23.0,39.0,1.511111
23.0,72.0,0.355556
23.0,76.0,0.744444
23.0,77.0,0.933333
24.0,77.0,0.933333
24.0,83.0,1.866667
25.0,65.0,0.855556
25.0,83.0,0.933333
25.0,88.0,0.755556
25.0,92.0,1.0
25.0,95.0,1.544444
26.0,69.0,0.944444
26.0,80.0,2.0
27.0,16.0,0.755556
27.0,54.0,1.711111
27.0,73.0,0.755556
27.0,80.0,0.755556
27.0,87.0,0.866667
28.0,78.0,0.744444
28.0,89.0,0.6
28.0,91.0,0.855556
28.0,92.0,0.7
29.0,77.0,0.788889
29.0,86.0,0.755556
29.0,90.0,0.988889
29.0,93.0,0.933333
29.0,94.0,0.144444
30.0,12.0,0.755556
30.0,39.0,0.988889
30.0,68.0,0.866667
30.0,71.0,0.755556
30.0,74.0,0.866667
30.0,77.0,1.866667
30.0,82.0,0.866667
30.0,87.0,0.911111
30.0,94.0,0.788889
30.0,96.0,0.944444
31.0,9.0,0.755556
31.0,62.0,1.0
31.0,76.0,0.7
31.0,84.0,1.0
31.0,91.0,0.755556
31.0,93.0,1.0
31.0,94.0,0.933333
32.0,63.0,0.744444
32.0,70.0,1.577778
32.0,82.0,0.911111
32.0,88.0,0.933333
32.0,90.0,0.144444
33.0,94.0,0.855556
33.0,96.0,0.866667
34.0,63.0,1.544444
34.0,66.0,0.333333
34.0,68.0,1.0
34.0,88.0,0.988889
34.0,89.0,2.111111
34.0,93.0,0.911111
35.0,70.0,0.744444
35.0,83.0,0.788889
35.0,84.0,1.788889
35.0,92.0,0.988889
35.0,95.0,0.933333
35.0,96.0,0.988889
36.0,7.0,0.8
36.0,72.0,0.944444
36.0,85.0,1.0
36.0,88.0,0.755556
36.0,89.0,0.8
36.0,94.0,1.0
36.0,95.0,0.722222
37.0,49.0,1.0
37.0,61.0,0.744444
37.0,67.0,0.355556
37.0,73.0,0.744444
37.0,79.0,0.755556
37.0,85.0,0.944444
37.0,88.0,0.8
37.0,89.0,0.722222
37.0,93.0,1.6
37.0,95.0,1.911111
37.0,100.0,1.0
38.0,60.0,0.144444
38.0,64.0,1.0
38.0,75.0,0.911111
38.0,80.0,1.088889
38.0,88.0,0.8
38.0,90.0,0.911111
38.0,91.0,0.866667
38.0,92.0,0.355556
38.0,94.0,0.911111
38.0,96.0,1.866667
39.0,61.0,1.0
39.0,67.0,0.788889
39.0,73.0,0.855556
39.0,87.0,0.866667
39.0,89.0,0.788889
39.0,93.0,0.855556
39.0,94.0,0.988889
39.0,96.0,0.911111
40.0,73.0,1.0
40.0,83.0,1.0
40.0,86.0,0.988889
40.0,89.0,0.855556
40.0,91.0,0.355556
40.0,93.0,0.911111
40.0,95.0,0.277778
41.0,7.0,0.988889
41.0,62.0,0.144444
41.0,79.0,1.0
41.0,84.0,0.7
41.0,87.0,0.911111
41.0,88.0,0.5
41.0,90.0,1.0
41.0,94.0,1.0
41.0,95.0,1.0
42.0,9.0,0.988889
42.0,48.0,0.944444
42.0,74.0,1.0
42.0,75.0,0.944444
42.0,92.0,0.8
42.0,93.0,0.788889
42.0,94.0,0.933333
42.0,95.0,0.8
43.0,55.0,0.944444
43.0,56.0,0.144444
43.0,57.0,0.144444
43.0,67.0,0.722222
43.0,72.0,0.744444
43.0,93.0,1.7
43.0,94.0,0.8
43.0,95.0,0.911111
44.0,45.0,0.755556
44.0,58.0,0.7
44.0,63.0,1.711111
44.0,70.0,0.911111
44.0,80.0,1.0
44.0,81.0,0.788889
44.0,84.0,2.311111
44.0,88.0,0.8
44.0,89.0,0.5
44.0,90.0,2.0
44.0,94.0,2.777778
44.0,95.0,0.988889
45.0,39.0,0.5
45.0,46.0,1.0
45.0,89.0,0.911111
45.0,91.0,1.744444
45.0,92.0,1.744444
45.0,93.0,0.944444
45.0,94.0,1.0
45.0,95.0,0.788889
45.0,96.0,0.988889
46.0,45.0,0.988889
46.0,49.0,0.944444
46.0,58.0,0.744444
46.0,66.0,0.944444
46.0,71.0,1.0
46.0,84.0,0.866667
47.0,47.0,0.755556
47.0,57.0,0.866667
47.0,75.0,0.8
47.0,80.0,0.722222
47.0,95.0,0.755556
47.0,96.0,1.944444
48.0,80.0,0.722222
48.0,82.0,0.988889
48.0,86.0,0.211111
48.0,91.0,0.855556
48.0,95.0,0.755556
49.0,49.0,0.866667
49.0,56.0,0.944444
49.0,90.0,0.988889
50.0,97.0,0.755556
50.0,100.0,0.355556
51.0,75.0,0.788889
51.0,83.0,0.855556
52.0,52.0,1.888889
52.0,67.0,0.988889
52.0,69.0,1.722222
52.0,86.0,0.855556
52.0,89.0,0.944444
52.0,94.0,1.211111
53.0,43.0,1.0
53.0,52.0,0.933333
53.0,68.0,0.866667
53.0,71.0,0.988889
53.0,81.0,0.7
53.0,83.0,1.0
53.0,84.0,0.3
53.0,87.0,1.0
53.0,88.0,1.988889
53.0,92.0,3.377778
53.0,93.0,0.333333
54.0,31.0,0.944444
54.0,64.0,0.866667
54.0,65.0,1.0
54.0,76.0,0.722222
54.0,87.0,0.944444
54.0,89.0,0.933333
54.0,93.0,1.611111
54.0,96.0,0.7
55.0,51.0,1.977778
55.0,83.0,0.944444
55.0,84.0,1.111111
55.0,93.0,2.688889
55.0,94.0,1.688889
55.0,96.0,1.0
56.0,80.0,1.0
56.0,81.0,1.0
56.0,85.0,0.8
56.0,86.0,0.333333
56.0,88.0,0.755556
56.0,89.0,1.0
56.0,92.0,0.8
56.0,95.0,0.788889
56.0,96.0,0.7
56.0,100.0,0.933333
57.0,50.0,0.7
57.0,69.0,1.0
57.0,83.0,0.788889
57.0,87.0,2.555556
57.0,89.0,0.8
57.0,93.0,2.344444
57.0,94.0,0.333333
57.0,96.0,0.944444
57.0,97.0,0.355556
58.0,21.0,0.788889
58.0,55.0,1.0
58.0,71.0,1.0
58.0,77.0,1.0
58.0,83.0,0.788889
58.0,84.0,0.722222
58.0,85.0,1.411111
58.0,88.0,0.988889
58.0,89.0,0.788889
58.0,91.0,0.8
58.0,92.0,1.866667
58.0,94.0,1.788889
58.0,95.0,3.7
58.0,96.0,2.588889
59.0,71.0,0.788889
59.0,79.0,0.933333
59.0,83.0,0.744444
59.0,86.0,1.044444
59.0,95.0,4.088889
59.0,96.0,1.422222
59.0,97.0,0.688889
60.0,11.0,0.722222
60.0,61.0,0.722222
60.0,63.0,0.333333
60.0,68.0,1.6
60.0,80.0,0.8
60.0,84.0,0.688889
60.0,85.0,0.944444
60.0,89.0,1.544444
60.0,90.0,1.0
60.0,91.0,0.8
60.0,92.0,0.355556
60.0,93.0,1.288889
60.0,94.0,1.233333
60.0,95.0,1.388889
61.0,63.0,0.7
61.0,74.0,0.333333
61.0,83.0,1.0
61.0,85.0,0.788889
61.0,89.0,1.0
61.0,90.0,2.455556
61.0,93.0,0.933333
61.0,94.0,0.144444
61.0,95.0,0.866667
62.0,39.0,0.944444
62.0,64.0,0.333333
62.0,70.0,0.988889
62.0,74.0,0.333333
62.0,76.0,1.533333
62.0,80.0,0.7
62.0,82.0,0.788889
62.0,86.0,1.766667
62.0,87.0,0.211111
62.0,89.0,1.744444
62.0,90.0,1.7
62.0,93.0,1.844444
62.0,94.0,0.911111
62.0,95.0,0.944444
62.0,96.0,1.344444
63.0,40.0,0.944444
63.0,46.0,0.911111
63.0,71.0,0.277778
63.0,73.0,1.0
63.0,76.0,0.355556
63.0,85.0,1.0
63.0,86.0,0.7
63.0,87.0,0.855556
63.0,88.0,0.933333
63.0,91.0,0.977778
63.0,94.0,1.0
63.0,95.0,1.122222
63.0,96.0,1.677778
64.0,76.0,2.966667
64.0,81.0,0.911111
64.0,84.0,0.8
64.0,88.0,1.855556
64.0,92.0,1.733333
64.0,94.0,0.933333
64.0,95.0,1.7
65.0,54.0,1.0
65.0,66.0,0.7
65.0,69.0,0.744444
65.0,71.0,1.744444
65.0,76.0,0.688889
65.0,85.0,0.7
65.0,86.0,0.788889
65.0,91.0,0.211111
65.0,93.0,0.911111
65.0,94.0,1.477778
65.0,96.0,0.688889
66.0,39.0,1.888889
66.0,53.0,0.211111
66.0,57.0,0.866667
66.0,65.0,0.333333
66.0,68.0,0.7
66.0,70.0,1.7
66.0,71.0,0.944444
66.0,74.0,0.988889
66.0,77.0,0.855556
66.0,82.0,0.744444
66.0,85.0,1.988889
66.0,89.0,0.722222
66.0,95.0,0.944444
66.0,97.0,0.755556
67.0,62.0,0.8
67.0,64.0,1.888889
67.0,69.0,0.355556
67.0,74.0,0.7
67.0,76.0,0.911111
67.0,78.0,0.944444
67.0,79.0,1.0
67.0,80.0,0.944444
67.0,81.0,0.8
67.0,83.0,0.988889
67.0,84.0,0.722222
67.0,85.0,1.0
67.0,86.0,1.0
67.0,87.0,0.7
67.0,88.0,0.8
67.0,89.0,0.755556
67.0,91.0,3.666667
67.0,92.0,1.2
67.0,93.0,0.722222
67.0,94.0,1.688889
67.0,96.0,0.744444
68.0,56.0,0.8
68.0,57.0,1.0
68.0,63.0,0.944444
68.0,73.0,0.8
68.0,80.0,0.722222
68.0,81.0,1.8
68.0,84.0,0.944444
68.0,85.0,0.911111
68.0,91.0,1.711111
68.0,92.0,0.144444
68.0,94.0,1.911111
68.0,95.0,3.666667
68.0,96.0,1.844444
69.0,59.0,0.8
69.0,62.0,0.8
69.0,68.0,0.911111
69.0,74.0,0.755556
69.0,76.0,0.944444
69.0,78.0,0.944444
69.0,79.0,1.722222
69.0,80.0,0.788889
