x,y,value
1.0,30.0,0.622222
1.0,62.0,0.622222
1.0,69.0,1.0
2.0,43.0,0.155556
2.0,48.0,1.0
2.0,53.0,1.0
2.0,75.0,1.0
2.0,81.0,1.0
2.0,95.0,0.133333
3.0,41.0,0.922222
3.0,58.0,0.655556
3.0,72.0,0.388889
3.0,73.0,1.0
3.0,86.0,0.244444
3.0,87.0,0.244444
4.0,34.0,0.966667
4.0,62.0,0.122222
4.0,70.0,0.955556
4.0,75.0,1.0
4.0,81.0,0.966667
4.0,84.0,1.0
4.0,97.0,0.455556
5.0,32.0,0.333333
5.0,67.0,0.388889
5.0,70.0,1.0
5.0,75.0,1.0
5.0,77.0,1.966667
5.0,83.0,0.966667
5.0,87.0,0.155556
5.0,89.0,0.322222
5.0,90.0,1.0
5.0,100.0,0.133333
6.0,38.0,1.0
6.0,57.0,0.388889
6.0,67.0,0.922222
6.0,71.0,0.955556
6.0,78.0,1.0
7.0,50.0,0.388889
7.0,57.0,0.388889
7.0,61.0,1.0
7.0,77.0,0.388889
7.0,78.0,0.622222
7.0,82.0,0.955556
7.0,86.0,0.955556
7.0,91.0,0.922222
7.0,93.0,0.322222
7.0,100.0,0.955556
8.0,52.0,0.9
8.0,53.0,1.0
8.0,56.0,1.0
8.0,67.0,1.0
8.0,70.0,0.955556
8.0,71.0,0.388889
8.0,85.0,0.922222
8.0,94.0,1.233333
8.0,100.0,0.277778
9.0,53.0,0.577778
9.0,62.0,1.966667
9.0,64.0,0.577778
9.0,65.0,0.388889
9.0,71.0,0.322222
9.0,75.0,0.133333
9.0,76.0,1.0
9.0,86.0,1.0
9.0,90.0,2.0
9.0,92.0,0.277778
9.0,94.0,0.966667
9.0,96.0,1.0
9.0,100.0,0.122222
10.0,61.0,1.0
10.0,72.0,1.0
10.0,82.0,0.955556
11.0,46.0,0.922222
11.0,58.0,0.955556
11.0,68.0,0.922222
11.0,82.0,1.0
11.0,90.0,1.0
11.0,97.0,0.966667
11.0,100.0,1.911111
12.0,21.0,0.966667
12.0,85.0,0.277778
12.0,88.0,1.0
12.0,91.0,0.277778
12.0,93.0,0.622222
12.0,96.0,0.133333
12.0,100.0,1.544444
13.0,75.0,1.0
13.0,88.0,0.322222
13.0,90.0,0.388889
13.0,92.0,0.622222
13.0,94.0,0.922222
13.0,95.0,1.0
13.0,96.0,0.333333
13.0,100.0,1.0
14.0,35.0,0.955556
14.0,80.0,1.311111
14.0,83.0,0.122222
14.0,86.0,0.322222
14.0,90.0,0.955556
14.0,92.0,1.0
14.0,93.0,0.733333
14.0,100.0,0.388889
15.0,63.0,0.244444
15.0,66.0,0.5
15.0,70.0,1.0
15.0,71.0,0.922222
15.0,79.0,0.5
15.0,84.0,0.133333
15.0,95.0,0.955556
15.0,96.0,0.955556
15.0,100.0,1.0
16.0,87.0,0.955556
16.0,93.0,0.644444
16.0,94.0,1.322222
17.0,57.0,0.733333
