x,y,value
3.0,16.0,1.0
5.0,2.0,0.933333
5.0,74.0,1.0
6.0,15.0,1.0
6.0,16.0,1.0
7.0,80.0,1.0
8.0,20.0,1.0
9.0,6.0,1.0
9.0,18.0,1.0
10.0,8.0,1.0
10.0,9.0,0.888889
10.0,28.0,1.0
10.0,55.0,1.0
11.0,9.0,1.0
11.0,16.0,2.0
11.0,27.0,1.0
11.0,28.0,1.0
12.0,3.0,0.633333
12.0,14.0,0.988889
12.0,15.0,1.0
12.0,20.0,1.0
13.0,4.0,1.633333
13.0,9.0,0.888889
13.0,10.0,1.0
13.0,11.0,1.0
13.0,32.0,1.0
13.0,36.0,0.888889
14.0,16.0,1.0
14.0,37.0,1.0
14.0,38.0,1.0
15.0,32.0,0.5
16.0,7.0,1.0
16.0,20.0,1.0
16.0,25.0,1.0
17.0,1.0,1.0
17.0,10.0,0.633333
17.0,26.0,0.977778
18.0,6.0,1.0
18.0,10.0,1.0
18.0,13.0,1.0
18.0,22.0,1.0
18.0,30.0,1.0
18.0,34.0,1.0
19.0,7.0,1.0
19.0,10.0,0.633333
19.0,49.0,1.0
20.0,12.0,1.0
20.0,22.0,0.5
20.0,26.0,1.0
20.0,67.0,1.0
21.0,13.0,1.0
21.0,14.0,1.0
22.0,6.0,0.888889
22.0,8.0,1.0
22.0,9.0,1.866667
22.0,13.0,1.0
22.0,34.0,1.0
22.0,48.0,1.0
23.0,0.0,1.0
23.0,1.0,1.0
23.0,7.0,1.977778
23.0,12.0,1.0
23.0,18.0,0.888889
23.0,30.0,0.988889
23.0,33.0,0.844444
23.0,45.0,1.0
23.0,59.0,0.977778
24.0,7.0,0.933333
24.0,13.0,1.0
24.0,18.0,1.0
24.0,20.0,1.0
24.0,39.0,0.988889
25.0,5.0,1.966667
25.0,8.0,0.844444
25.0,12.0,1.0
25.0,13.0,1.0
25.0,27.0,1.0
25.0,28.0,1.833333
25.0,30.0,1.0
26.0,5.0,1.0
26.0,8.0,1.0
26.0,10.0,1.0
26.0,17.0,1.0
26.0,23.0,0.5
26.0,25.0,2.0
26.0,28.0,0.788889
26.0,30.0,1.0
26.0,33.0,1.0
26.0,55.0,0.977778
26.0,68.0,0.788889
27.0,4.0,1.0
27.0,6.0,1.0
27.0,7.0,1.0
27.0,9.0,1.0
27.0,10.0,0.988889
27.0,13.0,1.0
27.0,18.0,1.0
27.0,25.0,1.633333
27.0,56.0,0.977778
27.0,66.0,0.977778
27.0,95.0,1.0
28.0,6.0,1.0
28.0,12.0,1.0
28.0,13.0,1.0
28.0,14.0,1.0
28.0,16.0,1.577778
28.0,19.0,0.988889
28.0,22.0,1.633333
28.0,30.0,1.866667
28.0,35.0,1.0
28.0,38.0,1.0
29.0,0.0,1.0
29.0,2.0,0.5
29.0,3.0,0.977778
29.0,4.0,1.0
29.0,5.0,3.0
29.0,9.0,1.0
29.0,21.0,1.0
29.0,25.0,1.0
29.0,45.0,0.977778
30.0,2.0,1.0
30.0,4.0,0.788889
30.0,10.0,1.0
30.0,59.0,1.0
30.0,62.0,0.844444
30.0,63.0,0.844444
31.0,5.0,0.888889
31.0,7.0,0.888889
31.0,8.0,1.5
31.0,9.0,1.0
31.0,10.0,1.0
31.0,22.0,0.966667
31.0,26.0,0.844444
31.0,27.0,1.0
31.0,33.0,1.0
31.0,41.0,0.988889
31.0,54.0,0.788889
32.0,5.0,1.0
32.0,6.0,1.0
32.0,27.0,0.844444
32.0,42.0,0.988889
32.0,45.0,1.0
32.0,51.0,1.955556
33.0,4.0,1.0
33.0,5.0,2.0
33.0,6.0,1.0
33.0,8.0,0.788889
33.0,10.0,1.0
33.0,13.0,0.933333
33.0,18.0,1.0
33.0,22.0,1.0
33.0,27.0,1.0
33.0,30.0,1.0
33.0,33.0,0.933333
33.0,45.0,0.888889
33.0,50.0,1.0
34.0,3.0,1.0
34.0,4.0,1.0
34.0,7.0,1.0
34.0,10.0,2.0
34.0,12.0,1.977778
34.0,19.0,2.988889
34.0,22.0,1.0
34.0,23.0,3.0
34.0,53.0,1.0
35.0,1.0,1.0
35.0,2.0,1.0
35.0,3.0,1.0
35.0,7.0,1.0
35.0,9.0,2.888889
35.0,14.0,1.933333
35.0,19.0,1.0
35.0,20.0,3.0
35.0,26.0,0.977778
35.0,27.0,1.0
35.0,28.0,0.633333
36.0,3.0,1.0
36.0,5.0,2.0
36.0,6.0,1.0
36.0,8.0,1.0
36.0,10.0,2.0
36.0,12.0,2.0
36.0,15.0,0.788889
36.0,16.0,1.0
36.0,20.0,1.0
36.0,28.0,0.933333
36.0,30.0,0.988889
36.0,32.0,0.788889
36.0,33.0,0.844444
36.0,35.0,1.777778
36.0,54.0,1.0
37.0,3.0,0.844444
37.0,5.0,2.0
37.0,6.0,0.844444
37.0,7.0,1.0
37.0,11.0,2.0
37.0,12.0,1.0
37.0,13.0,1.0
37.0,16.0,2.0
37.0,18.0,1.933333
37.0,20.0,1.0
37.0,23.0,1.0
37.0,26.0,1.0
37.0,27.0,1.788889
38.0,2.0,1.0
38.0,3.0,1.0
38.0,4.0,1.0
38.0,5.0,1.0
38.0,7.0,1.0
38.0,8.0,2.933333
38.0,9.0,1.0
38.0,10.0,0.788889
38.0,14.0,0.844444
38.0,18.0,1.0
38.0,20.0,2.0
38.0,27.0,1.0
38.0,28.0,0.788889
38.0,29.0,0.977778
38.0,31.0,0.5
39.0,4.0,1.0
39.0,5.0,1.0
39.0,6.0,2.0
39.0,7.0,1.0
39.0,8.0,1.0
39.0,9.0,0.788889
39.0,12.0,2.0
39.0,13.0,1.0
39.0,14.0,1.0
39.0,15.0,1.0
39.0,19.0,1.0
39.0,24.0,0.933333
39.0,25.0,1.0
39.0,30.0,1.0
39.0,35.0,1.0
40.0,3.0,1.0
40.0,4.0,1.0
40.0,9.0,1.0
40.0,10.0,3.0
40.0,11.0,1.966667
40.0,18.0,1.977778
40.0,21.0,2.0
40.0,23.0,1.0
40.0,25.0,1.0
40.0,27.0,0.977778
40.0,34.0,1.0
41.0,7.0,2.0
41.0,8.0,1.0
41.0,11.0,1.888889
41.0,12.0,0.977778
41.0,16.0,1.0
41.0,23.0,1.0
41.0,27.0,1.0
41.0,28.0,1.0
41.0,52.0,3.0
42.0,2.0,1.0
42.0,6.0,2.0
42.0,10.0,2.877778
42.0,11.0,0.966667
42.0,14.0,2.0
42.0,22.0,2.0
42.0,25.0,0.888889
42.0,31.0,2.0
42.0,42.0,0.844444
43.0,5.0,1.0
43.0,7.0,1.0
43.0,9.0,0.988889
43.0,13.0,1.0
43.0,16.0,1.888889
43.0,20.0,1.0
43.0,23.0,1.0
44.0,5.0,2.0
44.0,6.0,1.0
44.0,7.0,1.0
44.0,8.0,2.0
44.0,11.0,1.788889
44.0,12.0,0.888889
44.0,14.0,1.888889
44.0,22.0,1.933333
44.0,24.0,1.0
44.0,25.0,1.0
44.0,31.0,1.0
44.0,34.0,1.0
44.0,37.0,0.977778
45.0,5.0,3.0
45.0,10.0,1.0
45.0,14.0,1.0
45.0,22.0,1.0
45.0,23.0,0.966667
45.0,24.0,0.966667
45.0,34.0,1.0
45.0,36.0,1.0
45.0,38.0,0.966667
46.0,1.0,1.0
46.0,4.0,1.966667
46.0,10.0,1.522222
46.0,12.0,1.0
46.0,15.0,2.0
46.0,34.0,1.0
47.0,2.0,1.344444
47.0,6.0,0.844444
47.0,7.0,0.933333
47.0,9.0,1.0
47.0,11.0,0.844444
47.0,15.0,1.0
47.0,18.0,1.0
47.0,20.0,1.0
47.0,28.0,1.0
47.0,30.0,1.0
48.0,5.0,0.977778
48.0,8.0,1.0
48.0,10.0,1.0
48.0,11.0,1.0
48.0,12.0,0.888889
48.0,14.0,1.0
48.0,16.0,0.888889
48.0,20.0,1.0
48.0,28.0,0.977778
49.0,6.0,1.0
49.0,7.0,1.0
49.0,8.0,1.0
49.0,21.0,1.0
49.0,26.0,1.0
49.0,32.0,1.0
50.0,3.0,1.0
50.0,7.0,1.0
50.0,10.0,1.0
50.0,19.0,0.888889
50.0,23.0,1.0
50.0,24.0,1.0
51.0,4.0,2.0
51.0,8.0,0.977778
51.0,11.0,1.0
51.0,12.0,0.933333
51.0,14.0,2.0
51.0,19.0,1.0
52.0,3.0,2.0
52.0,10.0,1.0
52.0,26.0,1.0
52.0,28.0,0.977778
53.0,4.0,0.888889
53.0,7.0,1.0
53.0,21.0,1.0
53.0,22.0,1.0
53.0,35.0,1.0
53.0,42.0,1.0
54.0,4.0,1.5
54.0,5.0,2.788889
54.0,6.0,1.0
54.0,7.0,1.0
54.0,8.0,1.0
54.0,9.0,2.0
54.0,11.0,2.777778
54.0,12.0,2.0
54.0,14.0,0.888889
54.0,19.0,0.977778
54.0,20.0,1.0
54.0,25.0,1.0
54.0,27.0,1.0
55.0,3.0,1.0
55.0,6.0,1.0
55.0,7.0,1.0
55.0,8.0,1.844444
55.0,10.0,1.0
55.0,11.0,1.0
55.0,13.0,1.888889
55.0,14.0,0.988889
55.0,15.0,1.0
55.0,18.0,0.844444
55.0,22.0,1.0
55.0,23.0,2.0
55.0,28.0,1.0
55.0,38.0,0.844444
56.0,3.0,3.8
56.0,4.0,1.0
56.0,5.0,2.0
56.0,6.0,1.0
56.0,7.0,0.977778
56.0,8.0,1.0
56.0,9.0,1.0
56.0,10.0,1.0
56.0,11.0,1.0
56.0,14.0,2.0
56.0,17.0,0.844444
56.0,37.0,1.0
56.0,46.0,0.977778
57.0,7.0,2.6
57.0,14.0,2.0
57.0,15.0,1.0
57.0,17.0,1.0
57.0,18.0,1.0
57.0,19.0,0.788889
57.0,20.0,0.966667
57.0,28.0,1.877778
57.0,49.0,1.0
58.0,6.0,2.0
58.0,7.0,1.0
58.0,10.0,1.0
58.0,13.0,0.933333
58.0,18.0,1.0
58.0,19.0,1.788889
59.0,2.0,0.977778
59.0,3.0,0.844444
59.0,4.0,1.0
59.0,5.0,1.844444
59.0,6.0,1.0
59.0,7.0,1.0
59.0,9.0,4.0
59.0,10.0,0.966667
59.0,11.0,0.977778
59.0,15.0,1.0
59.0,16.0,1.0
59.0,20.0,1.5
59.0,24.0,1.0
59.0,27.0,1.0
59.0,30.0,2.0
59.0,36.0,1.0
59.0,58.0,0.977778
60.0,4.0,1.0
60.0,7.0,1.0
60.0,9.0,2.0
60.0,10.0,2.0
60.0,11.0,3.0
60.0,13.0,2.0
60.0,14.0,0.788889
60.0,16.0,1.0
60.0,17.0,1.5
60.0,22.0,1.844444
60.0,25.0,0.888889
60.0,29.0,1.0
60.0,31.0,1.0
60.0,33.0,0.633333
60.0,36.0,1.844444
60.0,38.0,1.0
60.0,53.0,1.0
61.0,0.0,2.0
61.0,2.0,0.988889
61.0,3.0,1.822222
61.0,4.0,1.788889
61.0,7.0,2.0
61.0,8.0,2.0
61.0,9.0,1.0
61.0,10.0,0.977778
61.0,11.0,0.633333
61.0,13.0,0.633333
61.0,20.0,3.0
61.0,21.0,1.0
61.0,22.0,1.966667
61.0,23.0,1.0
61.0,25.0,1.0
61.0,27.0,1.0
61.0,28.0,1.0
61.0,29.0,0.966667
61.0,31.0,1.0
61.0,37.0,1.0
61.0,39.0,1.0
61.0,40.0,1.0
61.0,44.0,0.888889
61.0,53.0,1.0
62.0,0.0,1.0
62.0,2.0,1.0
62.0,3.0,2.0
62.0,4.0,1.0
62.0,6.0,1.0
62.0,8.0,1.0
62.0,10.0,1.5
62.0,13.0,1.0
62.0,21.0,0.633333
62.0,22.0,1.0
62.0,24.0,1.0
62.0,26.0,0.888889
62.0,27.0,1.0
62.0,28.0,1.688889
62.0,33.0,0.788889
62.0,75.0,1.0
62.0,80.0,1.0
63.0,1.0,1.0
63.0,2.0,1.944444
63.0,3.0,2.6
63.0,4.0,1.0
63.0,5.0,3.0
63.0,6.0,0.844444
63.0,7.0,1.0
63.0,8.0,1.933333
63.0,9.0,1.0
63.0,12.0,1.888889
63.0,14.0,0.888889
63.0,19.0,3.0
63.0,20.0,1.0
63.0,23.0,1.0
63.0,27.0,1.0
63.0,30.0,0.966667
63.0,37.0,0.977778
64.0,1.0,0.844444
64.0,2.0,1.977778
64.0,6.0,4.888889
64.0,7.0,1.0
64.0,8.0,3.933333
64.0,10.0,2.0
64.0,17.0,2.566667
64.0,21.0,1.0
64.0,22.0,1.933333
64.0,31.0,1.0
64.0,35.0,1.0
64.0,75.0,1.0
65.0,0.0,0.977778
65.0,2.0,2.322222
65.0,4.0,1.844444
65.0,5.0,3.977778
65.0,6.0,4.888889
65.0,9.0,1.0
65.0,12.0,1.933333
65.0,15.0,3.777778
65.0,18.0,1.0
65.0,23.0,1.0
65.0,24.0,1.0
65.0,27.0,1.0
65.0,34.0,1.0
65.0,37.0,0.933333
65.0,47.0,2.0
65.0,59.0,1.0
65.0,65.0,1.0
65.0,69.0,1.0
66.0,0.0,1.0
66.0,1.0,1.0
66.0,2.0,1.0
66.0,3.0,3.966667
66.0,4.0,1.0
66.0,5.0,0.633333
66.0,6.0,2.0
66.0,7.0,2.0
66.0,8.0,2.0
66.0,10.0,2.933333
66.0,11.0,1.0
66.0,14.0,1.0
66.0,15.0,0.888889
66.0,16.0,1.0
66.0,18.0,3.0
66.0,19.0,1.0
66.0,20.0,0.788889
66.0,22.0,4.0
66.0,23.0,1.0
66.0,26.0,1.0
66.0,30.0,2.0
66.0,32.0,1.0
66.0,33.0,1.0
66.0,34.0,1.0
66.0,37.0,1.0
66.0,41.0,0.977778
66.0,47.0,0.977778
66.0,51.0,0.977778
66.0,53.0,0.844444
66.0,70.0,1.0
66.0,77.0,0.933333
66.0,84.0,1.0
67.0,2.0,2.0
67.0,3.0,3.966667
67.0,4.0,1.0
67.0,5.0,1.0
67.0,6.0,1.966667
67.0,7.0,2.0
67.0,8.0,1.844444
67.0,9.0,2.966667
67.0,10.0,0.633333
67.0,13.0,2.9
67.0,14.0,0.788889
67.0,16.0,2.0
67.0,17.0,2.0
67.0,18.0,1.0
67.0,22.0,1.0
67.0,23.0,2.0
67.0,27.0,1.0
67.0,29.0,1.0
67.0,39.0,1.0
67.0,66.0,0.888889
67.0,73.0,1.0
67.0,76.0,0.933333
67.0,94.0,1.0
68.0,3.0,2.0
68.0,4.0,1.0
68.0,5.0,2.0
68.0,6.0,3.933333
68.0,7.0,2.0
68.0,8.0,3.0
68.0,9.0,1.0
68.0,10.0,0.977778
68.0,11.0,1.0
68.0,12.0,1.0
68.0,13.0,1.0
68.0,15.0,0.888889
68.0,16.0,1.0
68.0,17.0,1.0
68.0,20.0,1.633333
68.0,22.0,1.0
68.0,23.0,2.0
68.0,24.0,1.844444
68.0,26.0,0.788889
68.0,28.0,1.0
68.0,29.0,0.966667
68.0,30.0,1.844444
68.0,33.0,1.0
68.0,40.0,1.0
68.0,44.0,1.0
68.0,56.0,1.0
68.0,81.0,1.0
69.0,3.0,0.844444
69.0,4.0,0.988889
69.0,5.0,3.0
69.0,6.0,1.988889
69.0,7.0,2.466667
69.0,9.0,2.755556
69.0,10.0,1.977778
69.0,11.0,0.966667
69.0,13.0,1.788889
69.0,16.0,1.0
69.0,17.0,1.0
69.0,19.0,0.788889
69.0,20.0,1.0
69.0,21.0,1.0
69.0,24.0,1.0
69.0,26.0,2.0
69.0,30.0,1.0
69.0,33.0,1.0
69.0,35.0,1.0
69.0,40.0,1.0
69.0,53.0,2.0
69.0,59.0,1.0
69.0,60.0,1.0
69.0,68.0,1.0
69.0,73.0,0.933333
69.0,83.0,1.0
70.0,0.0,1.0
70.0,2.0,2.455556
70.0,3.0,1.0
70.0,4.0,3.844444
70.0,5.0,1.0
70.0,6.0,3.966667
70.0,7.0,1.0
70.0,10.0,0.844444
70.0,11.0,0.933333
70.0,12.0,1.0
70.0,19.0,1.0
70.0,21.0,1.0
70.0,25.0,1.0
70.0,27.0,0.977778
70.0,28.0,1.0
70.0,35.0,0.5
70.0,36.0,1.0
70.0,47.0,1.0
70.0,73.0,0.977778
70.0,77.0,1.0
70.0,85.0,1.0
70.0,90.0,1.0
70.0,93.0,0.988889
71.0,2.0,1.633333
71.0,3.0,1.0
71.0,4.0,2.977778
71.0,5.0,2.844444
71.0,6.0,1.844444
71.0,7.0,1.0
71.0,9.0,1.0
71.0,11.0,1.0
71.0,12.0,1.988889
71.0,15.0,0.5
71.0,18.0,3.977778
71.0,19.0,1.0
71.0,20.0,1.0
71.0,23.0,0.933333
71.0,24.0,1.0
71.0,25.0,1.933333
71.0,26.0,1.0
71.0,27.0,0.933333
71.0,33.0,1.0
71.0,34.0,0.966667
71.0,35.0,1.0
71.0,36.0,0.788889
71.0,38.0,2.0
71.0,40.0,1.966667
71.0,51.0,1.0
71.0,80.0,1.0
72.0,0.0,1.677778
72.0,2.0,1.0
72.0,4.0,1.0
72.0,6.0,0.977778
72.0,7.0,2.0
72.0,8.0,0.844444
72.0,10.0,3.0
72.0,11.0,1.0
72.0,13.0,1.0
72.0,16.0,0.633333
72.0,17.0,1.0
72.0,18.0,1.0
72.0,19.0,1.788889
72.0,20.0,1.0
72.0,21.0,1.0
72.0,23.0,1.0
72.0,25.0,1.0
72.0,26.0,1.0
72.0,30.0,1.0
72.0,44.0,1.0
73.0,2.0,1.0
73.0,3.0,0.966667
73.0,4.0,1.966667
73.0,5.0,2.0
73.0,6.0,1.855556
73.0,7.0,2.0
73.0,8.0,3.966667
73.0,9.0,1.0
73.0,10.0,1.0
73.0,11.0,1.888889
73.0,13.0,1.0
73.0,15.0,2.888889
73.0,17.0,1.0
73.0,19.0,2.0
73.0,23.0,0.933333
73.0,24.0,1.977778
73.0,31.0,1.0
73.0,32.0,0.5
73.0,34.0,0.788889
73.0,38.0,1.0
73.0,39.0,0.844444
73.0,40.0,0.966667
73.0,41.0,2.0
73.0,42.0,1.0
73.0,44.0,0.844444
73.0,63.0,1.0
73.0,73.0,1.0
73.0,96.0,1.0
73.0,97.0,1.0
74.0,3.0,1.0
74.0,4.0,2.933333
74.0,5.0,2.844444
74.0,6.0,1.0
74.0,7.0,3.0
74.0,8.0,2.0
74.0,10.0,3.844444
74.0,11.0,2.0
74.0,13.0,0.888889
74.0,14.0,1.0
74.0,15.0,1.0
74.0,17.0,0.844444
74.0,18.0,1.0
74.0,21.0,1.0
74.0,23.0,1.811111
74.0,24.0,0.888889
74.0,28.0,0.966667
74.0,33.0,1.0
74.0,35.0,1.0
74.0,38.0,1.0
74.0,39.0,1.0
74.0,40.0,1.0
74.0,52.0,1.0
74.0,54.0,1.0
74.0,57.0,1.0
74.0,84.0,1.0
75.0,0.0,1.0
75.0,1.0,0.633333
75.0,5.0,2.0
75.0,6.0,1.0
75.0,10.0,1.988889
75.0,11.0,2.711111
75.0,12.0,2.0
75.0,14.0,2.0
75.0,17.0,2.0
75.0,18.0,3.0
75.0,22.0,1.0
75.0,23.0,2.0
75.0,26.0,1.0
75.0,27.0,3.933333
75.0,28.0,1.0
75.0,29.0,1.0
75.0,30.0,1.0
75.0,31.0,0.844444
75.0,32.0,1.0
75.0,33.0,1.0
75.0,37.0,2.0
75.0,39.0,1.0
75.0,45.0,2.0
75.0,56.0,0.788889
75.0,61.0,1.0
75.0,63.0,1.0
75.0,76.0,0.5
76.0,0.0,1.0
76.0,2.0,1.0
76.0,4.0,3.8
76.0,5.0,3.0
76.0,6.0,2.0
76.0,7.0,1.0
76.0,8.0,1.0
76.0,10.0,1.888889
76.0,11.0,1.888889
76.0,15.0,1.0
76.0,18.0,0.844444
76.0,19.0,3.0
76.0,20.0,2.0
76.0,21.0,0.633333
76.0,22.0,1.0
76.0,23.0,1.0
76.0,24.0,1.0
76.0,26.0,1.0
76.0,30.0,1.0
76.0,32.0,1.0
76.0,34.0,0.844444
76.0,38.0,1.0
76.0,48.0,1.0
76.0,68.0,1.0
76.0,75.0,1.0
76.0,83.0,1.0
77.0,3.0,3.988889
