x,y,value
0.0,64.0,0.822222
0.0,65.0,0.866667
2.0,70.0,0.866667
2.0,74.0,0.5
2.0,86.0,0.822222
5.0,92.0,0.944444
6.0,52.0,0.988889
6.0,81.0,1.0
6.0,82.0,1.0
6.0,93.0,0.988889
7.0,91.0,0.988889
8.0,88.0,0.9
8.0,89.0,0.9
8.0,91.0,0.655556
9.0,63.0,0.988889
9.0,73.0,0.744444
9.0,84.0,0.9
10.0,75.0,0.744444
10.0,89.0,0.844444
11.0,64.0,0.655556
11.0,71.0,0.955556
11.0,92.0,0.844444
11.0,93.0,1.566667
11.0,95.0,0.822222
12.0,46.0,0.822222
12.0,82.0,0.655556
12.0,83.0,0.655556
12.0,92.0,0.744444
12.0,96.0,0.944444
13.0,69.0,0.266667
14.0,94.0,0.844444
15.0,30.0,0.944444
15.0,67.0,1.655556
15.0,95.0,0.822222
15.0,96.0,0.888889
16.0,38.0,0.844444
16.0,91.0,0.8
17.0,38.0,1.0
17.0,75.0,0.888889
17.0,93.0,0.744444
17.0,94.0,0.9
17.0,96.0,0.888889
18.0,31.0,0.8
18.0,39.0,1.0
18.0,86.0,0.655556
19.0,59.0,0.744444
20.0,61.0,0.7
20.0,76.0,0.7
20.0,85.0,0.655556
20.0,89.0,1.0
20.0,91.0,0.944444
20.0,92.0,0.777778
21.0,35.0,0.533333
21.0,72.0,0.744444
21.0,78.0,0.777778
21.0,79.0,0.888889
21.0,94.0,0.5
21.0,95.0,0.5
22.0,33.0,0.944444
22.0,38.0,0.844444
22.0,82.0,0.988889
22.0,97.0,0.777778
23.0,32.0,0.944444
23.0,63.0,0.7
23.0,69.0,0.977778
23.0,72.0,1.0
23.0,82.0,0.5
24.0,68.0,0.8
24.0,87.0,1.0
24.0,89.0,0.533333
25.0,42.0,0.744444
25.0,68.0,0.977778
25.0,72.0,0.744444
25.0,76.0,1.0
25.0,89.0,0.888889
26.0,40.0,1.0
26.0,62.0,0.888889
26.0,65.0,0.7
26.0,84.0,0.744444
26.0,90.0,0.888889
26.0,92.0,0.777778
27.0,57.0,0.866667
27.0,69.0,1.766667
27.0,70.0,0.655556
27.0,90.0,0.844444
27.0,92.0,0.744444
27.0,95.0,0.977778
28.0,14.0,0.822222
28.0,43.0,1.0
28.0,54.0,0.977778
28.0,63.0,1.0
28.0,71.0,0.888889
28.0,82.0,0.533333
28.0,93.0,0.944444
28.0,95.0,0.7
28.0,96.0,0.744444
29.0,50.0,1.0
29.0,93.0,0.844444
29.0,94.0,0.777778
30.0,5.0,0.944444
30.0,78.0,0.888889
30.0,84.0,0.888889
30.0,89.0,1.0
30.0,91.0,0.8
31.0,60.0,0.988889
31.0,61.0,1.0
31.0,64.0,1.0
31.0,90.0,0.977778
31.0,93.0,0.8
32.0,4.0,0.944444
32.0,26.0,0.955556
32.0,63.0,0.9
32.0,75.0,0.822222
32.0,89.0,1.8
32.0,94.0,0.888889
33.0,55.0,1.0
33.0,56.0,2.0
33.0,60.0,0.788889
33.0,71.0,0.822222
33.0,83.0,0.655556
33.0,84.0,1.444444
33.0,91.0,2.333333
33.0,92.0,0.8
33.0,93.0,0.655556
33.0,94.0,0.788889
33.0,97.0,0.822222
34.0,11.0,0.955556
34.0,25.0,0.955556
34.0,50.0,1.0
34.0,53.0,1.0
34.0,70.0,0.888889
34.0,79.0,0.888889
34.0,82.0,0.7
34.0,92.0,1.7
34.0,96.0,0.744444
35.0,28.0,1.0
35.0,72.0,1.0
35.0,77.0,0.7
35.0,83.0,0.655556
35.0,84.0,1.0
35.0,86.0,0.777778
35.0,93.0,0.777778
35.0,94.0,0.888889
35.0,96.0,0.9
36.0,15.0,0.977778
36.0,37.0,1.0
36.0,62.0,1.0
36.0,65.0,0.888889
36.0,70.0,0.744444
36.0,72.0,0.744444
36.0,74.0,0.777778
36.0,82.0,0.888889
