x,y,value
6.0,83.0,1.0
10.0,55.0,1.0
10.0,97.0,0.911111
11.0,14.0,0.788889
11.0,47.0,0.788889
11.0,84.0,0.788889
11.0,87.0,1.0
11.0,90.0,0.866667
11.0,93.0,0.866667
12.0,2.0,0.988889
12.0,22.0,0.988889
12.0,86.0,1.0
13.0,26.0,0.988889
13.0,42.0,0.988889
13.0,56.0,0.788889
13.0,83.0,0.5
13.0,90.0,0.988889
13.0,97.0,0.988889
14.0,63.0,0.911111
14.0,67.0,0.5
14.0,74.0,1.977778
14.0,95.0,0.977778
15.0,34.0,0.733333
15.0,64.0,0.911111
15.0,84.0,0.988889
15.0,85.0,0.788889
16.0,50.0,0.788889
16.0,93.0,1.0
16.0,94.0,1.0
17.0,83.0,0.977778
17.0,91.0,0.5
18.0,48.0,0.988889
20.0,35.0,0.733333
20.0,44.0,0.277778
20.0,49.0,0.988889
21.0,11.0,0.744444
21.0,12.0,0.744444
21.0,49.0,0.988889
21.0,69.0,1.744444
21.0,82.0,0.977778
21.0,88.0,0.866667
21.0,90.0,2.0
21.0,92.0,1.0
22.0,6.0,0.744444
23.0,10.0,0.733333
23.0,48.0,1.0
23.0,86.0,0.788889
23.0,93.0,1.0
23.0,95.0,0.977778
23.0,96.0,0.788889
24.0,32.0,0.677778
24.0,36.0,0.788889
24.0,52.0,0.988889
24.0,76.0,1.0
24.0,88.0,0.8
24.0,92.0,1.0
25.0,53.0,0.988889
25.0,76.0,1.0
25.0,95.0,1.0
26.0,29.0,0.988889
26.0,52.0,0.988889
26.0,70.0,1.777778
26.0,72.0,0.944444
26.0,76.0,1.0
26.0,84.0,0.277778
26.0,88.0,1.0
26.0,95.0,0.911111
27.0,22.0,0.788889
27.0,73.0,1.0
27.0,85.0,1.0
27.0,87.0,0.944444
27.0,90.0,0.977778
27.0,95.0,1.0
27.0,97.0,0.866667
28.0,45.0,1.0
28.0,88.0,1.0
28.0,89.0,0.266667
28.0,93.0,1.5
28.0,95.0,1.0
29.0,23.0,1.0
29.0,32.0,0.277778
29.0,41.0,0.277778
29.0,46.0,0.988889
29.0,50.0,0.866667
29.0,51.0,0.8
29.0,53.0,0.8
29.0,68.0,1.0
29.0,82.0,0.788889
29.0,89.0,1.0
29.0,90.0,0.988889
29.0,93.0,0.988889
