x,y,value
1.0,8.0,1.0
1.0,17.0,1.0
1.0,31.0,1.0
1.0,42.0,1.0
1.0,61.0,1.0
2.0,31.0,1.0
2.0,41.0,0.133333
2.0,42.0,1.0
2.0,54.0,1.0
2.0,78.0,0.822222
3.0,9.0,1.0
3.0,14.0,1.0
3.0,18.0,1.0
3.0,28.0,1.0
3.0,36.0,1.0
3.0,42.0,1.0
3.0,50.0,1.0
3.0,62.0,1.0
3.0,73.0,0.822222
4.0,23.0,1.0
4.0,33.0,1.0
4.0,39.0,1.0
4.0,42.0,1.0
4.0,49.0,2.0
4.0,53.0,1.0
5.0,15.0,1.0
5.0,18.0,2.0
5.0,23.0,1.0
5.0,25.0,1.0
5.0,32.0,2.0
5.0,46.0,1.0
5.0,67.0,0.822222
5.0,70.0,1.0
6.0,10.0,0.111111
6.0,13.0,1.0
6.0,17.0,1.0
6.0,30.0,1.0
6.0,31.0,1.0
6.0,37.0,1.0
6.0,49.0,0.822222
6.0,50.0,1.0
6.0,56.0,1.0
6.0,97.0,1.0
7.0,8.0,1.0
7.0,9.0,1.0
7.0,10.0,1.0
7.0,15.0,1.0
7.0,17.0,1.0
7.0,20.0,1.0
7.0,24.0,1.0
7.0,31.0,1.0
7.0,37.0,1.0
7.0,41.0,1.0
7.0,44.0,2.0
7.0,45.0,2.0
7.0,48.0,1.0
7.0,51.0,2.111111
7.0,54.0,1.0
7.0,62.0,1.0
8.0,8.0,1.0
8.0,17.0,1.0
8.0,18.0,0.377778
8.0,30.0,1.0
8.0,32.0,2.0
8.0,34.0,1.0
8.0,41.0,1.0
8.0,45.0,1.0
8.0,47.0,1.0
8.0,48.0,1.0
8.0,51.0,1.822222
8.0,56.0,1.0
8.0,85.0,1.0
8.0,96.0,0.166667
9.0,4.0,1.0
9.0,7.0,1.0
9.0,14.0,1.0
9.0,17.0,1.0
9.0,19.0,1.0
9.0,20.0,2.0
9.0,24.0,1.0
9.0,29.0,1.0
9.0,36.0,1.0
9.0,40.0,1.0
9.0,49.0,1.0
9.0,52.0,1.377778
9.0,53.0,0.122222
9.0,55.0,1.0
9.0,56.0,0.122222
9.0,61.0,0.822222
10.0,5.0,1.0
10.0,14.0,1.0
10.0,17.0,2.0
10.0,26.0,1.0
10.0,27.0,1.0
10.0,39.0,3.0
10.0,44.0,1.0
10.0,45.0,1.0
10.0,47.0,1.822222
10.0,48.0,0.822222
10.0,49.0,1.0
10.0,52.0,1.0
10.0,64.0,0.822222
10.0,71.0,1.0
10.0,79.0,0.822222
11.0,5.0,1.0
11.0,7.0,1.0
11.0,10.0,0.133333
11.0,12.0,1.0
11.0,15.0,1.0
11.0,21.0,1.0
11.0,25.0,2.0
11.0,34.0,1.0
11.0,35.0,2.0
11.0,37.0,1.0
11.0,41.0,1.0
11.0,43.0,2.0
11.0,47.0,1.0
11.0,56.0,1.0
11.0,57.0,1.0
11.0,58.0,1.0
11.0,59.0,0.122222
11.0,64.0,1.0
11.0,71.0,1.0
12.0,4.0,2.0
12.0,5.0,1.755556
12.0,7.0,1.0
12.0,11.0,1.0
12.0,13.0,1.0
12.0,15.0,1.0
12.0,17.0,0.377778
12.0,28.0,1.0
12.0,36.0,1.0
12.0,45.0,3.0
12.0,49.0,0.377778
12.0,57.0,1.0
12.0,66.0,1.0
12.0,73.0,0.166667
12.0,74.0,1.0
12.0,86.0,1.0
13.0,2.0,1.0
13.0,5.0,2.0
13.0,8.0,1.0
13.0,10.0,0.377778
13.0,13.0,1.0
13.0,16.0,1.0
13.0,18.0,1.0
13.0,24.0,1.0
13.0,26.0,1.0
13.0,27.0,0.111111
13.0,31.0,1.0
13.0,40.0,1.0
13.0,41.0,1.0
13.0,43.0,0.133333
13.0,44.0,1.0
13.0,50.0,1.0
13.0,55.0,3.166667
13.0,56.0,1.0
13.0,57.0,0.822222
13.0,66.0,0.822222
13.0,71.0,0.822222
13.0,82.0,2.0
14.0,8.0,1.0
14.0,13.0,2.0
14.0,16.0,2.377778
14.0,18.0,1.0
14.0,19.0,1.0
14.0,28.0,1.0
14.0,32.0,1.0
14.0,36.0,1.0
14.0,54.0,1.0
14.0,62.0,0.822222
14.0,68.0,0.822222
14.0,71.0,0.166667
14.0,73.0,1.0
14.0,81.0,2.0
14.0,93.0,1.0
15.0,6.0,1.0
15.0,17.0,1.0
15.0,22.0,1.0
15.0,25.0,1.0
15.0,26.0,1.0
15.0,30.0,1.0
15.0,34.0,1.0
15.0,41.0,1.0
15.0,52.0,0.822222
15.0,55.0,1.0
15.0,69.0,1.0
15.0,73.0,1.0
15.0,88.0,0.822222
16.0,4.0,1.0
16.0,17.0,1.0
16.0,18.0,1.0
16.0,23.0,3.0
16.0,25.0,1.0
16.0,28.0,1.0
16.0,38.0,1.0
16.0,47.0,0.133333
16.0,55.0,1.0
16.0,68.0,1.0
16.0,88.0,1.0
16.0,92.0,1.0
16.0,97.0,1.0
17.0,3.0,1.0
17.0,6.0,1.0
17.0,9.0,1.0
17.0,16.0,1.0
17.0,18.0,1.0
17.0,32.0,2.0
