x,y,value
2.0,55.0,0.166667
4.0,40.0,0.855556
4.0,55.0,0.333333
5.0,45.0,1.0
5.0,64.0,1.6
6.0,46.0,2.0
6.0,55.0,1.8
7.0,57.0,0.855556
7.0,65.0,1.0
9.0,63.0,0.855556
9.0,74.0,0.3
10.0,48.0,0.144444
10.0,55.0,0.8
10.0,56.0,0.855556
11.0,53.0,0.666667
11.0,57.0,1.0
12.0,34.0,0.855556
12.0,52.0,0.3
13.0,47.0,0.8
13.0,59.0,0.855556
14.0,4.0,0.977778
14.0,54.0,0.855556
15.0,9.0,0.111111
15.0,41.0,0.877778
19.0,74.0,2.688889
20.0,66.0,1.0
21.0,22.0,0.188889
21.0,58.0,0.222222
22.0,94.0,0.6
23.0,90.0,0.6
24.0,67.0,0.377778
25.0,62.0,0.866667
25.0,91.0,0.8
26.0,62.0,0.866667
26.0,73.0,2.0
29.0,44.0,1.0
29.0,49.0,1.0
29.0,64.0,1.0
30.0,54.0,0.377778
30.0,56.0,0.166667
30.0,65.0,1.0
31.0,28.0,0.166667
32.0,48.0,0.8
32.0,49.0,0.8
32.0,94.0,0.8
33.0,47.0,1.711111
33.0,54.0,0.344444
33.0,75.0,0.5
33.0,86.0,0.8
33.0,89.0,0.8
34.0,55.0,0.866667
34.0,66.0,0.8
34.0,94.0,0.877778
34.0,96.0,0.8
35.0,64.0,0.8
35.0,86.0,0.166667
36.0,30.0,0.855556
36.0,60.0,1.0
36.0,66.0,0.8
36.0,73.0,0.377778
37.0,25.0,0.855556
37.0,37.0,0.855556
38.0,66.0,0.8
38.0,69.0,0.8
38.0,87.0,0.866667
38.0,93.0,0.6
39.0,40.0,0.3
39.0,77.0,0.5
39.0,89.0,0.6
40.0,11.0,0.166667
40.0,60.0,1.0
40.0,71.0,1.8
40.0,89.0,0.866667
40.0,90.0,0.5
40.0,94.0,0.5
41.0,65.0,1.855556
41.0,88.0,0.5
42.0,10.0,0.122222
42.0,24.0,1.2
42.0,61.0,0.866667
43.0,25.0,1.0
43.0,33.0,0.688889
43.0,36.0,0.8
43.0,67.0,1.0
43.0,84.0,1.711111
43.0,89.0,0.6
44.0,26.0,0.855556
44.0,33.0,0.8
44.0,77.0,0.5
44.0,85.0,0.8
45.0,65.0,0.5
45.0,71.0,0.666667
45.0,75.0,1.0
45.0,94.0,0.9
46.0,23.0,1.855556
46.0,35.0,0.144444
