x,y,value
0.0,14.0,0.933333
3.0,58.0,1.0
3.0,83.0,1.0
4.0,53.0,0.5
4.0,83.0,2.0
5.0,71.0,1.0
5.0,80.0,0.677778
6.0,81.0,0.677778
6.0,87.0,0.677778
7.0,11.0,0.5
7.0,67.0,1.0
7.0,86.0,1.0
7.0,87.0,1.0
8.0,81.0,0.677778
9.0,62.0,1.0
10.0,26.0,0.444444
10.0,82.0,1.0
10.0,91.0,0.844444
11.0,91.0,1.0
12.0,4.0,1.0
12.0,8.0,0.966667
12.0,12.0,0.5
12.0,82.0,0.677778
13.0,16.0,0.966667
13.0,41.0,0.5
13.0,91.0,0.7
14.0,3.0,0.5
14.0,41.0,0.688889
14.0,62.0,0.966667
14.0,71.0,0.677778
16.0,70.0,0.5
16.0,87.0,1.0
17.0,51.0,0.966667
17.0,59.0,1.0
17.0,81.0,0.5
18.0,29.0,0.677778
18.0,70.0,0.7
18.0,85.0,1.0
18.0,89.0,1.0
18.0,91.0,0.7
18.0,92.0,1.0
19.0,4.0,0.5
19.0,96.0,0.5
20.0,9.0,1.866667
20.0,44.0,1.0
20.0,81.0,1.677778
20.0,91.0,0.5
21.0,12.0,0.322222
21.0,80.0,0.322222
21.0,82.0,0.677778
21.0,92.0,0.966667
22.0,6.0,0.655556
22.0,35.0,1.0
22.0,85.0,1.966667
23.0,10.0,0.5
23.0,25.0,0.688889
23.0,88.0,0.966667
24.0,67.0,0.322222
24.0,80.0,0.7
24.0,88.0,0.666667
24.0,92.0,1.0
25.0,9.0,0.666667
25.0,25.0,0.777778
25.0,43.0,0.411111
25.0,91.0,0.966667
25.0,97.0,1.0
26.0,9.0,0.666667
26.0,27.0,0.666667
26.0,31.0,0.688889
26.0,46.0,0.677778
26.0,67.0,0.322222
26.0,84.0,0.666667
27.0,4.0,0.844444
27.0,22.0,0.5
27.0,35.0,0.322222
27.0,79.0,0.666667
27.0,80.0,0.5
27.0,94.0,1.0
28.0,4.0,0.5
28.0,5.0,1.377778
28.0,7.0,0.688889
28.0,11.0,0.322222
28.0,21.0,0.322222
28.0,33.0,1.0
28.0,77.0,1.933333
28.0,83.0,0.5
28.0,89.0,1.933333
29.0,12.0,1.0
29.0,23.0,0.666667
29.0,26.0,0.933333
29.0,43.0,1.0
29.0,62.0,0.677778
29.0,83.0,0.5
30.0,9.0,0.411111
30.0,22.0,1.688889
30.0,52.0,0.666667
30.0,56.0,0.844444
30.0,67.0,0.966667
30.0,79.0,0.322222
31.0,7.0,0.933333
31.0,10.0,0.688889
31.0,11.0,0.5
