x,y,value
1.0,9.0,1.0
1.0,25.0,0.988889
1.0,49.0,1.0
1.0,67.0,2.0
1.0,86.0,0.988889
2.0,2.0,1.0
2.0,4.0,2.0
2.0,11.0,1.0
2.0,24.0,0.988889
2.0,38.0,1.0
2.0,54.0,1.0
3.0,3.0,1.0
3.0,25.0,1.0
3.0,35.0,1.0
3.0,42.0,1.0
3.0,48.0,1.0
3.0,62.0,1.0
3.0,69.0,1.0
3.0,75.0,1.0
3.0,80.0,1.0
3.0,82.0,2.0
4.0,51.0,1.0
4.0,70.0,1.0
4.0,84.0,1.0
4.0,85.0,1.0
5.0,6.0,2.0
5.0,18.0,3.0
5.0,26.0,1.0
5.0,34.0,1.0
5.0,43.0,1.0
5.0,68.0,1.0
5.0,70.0,1.0
5.0,73.0,1.0
5.0,89.0,1.0
5.0,95.0,1.0
6.0,12.0,1.0
6.0,53.0,1.0
6.0,67.0,1.0
6.0,68.0,1.0
6.0,74.0,1.0
6.0,75.0,2.0
6.0,76.0,1.0
6.0,82.0,0.988889
6.0,85.0,1.0
6.0,86.0,0.977778
6.0,88.0,1.0
6.0,95.0,1.0
7.0,49.0,1.0
7.0,57.0,0.855556
7.0,66.0,2.0
7.0,73.0,1.0
7.0,78.0,1.0
7.0,84.0,1.0
7.0,89.0,1.0
7.0,94.0,1.0
7.0,95.0,1.0
7.0,96.0,2.0
8.0,10.0,2.0
8.0,20.0,2.0
8.0,26.0,1.0
8.0,30.0,1.0
8.0,35.0,1.0
8.0,40.0,1.0
8.0,47.0,1.0
8.0,50.0,1.0
8.0,52.0,1.0
8.0,63.0,1.0
8.0,66.0,1.0
8.0,73.0,2.0
8.0,76.0,2.0
8.0,81.0,1.0
8.0,82.0,1.0
8.0,87.0,1.0
8.0,89.0,1.0
8.0,95.0,2.0
9.0,5.0,0.855556
9.0,7.0,1.0
9.0,23.0,1.0
9.0,29.0,1.0
9.0,32.0,2.0
9.0,35.0,1.0
9.0,47.0,1.0
9.0,56.0,2.0
9.0,59.0,1.0
9.0,60.0,1.0
9.0,66.0,2.0
9.0,69.0,1.0
9.0,72.0,2.977778
9.0,81.0,1.0
9.0,82.0,1.0
9.0,83.0,2.0
9.0,88.0,1.0
9.0,90.0,1.0
9.0,91.0,1.0
9.0,94.0,1.0
9.0,96.0,1.0
10.0,9.0,1.0
10.0,10.0,1.0
10.0,27.0,1.0
10.0,30.0,1.0
10.0,34.0,1.0
10.0,42.0,1.0
10.0,46.0,1.0
10.0,58.0,1.0
10.0,61.0,2.0
10.0,65.0,1.0
10.0,66.0,1.0
10.0,71.0,1.855556
10.0,74.0,1.0
10.0,76.0,1.0
10.0,81.0,1.0
10.0,84.0,1.0
10.0,86.0,1.0
10.0,89.0,1.0
11.0,30.0,1.0
11.0,45.0,1.0
11.0,46.0,1.0
11.0,51.0,1.0
11.0,52.0,1.0
11.0,59.0,1.0
11.0,63.0,1.0
11.0,64.0,3.0
11.0,70.0,1.0
11.0,75.0,1.0
11.0,84.0,1.0
11.0,85.0,1.0
11.0,90.0,1.0
11.0,95.0,1.0
12.0,8.0,1.0
12.0,31.0,1.0
12.0,44.0,1.0
12.0,45.0,1.0
12.0,46.0,1.0
12.0,51.0,1.0
12.0,60.0,1.0
12.0,65.0,1.0
12.0,70.0,3.0
