x,y,value
1.0,80.0,0.888889
2.0,47.0,1.555556
2.0,58.0,0.888889
3.0,47.0,0.777778
3.0,52.0,0.822222
4.0,60.0,0.3
5.0,43.0,1.0
7.0,8.0,0.5
7.0,41.0,1.0
7.0,45.0,0.788889
7.0,46.0,0.322222
8.0,11.0,0.5
8.0,29.0,0.922222
8.0,33.0,0.922222
8.0,45.0,0.777778
9.0,55.0,0.5
10.0,46.0,1.422222
10.0,56.0,0.5
12.0,60.0,0.844444
13.0,53.0,0.944444
14.0,53.0,0.822222
14.0,71.0,0.711111
16.0,85.0,0.711111
16.0,88.0,0.711111
17.0,85.0,0.711111
17.0,89.0,0.288889
18.0,35.0,0.888889
18.0,64.0,0.5
19.0,90.0,0.711111
20.0,25.0,0.711111
21.0,63.0,0.777778
21.0,64.0,0.777778
23.0,33.0,0.255556
24.0,59.0,0.711111
26.0,27.0,1.888889
26.0,30.0,0.944444
26.0,67.0,0.5
26.0,76.0,1.0
27.0,50.0,0.888889
27.0,65.0,0.711111
27.0,95.0,0.5
28.0,6.0,1.0
28.0,20.0,0.422222
28.0,25.0,0.888889
28.0,51.0,0.711111
29.0,6.0,0.822222
29.0,25.0,0.922222
29.0,29.0,0.922222
29.0,34.0,0.944444
29.0,72.0,0.711111
29.0,95.0,0.822222
30.0,36.0,1.0
30.0,58.0,0.322222
30.0,59.0,0.822222
30.0,73.0,0.322222
31.0,10.0,1.0
31.0,11.0,0.288889
31.0,29.0,0.777778
31.0,74.0,0.288889
32.0,21.0,0.822222
32.0,29.0,0.777778
32.0,71.0,1.0
33.0,14.0,0.288889
33.0,64.0,0.922222
34.0,10.0,1.0
34.0,58.0,1.844444
34.0,63.0,0.922222
34.0,69.0,0.322222
34.0,84.0,0.822222
35.0,13.0,0.922222
35.0,39.0,0.822222
35.0,40.0,1.0
35.0,49.0,0.711111
35.0,74.0,0.844444
36.0,13.0,0.288889
36.0,27.0,0.788889
36.0,29.0,0.866667
36.0,32.0,0.922222
36.0,33.0,0.944444
36.0,37.0,0.688889
36.0,41.0,0.944444
36.0,52.0,0.922222
36.0,83.0,1.0
36.0,85.0,1.0
37.0,15.0,0.5
37.0,25.0,0.866667
37.0,27.0,0.5
37.0,34.0,0.922222
37.0,37.0,0.822222
37.0,57.0,0.944444
37.0,80.0,1.4
37.0,91.0,1.0
37.0,95.0,0.844444
38.0,28.0,0.788889
38.0,47.0,0.866667
38.0,89.0,1.422222
38.0,96.0,0.777778
39.0,59.0,0.711111
39.0,74.0,0.922222
39.0,79.0,1.0
40.0,5.0,0.844444
40.0,15.0,0.5
40.0,48.0,0.822222
40.0,51.0,0.211111
40.0,57.0,0.5
40.0,82.0,1.0
40.0,93.0,0.711111
41.0,19.0,1.844444
41.0,22.0,0.377778
41.0,73.0,0.688889
41.0,94.0,0.711111
42.0,1.0,0.922222
42.0,7.0,0.788889
42.0,21.0,0.711111
42.0,35.0,0.866667
42.0,64.0,0.5
42.0,65.0,0.888889
42.0,85.0,0.5
43.0,62.0,0.5
43.0,68.0,0.944444
43.0,70.0,0.711111
44.0,4.0,0.288889
44.0,8.0,1.888889
44.0,47.0,0.177778
44.0,67.0,0.377778
44.0,77.0,1.0
44.0,85.0,0.7
44.0,90.0,1.666667
44.0,92.0,1.422222
45.0,8.0,0.777778
45.0,18.0,0.888889
45.0,23.0,0.288889
45.0,24.0,0.822222
45.0,29.0,0.944444
45.0,52.0,0.922222
45.0,54.0,0.922222
45.0,78.0,1.422222
46.0,13.0,0.777778
46.0,21.0,1.0
46.0,30.0,0.888889
46.0,33.0,0.255556
46.0,46.0,0.355556
46.0,56.0,0.288889
46.0,62.0,0.922222
46.0,66.0,0.5
46.0,67.0,0.922222
46.0,70.0,0.922222
46.0,71.0,0.866667
46.0,76.0,0.922222
46.0,92.0,1.0
47.0,20.0,0.711111
47.0,44.0,0.5
47.0,90.0,1.733333
48.0,22.0,0.7
48.0,65.0,0.788889
48.0,72.0,0.711111
48.0,82.0,1.0
49.0,30.0,1.0
49.0,49.0,0.5
49.0,50.0,1.511111
49.0,65.0,0.788889
50.0,8.0,0.211111
50.0,49.0,1.722222
50.0,70.0,0.288889
51.0,60.0,0.7
51.0,61.0,0.5
52.0,42.0,0.866667
52.0,44.0,0.777778
52.0,76.0,0.777778
53.0,16.0,1.0
53.0,20.0,0.888889
53.0,48.0,0.777778
53.0,52.0,0.688889
53.0,53.0,0.822222
53.0,64.0,1.0
53.0,71.0,0.777778
53.0,77.0,0.288889
54.0,1.0,0.944444
54.0,10.0,1.922222
54.0,22.0,0.711111
54.0,29.0,0.788889
54.0,46.0,1.288889
54.0,48.0,0.5
54.0,49.0,0.255556
54.0,51.0,0.844444
54.0,65.0,0.3
54.0,68.0,0.5
54.0,69.0,1.711111
54.0,70.0,1.155556
54.0,72.0,0.944444
54.0,73.0,0.788889
54.0,76.0,1.111111
54.0,85.0,0.888889
55.0,1.0,0.711111
55.0,13.0,0.866667
55.0,22.0,1.0
55.0,24.0,1.0
55.0,34.0,0.788889
55.0,49.0,0.755556
55.0,50.0,1.644444
55.0,64.0,0.866667
55.0,66.0,1.0
55.0,67.0,2.4
55.0,69.0,1.422222
55.0,74.0,1.6
55.0,86.0,0.788889
55.0,94.0,1.0
56.0,10.0,0.888889
56.0,12.0,0.844444
56.0,17.0,0.577778
56.0,18.0,0.7
56.0,19.0,1.0
56.0,27.0,0.211111
56.0,33.0,0.688889
56.0,43.0,1.866667
56.0,62.0,0.922222
56.0,87.0,1.0
56.0,88.0,0.177778
56.0,93.0,0.688889
57.0,9.0,0.5
57.0,10.0,1.888889
57.0,26.0,1.922222
57.0,27.0,1.555556
57.0,30.0,1.0
57.0,31.0,1.5
57.0,33.0,0.5
57.0,48.0,1.0
57.0,69.0,0.288889
57.0,84.0,0.7
58.0,18.0,1.0
58.0,25.0,2.811111
58.0,26.0,0.5
58.0,27.0,0.711111
58.0,28.0,2.211111
58.0,30.0,0.888889
58.0,32.0,0.866667
58.0,35.0,0.255556
58.0,66.0,0.5
58.0,70.0,0.711111
58.0,74.0,1.0
58.0,80.0,0.866667
58.0,85.0,0.255556
58.0,89.0,0.5
59.0,18.0,0.788889
59.0,20.0,0.922222
59.0,31.0,0.511111
59.0,39.0,0.688889
59.0,68.0,0.822222
59.0,70.0,0.922222
59.0,76.0,0.711111
59.0,81.0,0.7
60.0,16.0,0.922222
60.0,18.0,1.555556
60.0,28.0,0.777778
60.0,32.0,2.266667
60.0,36.0,0.288889
60.0,49.0,1.0
60.0,62.0,0.866667
60.0,72.0,0.5
60.0,74.0,0.322222
60.0,79.0,0.5
60.0,86.0,0.322222
60.0,88.0,1.777778
61.0,18.0,0.922222
61.0,19.0,0.822222
61.0,26.0,0.711111
61.0,28.0,1.0
61.0,34.0,0.5
61.0,39.0,1.0
61.0,42.0,0.888889
61.0,43.0,0.788889
61.0,59.0,1.0
61.0,62.0,0.8
61.0,64.0,0.3
61.0,65.0,0.5
61.0,80.0,1.733333
61.0,86.0,0.788889
62.0,12.0,0.288889
62.0,17.0,0.355556
62.0,23.0,2.0
62.0,24.0,1.844444
62.0,26.0,1.644444
62.0,31.0,0.711111
62.0,35.0,0.711111
62.0,38.0,2.0
62.0,62.0,0.5
62.0,66.0,2.0
62.0,71.0,0.944444
63.0,14.0,0.322222
63.0,18.0,0.711111
63.0,19.0,0.711111
63.0,24.0,0.888889
63.0,27.0,0.577778
63.0,28.0,0.866667
63.0,29.0,0.322222
63.0,33.0,0.3
63.0,34.0,0.922222
63.0,35.0,2.5
63.0,36.0,0.5
63.0,39.0,0.866667
63.0,40.0,0.688889
63.0,55.0,2.666667
63.0,57.0,0.288889
63.0,65.0,0.866667
