x,y,value
0.0,13.0,1.0
3.0,78.0,0.677778
6.0,10.0,0.5
6.0,26.0,0.933333
7.0,9.0,0.5
8.0,8.0,0.5
8.0,17.0,0.933333
8.0,23.0,0.711111
8.0,86.0,1.0
9.0,11.0,0.5
9.0,34.0,0.933333
9.0,37.0,0.933333
10.0,6.0,1.0
10.0,27.0,1.0
11.0,6.0,0.933333
11.0,13.0,1.0
11.0,79.0,0.5
12.0,52.0,1.0
12.0,73.0,0.266667
12.0,83.0,0.5
12.0,84.0,1.0
13.0,6.0,1.0
13.0,50.0,0.5
13.0,58.0,1.0
13.0,89.0,0.5
14.0,5.0,1.0
15.0,32.0,1.0
15.0,43.0,1.0
16.0,9.0,1.0
16.0,85.0,0.5
18.0,7.0,0.677778
18.0,9.0,1.0
18.0,53.0,1.0
19.0,18.0,1.0
19.0,21.0,1.0
19.0,73.0,1.0
20.0,15.0,1.711111
20.0,44.0,0.933333
20.0,62.0,1.0
20.0,75.0,2.0
20.0,94.0,1.0
21.0,10.0,0.711111
21.0,15.0,0.311111
21.0,31.0,1.0
22.0,11.0,0.711111
22.0,34.0,0.933333
22.0,36.0,0.688889
22.0,61.0,1.0
22.0,95.0,1.0
23.0,6.0,1.0
23.0,24.0,1.0
23.0,27.0,0.5
23.0,88.0,1.0
24.0,3.0,0.311111
24.0,6.0,1.0
24.0,7.0,0.711111
24.0,13.0,1.0
24.0,34.0,0.244444
24.0,40.0,0.244444
25.0,5.0,0.688889
25.0,8.0,0.688889
25.0,13.0,0.311111
25.0,16.0,0.711111
25.0,17.0,0.733333
25.0,18.0,0.711111
25.0,28.0,0.677778
25.0,91.0,1.0
25.0,92.0,0.5
26.0,6.0,1.266667
26.0,13.0,1.0
26.0,16.0,1.0
26.0,29.0,0.244444
26.0,56.0,0.677778
26.0,68.0,0.933333
26.0,76.0,0.933333
26.0,84.0,0.333333
26.0,94.0,1.0
27.0,6.0,1.0
27.0,10.0,1.0
27.0,11.0,0.733333
27.0,13.0,0.244444
27.0,14.0,0.333333
27.0,16.0,0.933333
27.0,21.0,0.677778
27.0,24.0,1.0
27.0,37.0,2.0
27.0,50.0,0.5
27.0,82.0,0.911111
27.0,91.0,1.0
28.0,5.0,0.711111
28.0,14.0,1.177778
28.0,19.0,0.711111
28.0,20.0,0.933333
28.0,22.0,0.933333
28.0,24.0,0.733333
28.0,27.0,0.733333
28.0,34.0,0.5
28.0,36.0,1.0
28.0,50.0,1.0
28.0,60.0,0.933333
28.0,72.0,0.711111
28.0,75.0,0.933333
28.0,84.0,1.266667
29.0,10.0,1.0
29.0,11.0,0.5
29.0,13.0,0.5
29.0,16.0,1.711111
29.0,19.0,0.711111
29.0,21.0,1.0
29.0,23.0,0.5
29.0,43.0,0.933333
29.0,44.0,0.311111
29.0,53.0,0.311111
29.0,55.0,1.0
29.0,78.0,1.0
29.0,93.0,0.5
30.0,2.0,0.933333
30.0,7.0,0.933333
30.0,13.0,0.311111
30.0,17.0,0.733333
30.0,19.0,0.677778
30.0,37.0,0.244444
30.0,39.0,0.933333
30.0,53.0,0.5
30.0,76.0,0.166667
30.0,92.0,1.0
30.0,94.0,1.0
30.0,97.0,0.677778
31.0,6.0,0.933333
31.0,8.0,1.011111
31.0,20.0,0.733333
31.0,27.0,1.5
31.0,36.0,0.933333
31.0,44.0,1.911111
31.0,53.0,0.677778
31.0,70.0,0.933333
31.0,81.0,0.933333
31.0,87.0,0.933333
32.0,3.0,0.711111
32.0,4.0,0.933333
32.0,6.0,1.177778
32.0,21.0,1.0
32.0,24.0,0.5
32.0,29.0,1.0
32.0,35.0,0.5
32.0,42.0,1.0
32.0,65.0,0.266667
32.0,66.0,0.933333
32.0,67.0,1.0
32.0,75.0,0.5
32.0,82.0,0.5
32.0,87.0,0.933333
32.0,94.0,1.0
33.0,0.0,1.0
33.0,13.0,0.711111
33.0,14.0,1.422222
33.0,19.0,0.311111
33.0,21.0,2.0
33.0,35.0,0.933333
33.0,41.0,1.0
33.0,64.0,1.0
33.0,75.0,0.677778
33.0,86.0,0.933333
33.0,88.0,2.0
34.0,19.0,1.422222
34.0,22.0,1.5
34.0,28.0,0.677778
34.0,34.0,1.0
34.0,35.0,1.0
34.0,40.0,1.0
34.0,56.0,1.0
34.0,88.0,0.5
34.0,90.0,0.5
34.0,92.0,0.5
35.0,8.0,0.933333
35.0,14.0,0.911111
35.0,15.0,1.866667
35.0,26.0,0.933333
35.0,28.0,1.0
35.0,29.0,1.0
35.0,52.0,0.244444
35.0,75.0,0.677778
35.0,78.0,1.0
35.0,95.0,0.5
36.0,5.0,1.0
36.0,7.0,1.677778
36.0,8.0,0.933333
36.0,18.0,1.0
36.0,19.0,1.444444
36.0,21.0,0.677778
36.0,24.0,0.677778
36.0,30.0,0.311111
36.0,31.0,0.244444
36.0,34.0,0.5
36.0,47.0,0.5
36.0,48.0,0.311111
36.0,57.0,0.711111
36.0,64.0,1.0
36.0,78.0,2.0
36.0,92.0,0.5
37.0,5.0,0.933333
37.0,11.0,0.5
37.0,20.0,1.0
37.0,31.0,2.0
37.0,34.0,1.0
37.0,38.0,0.688889
37.0,41.0,1.0
37.0,54.0,0.5
37.0,57.0,0.933333
37.0,61.0,1.0
37.0,63.0,0.244444
37.0,70.0,0.5
37.0,78.0,0.333333
37.0,81.0,0.711111
37.0,82.0,1.0
37.0,88.0,0.5
37.0,94.0,1.333333
37.0,97.0,0.911111
38.0,4.0,0.677778
38.0,9.0,0.733333
38.0,11.0,0.677778
38.0,14.0,0.688889
38.0,15.0,0.677778
38.0,16.0,1.0
38.0,18.0,0.166667
38.0,29.0,1.0
38.0,37.0,1.0
38.0,40.0,0.933333
38.0,43.0,0.933333
38.0,48.0,0.911111
38.0,55.0,0.911111
38.0,90.0,0.5
39.0,4.0,0.933333
39.0,7.0,0.677778
