x,y,value
0.0,24.0,1.0
1.0,26.0,1.0
1.0,55.0,0.933333
1.0,84.0,1.0
2.0,81.0,0.833333
3.0,46.0,1.0
3.0,82.0,0.833333
3.0,88.0,1.0
3.0,89.0,1.0
4.0,19.0,1.0
4.0,65.0,1.0
5.0,10.0,1.0
5.0,75.0,1.0
5.0,91.0,0.922222
6.0,36.0,1.0
6.0,53.0,1.0
6.0,68.0,0.888889
6.0,95.0,0.933333
7.0,10.0,0.833333
7.0,16.0,1.0
7.0,26.0,1.0
7.0,34.0,1.0
7.0,68.0,0.833333
7.0,80.0,1.0
8.0,29.0,1.0
8.0,52.0,1.0
8.0,70.0,2.0
8.0,79.0,1.0
8.0,80.0,1.0
9.0,8.0,0.833333
9.0,11.0,1.0
9.0,15.0,1.0
9.0,20.0,1.0
9.0,21.0,2.0
9.0,40.0,0.933333
10.0,5.0,1.0
10.0,16.0,2.0
10.0,33.0,2.0
10.0,60.0,1.0
10.0,65.0,1.0
10.0,83.0,1.0
10.0,91.0,2.0
10.0,96.0,0.988889
11.0,25.0,1.0
11.0,40.0,1.0
11.0,62.0,1.0
11.0,64.0,1.0
11.0,81.0,1.0
11.0,95.0,1.0
12.0,6.0,1.0
12.0,19.0,1.0
12.0,27.0,1.977778
12.0,30.0,0.988889
12.0,51.0,1.0
12.0,63.0,1.0
12.0,69.0,0.888889
12.0,91.0,1.0
13.0,34.0,1.0
13.0,36.0,1.0
13.0,46.0,2.0
13.0,61.0,1.0
13.0,67.0,1.0
13.0,71.0,1.0
13.0,83.0,0.988889
13.0,85.0,1.0
13.0,98.0,1.0
14.0,8.0,0.988889
14.0,24.0,1.0
14.0,25.0,1.0
14.0,28.0,1.0
14.0,35.0,1.0
14.0,37.0,1.0
14.0,41.0,1.0
14.0,61.0,2.0
14.0,67.0,2.0
14.0,85.0,0.822222
14.0,87.0,0.833333
14.0,92.0,1.922222
15.0,5.0,1.0
15.0,8.0,1.0
15.0,10.0,0.988889
15.0,15.0,1.0
15.0,26.0,0.933333
15.0,30.0,1.0
15.0,36.0,1.0
15.0,40.0,1.0
15.0,46.0,1.0
15.0,48.0,0.833333
15.0,49.0,1.0
15.0,62.0,1.0
15.0,67.0,1.0
15.0,68.0,1.0
15.0,83.0,0.988889
16.0,2.0,1.0
16.0,5.0,2.0
16.0,37.0,1.0
16.0,38.0,1.0
16.0,41.0,1.0
16.0,51.0,1.0
16.0,69.0,1.0
16.0,81.0,0.988889
16.0,86.0,1.0
17.0,14.0,0.988889
17.0,16.0,1.0
17.0,32.0,1.666667
17.0,34.0,1.0
17.0,37.0,1.0
17.0,42.0,1.0
17.0,53.0,0.988889
17.0,74.0,0.933333
17.0,76.0,1.0
17.0,91.0,1.0
17.0,96.0,1.0
18.0,13.0,1.0
18.0,18.0,0.933333
18.0,28.0,1.0
18.0,48.0,1.0
18.0,49.0,1.0
18.0,51.0,1.0
18.0,70.0,1.0
18.0,73.0,0.988889
18.0,96.0,1.0
19.0,6.0,1.0
19.0,21.0,0.822222
19.0,29.0,1.0
19.0,45.0,1.0
19.0,51.0,1.0
19.0,65.0,1.0
19.0,69.0,0.933333
19.0,80.0,1.0
19.0,81.0,0.888889
19.0,98.0,1.0
20.0,7.0,1.0
20.0,35.0,1.0
20.0,59.0,1.0
20.0,65.0,0.988889
20.0,76.0,1.0
20.0,88.0,1.0
20.0,89.0,1.0
20.0,92.0,1.0
21.0,33.0,1.977778
21.0,36.0,1.0
21.0,41.0,0.922222
21.0,42.0,0.933333
21.0,43.0,1.844444
21.0,63.0,1.0
21.0,65.0,1.0
21.0,67.0,0.933333
21.0,72.0,2.0
22.0,6.0,1.0
22.0,8.0,1.0
22.0,12.0,1.0
22.0,18.0,1.0
22.0,19.0,1.0
22.0,27.0,1.0
22.0,31.0,3.0
22.0,41.0,1.0
22.0,43.0,0.822222
22.0,44.0,0.822222
22.0,51.0,1.0
22.0,55.0,0.888889
22.0,61.0,0.888889
22.0,72.0,1.0
22.0,73.0,0.888889
22.0,93.0,2.0
23.0,8.0,1.0
23.0,15.0,1.0
23.0,16.0,1.0
23.0,24.0,1.0
23.0,52.0,0.988889
23.0,54.0,1.0
23.0,70.0,1.0
23.0,71.0,2.0
23.0,76.0,0.822222
23.0,84.0,1.0
23.0,86.0,1.0
24.0,7.0,2.0
24.0,8.0,1.0
24.0,9.0,1.0
24.0,10.0,2.0
24.0,18.0,1.0
24.0,20.0,2.0
24.0,27.0,1.0
24.0,47.0,1.0
24.0,55.0,1.0
24.0,66.0,1.0
24.0,68.0,2.0
24.0,75.0,1.0
24.0,76.0,2.833333
24.0,82.0,1.0
24.0,84.0,0.833333
24.0,86.0,0.922222
24.0,95.0,2.0
25.0,12.0,1.0
25.0,34.0,1.0
25.0,36.0,1.0
25.0,39.0,1.0
25.0,44.0,1.977778
25.0,45.0,0.988889
25.0,52.0,0.988889
25.0,59.0,0.888889
25.0,62.0,0.788889
25.0,63.0,1.0
