x,y,value
0.0,28.0,0.677778
1.0,41.0,0.988889
2.0,12.0,0.266667
3.0,30.0,0.677778
3.0,49.0,1.0
4.0,2.0,0.988889
5.0,43.0,0.677778
6.0,4.0,0.988889
6.0,7.0,0.677778
6.0,51.0,1.0
6.0,74.0,0.8
7.0,6.0,0.988889
7.0,26.0,0.677778
7.0,50.0,1.888889
8.0,27.0,0.677778
8.0,31.0,1.0
8.0,51.0,1.0
8.0,75.0,0.8
9.0,2.0,0.677778
9.0,64.0,1.0
9.0,83.0,0.933333
10.0,27.0,1.0
10.0,42.0,0.5
11.0,18.0,1.0
11.0,34.0,0.8
11.0,64.0,1.0
11.0,82.0,1.0
12.0,6.0,0.677778
12.0,32.0,1.0
12.0,95.0,0.988889
13.0,4.0,0.988889
13.0,11.0,0.677778
13.0,26.0,0.944444
13.0,28.0,0.5
13.0,80.0,1.0
13.0,92.0,1.0
13.0,93.0,1.0
13.0,94.0,1.0
14.0,46.0,1.0
14.0,92.0,0.988889
15.0,20.0,0.5
15.0,41.0,1.0
15.0,42.0,0.8
15.0,58.0,1.0
15.0,73.0,0.5
16.0,9.0,1.666667
16.0,78.0,1.0
18.0,14.0,0.5
18.0,27.0,1.0
18.0,39.0,1.0
18.0,42.0,0.8
18.0,50.0,2.0
18.0,58.0,1.6
19.0,5.0,0.988889
19.0,30.0,0.8
19.0,31.0,1.0
19.0,35.0,1.0
19.0,36.0,0.5
19.0,75.0,1.0
19.0,93.0,0.733333
19.0,96.0,0.8
20.0,35.0,0.944444
20.0,49.0,1.0
20.0,57.0,0.5
20.0,71.0,0.5
20.0,81.0,0.933333
21.0,12.0,1.0
21.0,28.0,1.0
21.0,81.0,0.944444
21.0,94.0,1.0
22.0,2.0,0.266667
22.0,5.0,1.0
22.0,11.0,1.0
22.0,19.0,0.5
22.0,29.0,1.0
22.0,32.0,0.8
22.0,36.0,1.0
22.0,44.0,0.5
22.0,45.0,1.0
22.0,80.0,0.111111
22.0,95.0,0.944444
23.0,25.0,1.0
23.0,27.0,1.0
23.0,47.0,0.677778
24.0,6.0,1.6
24.0,28.0,1.0
24.0,49.0,1.0
24.0,54.0,2.0
24.0,55.0,1.0
24.0,63.0,0.988889
24.0,85.0,2.0
24.0,93.0,0.5
25.0,6.0,0.933333
25.0,30.0,1.0
25.0,32.0,0.5
25.0,47.0,1.177778
25.0,50.0,2.0
25.0,62.0,1.0
25.0,66.0,0.344444
25.0,81.0,0.5
25.0,84.0,1.0
25.0,96.0,0.5
26.0,10.0,2.866667
26.0,13.0,0.677778
26.0,31.0,1.0
26.0,62.0,1.0
26.0,97.0,0.5
27.0,3.0,0.255556
27.0,16.0,0.677778
27.0,17.0,1.0
27.0,25.0,1.0
27.0,26.0,1.0
27.0,27.0,1.0
27.0,37.0,1.0
27.0,38.0,2.0
27.0,39.0,0.5
27.0,61.0,0.733333
27.0,69.0,1.0
27.0,81.0,1.0
27.0,85.0,0.5
28.0,12.0,1.0
28.0,17.0,2.0
28.0,44.0,0.5
28.0,50.0,1.0
28.0,51.0,1.0
28.0,53.0,0.5
28.0,64.0,0.8
28.0,68.0,1.0
28.0,88.0,0.8
28.0,97.0,1.0
29.0,7.0,1.0
29.0,8.0,0.8
29.0,11.0,1.0
29.0,12.0,1.0
29.0,22.0,0.677778
29.0,35.0,1.0
29.0,40.0,0.5
29.0,47.0,1.888889
29.0,54.0,0.5
29.0,60.0,0.733333
29.0,69.0,0.5
29.0,75.0,0.5
29.0,97.0,1.988889
30.0,5.0,0.933333
30.0,6.0,1.0
30.0,7.0,1.0
30.0,24.0,0.5
30.0,26.0,1.0
30.0,29.0,1.944444
30.0,45.0,0.5
30.0,48.0,0.5
30.0,60.0,0.988889
30.0,61.0,0.5
30.0,62.0,1.0
30.0,63.0,1.0
30.0,70.0,0.5
30.0,72.0,1.0
30.0,79.0,0.5
30.0,86.0,1.0
30.0,91.0,1.977778
30.0,93.0,1.0
30.0,98.0,1.0
31.0,15.0,0.933333
31.0,17.0,0.677778
31.0,19.0,0.255556
31.0,25.0,1.0
31.0,26.0,0.677778
31.0,28.0,0.5
31.0,31.0,1.0
31.0,32.0,1.0
31.0,38.0,0.988889
31.0,42.0,1.0
31.0,73.0,0.5
31.0,76.0,0.5
31.0,78.0,0.5
31.0,80.0,1.5
31.0,87.0,0.933333
31.0,91.0,0.733333
31.0,92.0,0.933333
31.0,96.0,1.0
32.0,4.0,0.266667
32.0,6.0,0.933333
32.0,20.0,1.0
32.0,24.0,0.255556
32.0,25.0,1.0
32.0,28.0,0.5
32.0,34.0,0.8
32.0,35.0,1.0
32.0,51.0,1.6
32.0,54.0,1.0
32.0,73.0,0.5
32.0,79.0,1.0
32.0,93.0,0.988889
32.0,100.0,1.0
33.0,1.0,0.933333
33.0,2.0,0.988889
33.0,3.0,0.988889
33.0,5.0,1.0
33.0,7.0,0.766667
33.0,58.0,1.0
33.0,63.0,0.5
33.0,70.0,0.933333
33.0,75.0,1.0
33.0,81.0,0.5
33.0,97.0,0.933333
34.0,3.0,0.933333
34.0,5.0,0.933333
34.0,7.0,0.944444
34.0,9.0,0.944444
34.0,10.0,0.988889
34.0,12.0,0.5
34.0,13.0,1.488889
34.0,25.0,0.5
34.0,26.0,0.255556
34.0,53.0,0.933333
34.0,57.0,0.8
34.0,60.0,1.0
34.0,82.0,0.988889
35.0,3.0,0.933333
35.0,18.0,0.677778
35.0,20.0,0.5
35.0,21.0,0.944444
35.0,22.0,0.677778
35.0,24.0,1.0
35.0,28.0,0.5
35.0,31.0,0.8
35.0,36.0,1.6
35.0,43.0,0.5
35.0,46.0,0.677778
35.0,47.0,0.766667
35.0,62.0,0.5
35.0,73.0,0.5
36.0,11.0,0.944444
36.0,12.0,0.8
36.0,19.0,0.5
36.0,28.0,0.5
36.0,32.0,0.988889
36.0,33.0,0.944444
36.0,34.0,1.0
36.0,69.0,1.988889
36.0,75.0,2.677778
36.0,78.0,1.0
36.0,85.0,1.0
36.0,93.0,0.5
37.0,13.0,0.988889
37.0,17.0,0.933333
37.0,29.0,0.944444
37.0,32.0,0.5
37.0,34.0,1.6
37.0,36.0,0.5
37.0,37.0,0.5
37.0,38.0,1.0
37.0,50.0,0.5
37.0,69.0,0.5
37.0,76.0,0.733333
37.0,78.0,1.0
37.0,79.0,1.0
37.0,85.0,0.988889
37.0,88.0,1.0
38.0,12.0,0.266667
38.0,16.0,2.666667
38.0,17.0,1.0
38.0,18.0,0.677778
38.0,29.0,0.5
38.0,31.0,1.0
38.0,36.0,1.933333
38.0,41.0,1.0
38.0,42.0,1.0
38.0,44.0,0.5
38.0,52.0,0.8
38.0,60.0,1.0
38.0,61.0,0.5
38.0,79.0,0.988889
38.0,83.0,1.0
38.0,88.0,1.0
38.0,89.0,1.0
39.0,3.0,2.0
39.0,5.0,1.0
39.0,7.0,1.0
39.0,12.0,0.266667
39.0,16.0,1.0
39.0,22.0,1.0
39.0,28.0,1.0
39.0,35.0,0.944444
39.0,40.0,0.5
39.0,45.0,1.0
39.0,60.0,1.0
39.0,76.0,1.5
39.0,81.0,0.5
39.0,83.0,1.0
40.0,10.0,1.0
40.0,22.0,0.677778
40.0,31.0,0.5
40.0,32.0,2.0
40.0,42.0,1.0
40.0,51.0,1.0
40.0,59.0,0.733333
40.0,68.0,0.944444
40.0,72.0,0.5
40.0,74.0,0.5
40.0,76.0,0.988889
40.0,84.0,0.5
40.0,87.0,0.8
40.0,90.0,1.0
40.0,91.0,1.0
40.0,96.0,2.255556
41.0,9.0,1.0
41.0,10.0,2.933333
41.0,23.0,0.5
41.0,27.0,1.0
41.0,28.0,1.944444
41.0,30.0,0.5
41.0,33.0,2.0
41.0,60.0,0.5
41.0,70.0,0.677778
41.0,82.0,1.0
41.0,89.0,1.0
41.0,96.0,0.8
42.0,13.0,0.266667
42.0,18.0,0.988889
42.0,24.0,0.5
42.0,49.0,0.5
42.0,52.0,1.0
42.0,61.0,0.5
42.0,69.0,0.5
42.0,84.0,0.677778
42.0,86.0,1.0
42.0,88.0,1.0
42.0,89.0,1.0
42.0,93.0,1.111111
42.0,94.0,1.0
43.0,1.0,0.344444
43.0,9.0,0.8
43.0,15.0,0.933333
43.0,17.0,0.988889
43.0,29.0,1.0
43.0,31.0,1.0
43.0,38.0,1.0
43.0,40.0,0.5
43.0,42.0,0.8
43.0,52.0,1.0
