x,y,value
1.0,35.0,1.0
2.0,49.0,1.0
2.0,60.0,1.0
3.0,75.0,0.988889
4.0,32.0,1.0
4.0,63.0,0.988889
4.0,74.0,0.966667
4.0,89.0,0.8
4.0,91.0,0.755556
5.0,81.0,2.755556
5.0,86.0,0.688889
6.0,77.0,0.966667
6.0,88.0,1.0
7.0,33.0,0.822222
7.0,46.0,1.833333
7.0,82.0,1.0
7.0,85.0,0.933333
7.0,90.0,0.811111
7.0,92.0,0.966667
7.0,93.0,0.688889
8.0,47.0,1.0
8.0,51.0,1.0
8.0,53.0,0.344444
8.0,57.0,0.8
8.0,70.0,0.711111
8.0,89.0,1.344444
9.0,45.0,1.0
9.0,57.0,0.988889
9.0,73.0,1.0
10.0,13.0,1.0
10.0,17.0,0.9
10.0,47.0,1.0
10.0,53.0,2.0
10.0,55.0,1.0
10.0,58.0,1.0
10.0,71.0,1.0
10.0,72.0,2.0
10.0,76.0,1.0
10.0,80.0,0.344444
10.0,82.0,1.0
10.0,84.0,1.0
10.0,93.0,1.0
11.0,46.0,0.988889
11.0,47.0,0.833333
11.0,51.0,0.911111
11.0,62.0,0.766667
11.0,75.0,0.755556
11.0,80.0,0.966667
11.0,91.0,0.811111
12.0,26.0,0.988889
12.0,30.0,0.711111
12.0,40.0,1.0
12.0,48.0,0.811111
12.0,62.0,1.0
12.0,72.0,1.0
13.0,22.0,1.0
13.0,30.0,0.822222
13.0,38.0,0.811111
13.0,43.0,1.0
13.0,61.0,1.0
13.0,65.0,0.766667
13.0,73.0,0.877778
13.0,74.0,0.988889
13.0,75.0,1.0
13.0,85.0,0.966667
13.0,86.0,1.0
13.0,89.0,1.0
13.0,92.0,1.0
13.0,93.0,0.811111
14.0,30.0,0.822222
14.0,32.0,0.822222
14.0,40.0,0.988889
14.0,41.0,0.988889
14.0,50.0,1.0
14.0,52.0,0.988889
14.0,53.0,0.988889
14.0,54.0,0.755556
14.0,55.0,1.0
14.0,57.0,0.811111
14.0,62.0,0.822222
14.0,64.0,0.933333
