x,y,value
0.0,48.0,1.0
1.0,48.0,1.0
1.0,67.0,1.0
1.0,84.0,1.0
2.0,11.0,1.0
2.0,36.0,1.0
2.0,47.0,1.0
2.0,58.0,1.0
2.0,70.0,1.0
2.0,71.0,1.0
2.0,83.0,1.0
2.0,85.0,1.0
3.0,33.0,1.0
3.0,44.0,1.0
3.0,50.0,1.0
3.0,74.0,1.0
3.0,83.0,1.0
4.0,9.0,1.0
4.0,15.0,1.0
4.0,28.0,1.0
4.0,44.0,1.0
4.0,49.0,1.0
4.0,50.0,1.0
4.0,51.0,1.0
4.0,57.0,1.0
4.0,65.0,1.0
4.0,69.0,1.0
4.0,77.0,1.0
4.0,92.0,1.0
4.0,95.0,1.0
5.0,11.0,1.0
5.0,15.0,1.0
5.0,16.0,1.0
5.0,21.0,1.0
5.0,24.0,1.0
5.0,25.0,1.0
5.0,34.0,1.0
5.0,42.0,2.0
5.0,47.0,1.0
5.0,49.0,1.0
5.0,51.0,1.0
5.0,53.0,1.0
5.0,75.0,1.0
5.0,82.0,1.0
5.0,83.0,1.0
5.0,85.0,1.0
6.0,15.0,1.0
6.0,29.0,1.0
6.0,35.0,1.0
6.0,40.0,1.0
6.0,41.0,1.0
6.0,53.0,1.0
6.0,56.0,1.0
6.0,64.0,1.0
6.0,75.0,1.0
6.0,82.0,1.0
6.0,85.0,1.0
7.0,31.0,1.0
7.0,35.0,2.0
7.0,42.0,1.0
7.0,43.0,1.0
7.0,46.0,1.0
7.0,48.0,1.0
7.0,51.0,1.0
7.0,54.0,2.0
7.0,56.0,1.0
7.0,57.0,1.0
7.0,68.0,1.0
7.0,69.0,1.0
7.0,72.0,1.0
7.0,75.0,1.0
8.0,5.0,1.0
8.0,23.0,1.0
8.0,31.0,1.0
8.0,39.0,1.0
8.0,41.0,1.0
8.0,42.0,1.0
8.0,45.0,1.0
8.0,47.0,1.0
8.0,48.0,1.0
8.0,52.0,1.0
8.0,70.0,1.0
8.0,72.0,2.0
8.0,84.0,1.0
9.0,38.0,2.0
9.0,40.0,1.0
9.0,42.0,1.0
9.0,51.0,1.0
9.0,56.0,2.0
9.0,57.0,1.0
9.0,64.0,2.0
9.0,67.0,1.0
9.0,78.0,1.0
9.0,81.0,1.0
9.0,83.0,1.0
9.0,84.0,1.0
9.0,86.0,1.0
9.0,96.0,1.0
10.0,23.0,1.0
10.0,27.0,1.0
10.0,30.0,1.0
10.0,34.0,1.0
10.0,44.0,1.0
10.0,48.0,3.0
10.0,52.0,1.0
10.0,53.0,1.0
10.0,71.0,1.0
10.0,74.0,1.0
11.0,18.0,1.0
11.0,35.0,1.0
11.0,39.0,1.0
11.0,44.0,1.0
11.0,53.0,1.0
11.0,54.0,1.0
11.0,56.0,1.0
11.0,64.0,2.0
11.0,72.0,1.0
11.0,90.0,1.0
11.0,91.0,1.0
12.0,31.0,1.0
12.0,42.0,1.0
12.0,44.0,1.0
12.0,45.0,1.0
12.0,48.0,1.0
12.0,49.0,1.0
12.0,51.0,1.0
12.0,62.0,1.0
12.0,70.0,1.0
12.0,80.0,1.0
12.0,94.0,1.0
13.0,10.0,1.0
13.0,11.0,1.0
13.0,14.0,1.0
13.0,17.0,2.0
13.0,18.0,1.0
13.0,25.0,1.0
13.0,34.0,1.0
13.0,35.0,2.0
13.0,40.0,1.0
13.0,49.0,1.0
13.0,51.0,1.0
13.0,66.0,2.0
13.0,83.0,1.0
14.0,3.0,1.0
14.0,5.0,1.0
14.0,12.0,1.0
14.0,18.0,1.0
14.0,19.0,1.0
14.0,23.0,2.0
