x,y,value
2.0,31.0,1.0
2.0,61.0,1.0
3.0,4.0,1.0
3.0,5.0,1.0
3.0,6.0,1.0
3.0,30.0,1.0
3.0,31.0,2.0
3.0,33.0,1.0
3.0,34.0,1.0
3.0,41.0,1.0
3.0,49.0,0.222222
4.0,6.0,1.0
4.0,45.0,1.0
4.0,76.0,1.0
5.0,14.0,1.0
5.0,48.0,1.0
5.0,62.0,1.0
5.0,92.0,1.0
6.0,6.0,0.688889
6.0,38.0,0.855556
6.0,80.0,1.0
7.0,27.0,1.0
7.0,37.0,1.0
7.0,38.0,1.0
7.0,52.0,1.0
7.0,92.0,0.688889
7.0,93.0,0.866667
8.0,33.0,1.0
8.0,49.0,1.0
8.0,55.0,1.0
8.0,91.0,2.0
9.0,11.0,1.0
9.0,31.0,0.688889
9.0,37.0,1.0
9.0,38.0,1.0
9.0,43.0,1.0
10.0,6.0,1.0
10.0,39.0,1.0
10.0,53.0,1.0
10.0,60.0,1.0
10.0,73.0,1.0
10.0,85.0,2.0
11.0,11.0,2.0
11.0,12.0,1.0
11.0,13.0,1.0
11.0,18.0,1.0
11.0,26.0,2.0
11.0,31.0,1.0
11.0,38.0,1.0
11.0,60.0,1.0
11.0,74.0,1.0
11.0,78.0,1.0
11.0,90.0,1.7
12.0,19.0,1.0
12.0,36.0,1.0
12.0,59.0,1.0
12.0,85.0,0.688889
12.0,90.0,1.0
13.0,11.0,2.0
13.0,13.0,0.855556
13.0,35.0,1.0
13.0,39.0,1.0
13.0,50.0,2.0
13.0,83.0,1.5
13.0,92.0,1.0
14.0,2.0,1.0
14.0,10.0,2.0
14.0,15.0,0.7
14.0,34.0,1.0
14.0,40.0,1.0
14.0,47.0,1.0
14.0,49.0,1.0
14.0,53.0,1.0
14.0,75.0,0.866667
14.0,85.0,1.0
14.0,94.0,0.5
15.0,11.0,0.133333
15.0,23.0,1.0
15.0,27.0,1.0
15.0,29.0,1.0
15.0,36.0,1.0
15.0,40.0,1.0
15.0,56.0,0.955556
15.0,93.0,1.0
16.0,50.0,1.0
16.0,84.0,1.0
17.0,7.0,1.0
17.0,15.0,0.133333
17.0,32.0,1.0
17.0,38.0,1.0
17.0,48.0,1.0
17.0,52.0,0.955556
17.0,63.0,0.866667
18.0,4.0,1.0
18.0,21.0,1.0
18.0,33.0,0.955556
18.0,48.0,1.0
18.0,49.0,1.0
18.0,53.0,1.0
18.0,71.0,0.222222
18.0,72.0,1.711111
19.0,27.0,1.0
19.0,50.0,1.0
19.0,53.0,1.0
19.0,58.0,2.0
19.0,59.0,1.0
19.0,69.0,1.0
19.0,71.0,1.0
19.0,75.0,1.0
20.0,7.0,0.955556
20.0,8.0,0.866667
20.0,23.0,1.0
20.0,53.0,1.0
20.0,62.0,0.855556
20.0,68.0,1.0
20.0,69.0,1.0
20.0,75.0,1.0
21.0,4.0,1.0
21.0,9.0,0.955556
21.0,25.0,0.866667
21.0,29.0,1.0
21.0,32.0,1.0
21.0,35.0,1.0
21.0,38.0,0.866667
21.0,39.0,1.0
21.0,52.0,0.866667
21.0,60.0,1.0
21.0,76.0,1.0
21.0,89.0,1.0
21.0,96.0,0.7
22.0,2.0,1.0
22.0,6.0,2.0
22.0,22.0,1.0
22.0,40.0,1.0
22.0,42.0,1.0
22.0,44.0,0.955556
22.0,51.0,2.0
22.0,53.0,1.0
22.0,58.0,1.0
22.0,60.0,1.0
22.0,63.0,1.0
22.0,78.0,1.0
22.0,80.0,1.0
22.0,84.0,1.0
22.0,86.0,1.0
22.0,90.0,1.0
23.0,4.0,1.0
23.0,6.0,0.955556
23.0,11.0,1.0
23.0,25.0,2.0
23.0,28.0,0.866667
23.0,30.0,1.0
23.0,35.0,1.722222
23.0,38.0,0.7
23.0,39.0,1.0
23.0,43.0,1.0
23.0,58.0,1.0
23.0,60.0,1.0
23.0,65.0,1.0
23.0,74.0,2.0
23.0,77.0,1.0
23.0,79.0,0.222222
23.0,87.0,0.866667
23.0,90.0,1.0
24.0,6.0,1.0
24.0,13.0,1.133333
24.0,18.0,0.133333
24.0,23.0,2.0
24.0,28.0,2.0
24.0,35.0,0.644444
24.0,36.0,0.955556
24.0,37.0,1.0
24.0,46.0,1.0
24.0,53.0,0.855556
24.0,60.0,0.866667
24.0,68.0,1.0
24.0,69.0,0.644444
24.0,94.0,0.644444
25.0,7.0,1.0
25.0,9.0,1.0
25.0,17.0,1.0
25.0,34.0,1.0
25.0,35.0,1.0
25.0,37.0,1.0
25.0,43.0,0.955556
25.0,49.0,1.0
25.0,62.0,1.0
25.0,66.0,1.0
25.0,74.0,2.0
25.0,90.0,0.644444
26.0,5.0,1.0
26.0,12.0,1.0
26.0,13.0,0.866667
26.0,17.0,0.688889
26.0,25.0,1.0
26.0,27.0,0.855556
26.0,29.0,0.133333
26.0,30.0,4.0
26.0,33.0,1.0
26.0,34.0,1.0
26.0,35.0,1.0
26.0,39.0,0.955556
26.0,49.0,1.0
26.0,53.0,0.7
26.0,54.0,1.866667
26.0,56.0,0.866667
26.0,60.0,0.955556
26.0,61.0,1.0
26.0,66.0,1.0
26.0,68.0,1.0
26.0,69.0,1.0
26.0,72.0,2.0
26.0,73.0,1.0
26.0,74.0,1.0
26.0,78.0,1.0
26.0,90.0,0.688889
27.0,3.0,1.0
27.0,9.0,0.866667
27.0,14.0,1.0
27.0,16.0,1.644444
27.0,26.0,1.955556
27.0,31.0,1.0
27.0,32.0,2.0
27.0,36.0,1.0
27.0,37.0,1.0
27.0,47.0,1.0
27.0,53.0,0.866667
27.0,56.0,1.0
27.0,63.0,1.0
27.0,65.0,1.0
27.0,68.0,0.5
27.0,70.0,1.0
27.0,71.0,0.688889
27.0,72.0,1.0
27.0,78.0,0.5
27.0,90.0,2.0
28.0,11.0,0.866667
28.0,15.0,2.0
28.0,17.0,1.0
28.0,21.0,0.644444
28.0,22.0,1.0
28.0,25.0,2.555556
28.0,27.0,1.0
28.0,29.0,0.855556
28.0,34.0,1.0
28.0,41.0,1.0
28.0,42.0,1.0
28.0,43.0,1.955556
28.0,50.0,1.0
28.0,51.0,0.866667
28.0,55.0,0.866667
28.0,56.0,1.0
28.0,57.0,1.0
28.0,59.0,2.0
28.0,71.0,0.955556
28.0,95.0,1.0
29.0,3.0,1.0
29.0,12.0,1.0
29.0,13.0,0.688889
29.0,14.0,1.0
29.0,22.0,1.0
29.0,33.0,1.0
29.0,34.0,1.0
29.0,35.0,1.0
29.0,36.0,1.0
29.0,37.0,0.688889
29.0,49.0,1.0
29.0,55.0,2.0
29.0,58.0,2.0
29.0,59.0,1.0
29.0,66.0,1.0
29.0,68.0,2.855556
29.0,70.0,2.0
29.0,72.0,1.0
29.0,83.0,1.0
29.0,85.0,1.0
29.0,87.0,1.0
29.0,89.0,1.0
29.0,90.0,1.0
29.0,96.0,1.0
30.0,2.0,1.0
30.0,4.0,1.0
30.0,8.0,1.0
30.0,11.0,1.0
30.0,13.0,0.688889
30.0,15.0,1.0
30.0,23.0,1.0
30.0,25.0,1.0
30.0,32.0,1.0
30.0,36.0,0.7
30.0,37.0,1.0
30.0,42.0,1.0
30.0,48.0,1.0
30.0,52.0,2.0
30.0,55.0,0.644444
30.0,57.0,1.0
30.0,61.0,1.0
30.0,64.0,1.0
30.0,65.0,2.0
30.0,68.0,1.0
30.0,73.0,2.0
30.0,75.0,0.855556
30.0,76.0,1.0
30.0,78.0,1.0
30.0,95.0,1.0
31.0,4.0,1.0
31.0,8.0,0.133333
31.0,15.0,1.855556
31.0,16.0,0.955556
31.0,17.0,1.0
31.0,23.0,1.0
31.0,27.0,2.855556
31.0,43.0,0.5
31.0,46.0,0.955556
31.0,47.0,1.0
31.0,48.0,1.0
31.0,49.0,2.0
31.0,53.0,2.0
31.0,59.0,1.0
31.0,61.0,1.0
31.0,62.0,1.0
31.0,69.0,1.0
31.0,72.0,1.0
31.0,79.0,1.0
31.0,82.0,1.0
31.0,91.0,0.222222
32.0,3.0,1.0
32.0,5.0,0.688889
32.0,6.0,1.0
32.0,13.0,0.644444
32.0,17.0,0.688889
32.0,20.0,1.0
32.0,27.0,0.688889
32.0,28.0,1.0
32.0,29.0,1.0
32.0,30.0,1.0
32.0,31.0,1.0
32.0,34.0,0.644444
32.0,37.0,1.688889
32.0,39.0,1.0
32.0,41.0,1.0
32.0,45.0,1.0
32.0,47.0,2.0
32.0,48.0,1.0
32.0,50.0,0.955556
32.0,57.0,1.0
32.0,64.0,1.2
32.0,69.0,1.0
32.0,70.0,2.0
32.0,72.0,1.0
32.0,85.0,1.0
32.0,90.0,1.0
32.0,91.0,1.0
33.0,5.0,1.0
33.0,12.0,0.7
33.0,18.0,1.0
33.0,21.0,1.0
33.0,29.0,2.0
33.0,31.0,2.0
33.0,34.0,2.0
33.0,35.0,0.644444
33.0,36.0,1.0
33.0,37.0,1.0
33.0,40.0,1.866667
33.0,45.0,0.222222
33.0,46.0,0.5
33.0,51.0,1.0
33.0,56.0,3.0
33.0,57.0,0.855556
33.0,59.0,1.0
33.0,61.0,0.644444
33.0,64.0,0.955556
33.0,69.0,1.0
33.0,91.0,1.0
34.0,4.0,1.0
34.0,6.0,1.733333
34.0,7.0,1.0
34.0,8.0,0.955556
34.0,28.0,1.0
34.0,29.0,1.0
34.0,35.0,1.0
34.0,38.0,0.688889
34.0,39.0,1.0
34.0,40.0,0.855556
34.0,43.0,1.0
34.0,48.0,1.0
34.0,52.0,1.0
