x,y,value
0.0,28.0,1.0
0.0,32.0,1.0
0.0,42.0,1.0
0.0,67.0,1.0
1.0,11.0,0.633333
1.0,30.0,1.0
2.0,12.0,1.0
2.0,28.0,2.0
2.0,33.0,1.0
2.0,44.0,1.0
2.0,45.0,1.0
2.0,61.0,1.0
2.0,73.0,1.0
2.0,84.0,0.666667
3.0,2.0,1.0
3.0,7.0,1.0
3.0,24.0,1.0
3.0,41.0,0.811111
3.0,60.0,1.0
3.0,62.0,0.633333
3.0,73.0,1.0
3.0,76.0,1.0
3.0,88.0,1.0
3.0,96.0,1.0
4.0,10.0,1.0
4.0,11.0,0.5
4.0,14.0,1.0
4.0,27.0,0.811111
4.0,30.0,3.0
4.0,32.0,2.0
4.0,36.0,1.0
4.0,39.0,0.633333
4.0,44.0,0.666667
4.0,51.0,1.0
4.0,53.0,1.0
4.0,66.0,1.0
4.0,68.0,2.0
4.0,71.0,1.0
4.0,87.0,1.0
5.0,4.0,1.0
5.0,5.0,1.0
5.0,17.0,0.633333
5.0,18.0,0.855556
5.0,27.0,1.0
5.0,29.0,1.0
5.0,33.0,1.0
5.0,37.0,1.666667
5.0,38.0,1.0
5.0,49.0,1.0
5.0,64.0,2.0
6.0,5.0,3.0
6.0,17.0,0.855556
6.0,18.0,1.0
6.0,19.0,1.0
6.0,22.0,2.0
6.0,28.0,1.0
6.0,31.0,1.0
6.0,59.0,0.688889
6.0,66.0,1.0
6.0,76.0,0.633333
6.0,81.0,2.0
7.0,11.0,1.0
7.0,30.0,1.0
7.0,33.0,2.0
7.0,35.0,2.0
7.0,37.0,2.666667
7.0,39.0,3.0
7.0,42.0,0.5
7.0,44.0,0.811111
7.0,49.0,0.688889
7.0,52.0,1.0
7.0,57.0,1.0
7.0,63.0,1.0
7.0,64.0,2.0
7.0,68.0,0.788889
7.0,75.0,0.922222
7.0,84.0,1.0
8.0,14.0,1.0
8.0,32.0,1.0
8.0,35.0,1.0
8.0,37.0,1.0
8.0,50.0,1.0
8.0,51.0,1.0
8.0,57.0,0.666667
8.0,58.0,1.0
8.0,61.0,1.0
8.0,67.0,0.688889
8.0,73.0,1.6
8.0,87.0,1.0
9.0,6.0,1.0
9.0,11.0,1.0
9.0,20.0,1.0
9.0,27.0,1.0
9.0,33.0,1.0
9.0,44.0,1.0
9.0,45.0,1.0
9.0,56.0,1.0
9.0,63.0,1.0
9.0,65.0,1.0
9.0,66.0,1.0
9.0,82.0,1.0
9.0,87.0,1.0
9.0,89.0,1.0
9.0,90.0,1.0
10.0,8.0,2.0
10.0,18.0,1.0
10.0,26.0,0.966667
10.0,32.0,1.0
10.0,35.0,0.811111
10.0,56.0,2.0
10.0,57.0,0.855556
10.0,58.0,1.0
10.0,62.0,1.0
10.0,63.0,1.0
10.0,64.0,1.0
10.0,94.0,1.0
10.0,95.0,1.0
11.0,10.0,1.0
11.0,11.0,1.0
11.0,19.0,1.0
11.0,20.0,1.0
11.0,35.0,2.0
11.0,36.0,1.0
11.0,47.0,1.0
11.0,51.0,2.0
11.0,56.0,2.0
11.0,58.0,2.0
11.0,59.0,1.666667
11.0,60.0,0.688889
11.0,61.0,1.0
11.0,65.0,0.5
11.0,70.0,1.0
11.0,75.0,2.0
12.0,17.0,1.0
12.0,23.0,2.0
12.0,28.0,0.922222
12.0,37.0,0.922222
12.0,40.0,1.0
12.0,41.0,3.0
12.0,43.0,0.922222
12.0,44.0,0.788889
12.0,47.0,1.0
12.0,48.0,1.0
12.0,50.0,1.0
12.0,52.0,1.0
12.0,55.0,1.0
12.0,57.0,1.0
12.0,64.0,1.0
12.0,72.0,0.922222
12.0,75.0,1.0
12.0,77.0,1.0
12.0,85.0,1.0
12.0,89.0,1.0
12.0,92.0,0.788889
13.0,15.0,1.0
13.0,27.0,0.811111
13.0,38.0,1.0
13.0,42.0,1.0
13.0,44.0,0.788889
13.0,52.0,2.0
13.0,57.0,1.0
13.0,62.0,0.855556
13.0,67.0,1.522222
13.0,68.0,1.0
13.0,87.0,0.811111
13.0,97.0,1.0
14.0,6.0,1.0
14.0,11.0,1.0
14.0,13.0,1.0
14.0,16.0,1.0
14.0,26.0,1.0
14.0,28.0,1.0
14.0,29.0,1.0
14.0,34.0,2.0
14.0,39.0,0.855556
14.0,42.0,1.0
14.0,44.0,0.922222
14.0,49.0,1.0
14.0,52.0,1.0
14.0,59.0,0.666667
14.0,68.0,0.688889
14.0,75.0,1.0
14.0,81.0,1.0
14.0,83.0,0.922222
15.0,26.0,1.0
15.0,31.0,1.0
15.0,39.0,1.0
15.0,47.0,1.0
15.0,51.0,1.955556
15.0,62.0,1.0
15.0,63.0,0.966667
15.0,77.0,1.0
15.0,93.0,1.0
16.0,62.0,1.0
16.0,66.0,0.922222
16.0,75.0,1.0
16.0,93.0,1.0
17.0,6.0,1.0
17.0,10.0,1.0
17.0,16.0,1.0
17.0,38.0,1.0
17.0,88.0,1.0
18.0,13.0,0.811111
18.0,17.0,0.811111
18.0,18.0,1.0
18.0,20.0,0.811111
18.0,29.0,0.955556
18.0,41.0,1.0
18.0,48.0,0.966667
18.0,50.0,1.0
18.0,52.0,2.655556
18.0,53.0,1.0
18.0,57.0,1.0
18.0,59.0,1.0
18.0,61.0,1.0
18.0,79.0,0.666667
18.0,89.0,0.666667
18.0,96.0,1.0
19.0,10.0,0.966667
19.0,24.0,1.0
19.0,53.0,0.811111
19.0,55.0,1.0
19.0,62.0,2.0
19.0,66.0,1.0
19.0,72.0,0.922222
19.0,87.0,1.0
19.0,88.0,0.811111
19.0,92.0,0.855556
20.0,6.0,1.0
20.0,13.0,1.0
20.0,20.0,0.922222
20.0,21.0,0.811111
20.0,24.0,1.0
20.0,32.0,1.0
20.0,37.0,1.0
20.0,42.0,2.0
20.0,48.0,1.0
20.0,51.0,2.0
20.0,52.0,1.0
20.0,54.0,1.0
20.0,58.0,1.0
20.0,59.0,2.0
20.0,61.0,1.0
