x,y,value
0.0,49.0,0.866667
1.0,8.0,1.0
1.0,9.0,0.977778
2.0,6.0,0.866667
2.0,15.0,1.0
2.0,16.0,1.0
2.0,21.0,0.933333
2.0,25.0,1.0
2.0,30.0,1.0
2.0,31.0,1.0
2.0,36.0,1.0
2.0,39.0,1.0
2.0,51.0,1.0
2.0,64.0,1.0
3.0,9.0,0.977778
3.0,12.0,1.0
3.0,14.0,1.0
3.0,15.0,1.0
3.0,24.0,1.0
3.0,29.0,1.0
3.0,33.0,1.0
3.0,36.0,1.0
3.0,40.0,3.0
3.0,42.0,1.0
3.0,51.0,0.855556
3.0,52.0,1.0
3.0,55.0,1.711111
3.0,56.0,1.0
3.0,59.0,0.955556
3.0,64.0,1.0
3.0,91.0,1.0
3.0,92.0,1.0
4.0,4.0,1.0
4.0,7.0,1.0
4.0,12.0,2.0
4.0,15.0,1.855556
4.0,18.0,1.866667
4.0,23.0,1.0
4.0,25.0,2.0
4.0,28.0,1.0
4.0,35.0,1.0
4.0,37.0,1.0
4.0,38.0,1.0
4.0,40.0,2.533333
4.0,41.0,0.677778
4.0,44.0,1.0
4.0,46.0,3.0
4.0,47.0,0.977778
4.0,48.0,1.0
4.0,51.0,0.855556
4.0,52.0,1.5
4.0,53.0,2.0
4.0,59.0,0.955556
5.0,6.0,0.855556
5.0,8.0,0.955556
5.0,9.0,1.855556
5.0,11.0,0.288889
5.0,16.0,1.0
5.0,19.0,1.0
5.0,26.0,1.0
5.0,27.0,1.0
5.0,28.0,0.977778
5.0,29.0,1.0
5.0,32.0,2.0
5.0,36.0,0.977778
5.0,38.0,1.3
5.0,40.0,2.0
5.0,43.0,1.0
5.0,51.0,0.5
5.0,64.0,1.0
6.0,5.0,0.855556
6.0,6.0,1.0
6.0,13.0,1.0
6.0,14.0,0.977778
6.0,16.0,1.0
6.0,19.0,1.0
6.0,20.0,1.0
6.0,22.0,1.866667
6.0,27.0,1.955556
6.0,29.0,3.0
6.0,33.0,1.0
6.0,34.0,1.0
6.0,37.0,1.0
6.0,43.0,3.0
6.0,44.0,0.933333
6.0,47.0,1.0
6.0,49.0,0.622222
6.0,50.0,1.0
6.0,53.0,1.0
6.0,65.0,1.0
6.0,73.0,2.0
6.0,78.0,1.0
7.0,6.0,0.677778
7.0,7.0,1.0
7.0,8.0,1.711111
7.0,10.0,0.288889
7.0,12.0,1.0
7.0,14.0,1.833333
7.0,15.0,1.711111
7.0,19.0,0.866667
7.0,24.0,2.0
7.0,25.0,1.0
7.0,26.0,1.0
