x,y,value
12.0,36.0,0.855556
14.0,15.0,0.788889
14.0,42.0,0.844444
19.0,35.0,0.788889
21.0,8.0,0.855556
21.0,15.0,0.788889
21.0,59.0,0.788889
23.0,69.0,0.855556
24.0,24.0,0.855556
24.0,39.0,0.788889
24.0,68.0,0.855556
25.0,16.0,0.788889
25.0,78.0,0.844444
26.0,68.0,0.855556
27.0,64.0,0.855556
27.0,79.0,0.855556
29.0,43.0,0.855556
30.0,27.0,0.844444
30.0,30.0,0.788889
31.0,28.0,0.855556
31.0,58.0,0.844444
31.0,61.0,0.788889
31.0,71.0,0.844444
32.0,29.0,0.844444
33.0,43.0,0.788889
34.0,19.0,0.844444
34.0,26.0,0.844444
34.0,61.0,0.855556
35.0,11.0,0.855556
36.0,30.0,0.855556
36.0,45.0,0.788889
36.0,57.0,0.844444
37.0,20.0,0.788889
38.0,12.0,0.788889
38.0,23.0,0.844444
38.0,52.0,0.844444
38.0,71.0,0.844444
39.0,27.0,0.788889
39.0,31.0,1.688889
39.0,50.0,0.788889
40.0,12.0,0.855556
40.0,20.0,0.855556
40.0,34.0,0.855556
43.0,30.0,0.855556
43.0,33.0,0.844444
43.0,43.0,0.844444
43.0,59.0,0.855556
44.0,36.0,0.855556
44.0,50.0,0.855556
45.0,21.0,0.788889
45.0,31.0,0.855556
46.0,27.0,1.633333
46.0,50.0,0.855556
46.0,51.0,0.788889
47.0,23.0,0.788889
48.0,52.0,0.855556
49.0,13.0,0.844444
49.0,28.0,0.844444
49.0,49.0,0.855556
52.0,57.0,0.844444
53.0,45.0,0.844444
53.0,48.0,0.844444
53.0,49.0,0.844444
53.0,65.0,0.788889
54.0,14.0,0.788889
54.0,31.0,0.788889
54.0,72.0,0.855556
55.0,9.0,0.844444
55.0,17.0,0.788889
55.0,19.0,1.633333
55.0,46.0,0.788889
55.0,66.0,0.788889
57.0,5.0,0.844444
57.0,6.0,0.844444
57.0,11.0,0.788889
57.0,19.0,0.788889
57.0,33.0,0.844444
57.0,62.0,0.855556
59.0,7.0,0.844444
59.0,12.0,0.788889
59.0,21.0,0.788889
59.0,42.0,0.855556
59.0,60.0,0.855556
60.0,6.0,1.633333
60.0,33.0,0.844444
60.0,36.0,0.855556
60.0,37.0,0.788889
60.0,49.0,0.788889
61.0,10.0,0.855556
61.0,17.0,0.844444
61.0,31.0,0.844444
61.0,32.0,0.788889
61.0,64.0,0.855556
61.0,69.0,0.844444
62.0,9.0,0.855556
62.0,18.0,0.855556
62.0,56.0,0.844444
62.0,61.0,0.855556
62.0,71.0,0.788889
63.0,7.0,0.844444
63.0,26.0,0.855556
63.0,78.0,0.855556
64.0,6.0,0.788889
64.0,9.0,0.788889
64.0,19.0,0.788889
64.0,93.0,0.844444
65.0,20.0,0.855556
65.0,24.0,0.788889
65.0,30.0,0.844444
65.0,31.0,0.844444
65.0,67.0,0.788889
66.0,24.0,0.844444
66.0,30.0,0.844444
66.0,73.0,0.855556
66.0,79.0,0.844444
67.0,19.0,0.844444
67.0,31.0,0.844444
68.0,12.0,0.844444
68.0,14.0,0.855556
68.0,17.0,0.788889
68.0,24.0,0.844444
68.0,33.0,0.844444
68.0,71.0,0.855556
68.0,75.0,0.855556
68.0,89.0,0.788889
69.0,24.0,0.855556
69.0,26.0,0.855556
69.0,28.0,0.788889
69.0,29.0,0.844444
69.0,32.0,0.844444
69.0,71.0,0.844444
69.0,82.0,0.788889
70.0,21.0,0.788889
70.0,30.0,0.788889
70.0,31.0,0.855556
70.0,63.0,0.788889
70.0,69.0,0.855556
71.0,25.0,0.844444
71.0,30.0,0.844444
72.0,14.0,0.844444
72.0,23.0,0.855556
72.0,24.0,0.855556
72.0,53.0,0.844444
72.0,88.0,0.855556
73.0,11.0,0.855556
73.0,16.0,0.844444
73.0,22.0,0.844444
73.0,30.0,0.844444
74.0,5.0,0.855556
74.0,8.0,0.788889
74.0,18.0,0.844444
74.0,21.0,0.844444
74.0,65.0,0.855556
74.0,68.0,0.855556
74.0,76.0,0.788889
75.0,8.0,0.844444
75.0,18.0,1.633333
75.0,25.0,0.855556
75.0,27.0,0.844444
75.0,46.0,0.844444
76.0,14.0,0.788889
76.0,20.0,0.844444
77.0,23.0,0.855556
77.0,50.0,0.844444
77.0,64.0,0.855556
78.0,36.0,0.855556
79.0,29.0,0.844444
80.0,7.0,0.788889
80.0,11.0,1.688889
80.0,19.0,0.844444
80.0,31.0,0.855556
80.0,46.0,0.844444
80.0,66.0,0.855556
81.0,13.0,0.788889
81.0,18.0,0.855556
81.0,23.0,0.844444
81.0,29.0,0.855556
81.0,32.0,0.788889
82.0,10.0,0.788889
83.0,15.0,0.844444
83.0,25.0,0.855556
84.0,11.0,0.855556
84.0,22.0,0.855556
84.0,30.0,0.844444
85.0,7.0,0.855556
85.0,8.0,0.855556
85.0,25.0,0.788889
85.0,60.0,0.844444
86.0,0.0,0.855556
86.0,17.0,0.844444
87.0,15.0,0.855556
87.0,26.0,0.855556
87.0,27.0,0.788889
87.0,36.0,0.844444
88.0,38.0,0.844444
89.0,16.0,0.855556
89.0,38.0,0.855556
90.0,37.0,0.844444
90.0,51.0,0.855556
90.0,65.0,0.855556
91.0,13.0,0.788889
91.0,40.0,0.844444
95.0,25.0,0.844444
100.0,28.0,0.844444
