x,y,value
0.0,50.0,0.233333
0.0,90.0,0.9
2.0,82.0,1.0
3.0,42.0,1.0
3.0,61.0,1.0
3.0,72.0,1.0
3.0,81.0,1.0
3.0,88.0,0.9
4.0,85.0,0.822222
4.0,88.0,1.0
4.0,93.0,1.0
5.0,35.0,1.0
5.0,59.0,1.0
5.0,81.0,0.988889
5.0,83.0,0.822222
5.0,86.0,1.0
6.0,36.0,1.0
6.0,86.0,1.0
7.0,55.0,1.0
7.0,62.0,0.766667
7.0,65.0,0.822222
7.0,82.0,1.0
8.0,60.0,1.0
8.0,69.0,0.988889
8.0,87.0,1.0
8.0,89.0,0.9
8.0,91.0,1.0
9.0,63.0,1.0
9.0,74.0,1.0
9.0,78.0,1.0
9.0,81.0,1.0
9.0,84.0,0.9
9.0,90.0,0.9
10.0,37.0,0.9
10.0,55.0,0.822222
10.0,81.0,0.911111
10.0,84.0,1.0
10.0,87.0,1.0
10.0,88.0,1.0
10.0,92.0,1.0
11.0,28.0,1.0
11.0,29.0,1.0
11.0,41.0,1.0
11.0,60.0,0.988889
11.0,76.0,1.711111
11.0,81.0,0.911111
11.0,84.0,0.988889
11.0,86.0,1.0
12.0,64.0,0.911111
12.0,67.0,1.0
12.0,68.0,1.0
12.0,94.0,1.0
13.0,45.0,1.0
13.0,51.0,0.9
13.0,56.0,1.0
13.0,60.0,1.0
13.0,63.0,1.0
13.0,67.0,1.0
14.0,16.0,1.0
14.0,45.0,0.233333
14.0,55.0,1.0
14.0,66.0,2.0
14.0,84.0,0.9
14.0,88.0,1.0
14.0,89.0,1.0
15.0,32.0,1.0
15.0,50.0,0.911111
15.0,67.0,1.0
15.0,77.0,1.0
15.0,96.0,1.0
16.0,88.0,1.0
16.0,90.0,0.9
16.0,91.0,0.9
17.0,27.0,1.0
17.0,65.0,1.0
17.0,75.0,0.766667
18.0,39.0,1.0
18.0,46.0,0.9
18.0,74.0,1.0
18.0,82.0,1.0
18.0,91.0,2.0
18.0,96.0,0.911111
19.0,17.0,1.0
19.0,19.0,1.0
19.0,39.0,0.288889
19.0,52.0,1.0
19.0,53.0,0.211111
19.0,71.0,0.911111
20.0,58.0,1.0
20.0,61.0,1.0
20.0,63.0,0.211111
20.0,70.0,1.0
20.0,71.0,0.911111
20.0,81.0,1.0
20.0,85.0,1.0
21.0,19.0,1.0
21.0,28.0,1.0
21.0,48.0,0.988889
21.0,71.0,0.911111
21.0,81.0,1.0
22.0,4.0,1.0
22.0,36.0,1.0
23.0,63.0,2.211111
23.0,67.0,1.0
23.0,77.0,0.988889
23.0,93.0,1.0
24.0,25.0,0.8
24.0,31.0,0.988889
24.0,65.0,1.0
24.0,77.0,1.0
24.0,81.0,1.0
25.0,18.0,0.822222
25.0,20.0,1.0
25.0,35.0,0.822222
25.0,40.0,0.288889
25.0,41.0,1.0
25.0,51.0,1.0
25.0,57.0,0.211111
25.0,65.0,1.0
25.0,67.0,0.9
25.0,86.0,2.0
26.0,49.0,0.9
26.0,67.0,0.988889
26.0,70.0,0.988889
26.0,73.0,1.0
26.0,77.0,0.911111
26.0,78.0,0.911111
26.0,81.0,1.0
26.0,87.0,1.0
26.0,91.0,1.0
27.0,50.0,1.0
27.0,60.0,1.0
27.0,66.0,1.0
27.0,68.0,2.0
27.0,69.0,2.988889
27.0,73.0,0.911111
27.0,79.0,1.0
27.0,86.0,1.0
27.0,91.0,1.666667
27.0,92.0,1.855556
27.0,97.0,1.0
28.0,8.0,0.288889
28.0,10.0,1.0
28.0,15.0,0.822222
28.0,19.0,0.8
28.0,21.0,0.211111
28.0,25.0,0.822222
28.0,26.0,0.822222
28.0,27.0,0.8
28.0,33.0,0.822222
28.0,43.0,2.0
28.0,57.0,1.0
28.0,59.0,1.0
28.0,73.0,1.0
28.0,74.0,0.911111
28.0,88.0,1.0
28.0,92.0,0.911111
28.0,98.0,1.0
29.0,9.0,2.0
29.0,19.0,1.0
29.0,22.0,1.588889
29.0,35.0,0.8
29.0,38.0,1.0
29.0,49.0,0.8
29.0,63.0,0.211111
29.0,68.0,1.733333
29.0,71.0,0.9
29.0,73.0,1.0
29.0,76.0,1.0
29.0,77.0,0.233333
29.0,84.0,1.0
29.0,85.0,1.0
29.0,87.0,1.0
29.0,95.0,0.911111
30.0,49.0,0.8
30.0,56.0,1.0
30.0,59.0,1.0
30.0,66.0,0.855556
30.0,71.0,0.822222
30.0,73.0,1.822222
30.0,74.0,1.0
30.0,76.0,0.988889
30.0,85.0,2.0
30.0,86.0,0.855556
30.0,87.0,1.0
30.0,89.0,1.0
30.0,91.0,1.0
30.0,92.0,1.911111
30.0,95.0,1.9
31.0,8.0,0.288889
31.0,15.0,1.655556
31.0,22.0,0.822222
31.0,36.0,1.0
31.0,53.0,2.233333
31.0,56.0,1.0
31.0,58.0,0.822222
31.0,65.0,1.0
31.0,70.0,0.911111
31.0,71.0,0.911111
31.0,75.0,0.988889
31.0,77.0,0.277778
31.0,82.0,0.277778
31.0,88.0,1.0
31.0,92.0,1.911111
31.0,93.0,1.0
31.0,95.0,2.0
31.0,96.0,0.211111
32.0,5.0,0.288889
32.0,8.0,1.0
32.0,11.0,2.288889
32.0,12.0,1.0
32.0,13.0,0.822222
32.0,14.0,2.0
32.0,34.0,1.0
32.0,41.0,1.0
32.0,42.0,1.0
32.0,62.0,1.0
32.0,64.0,1.0
32.0,80.0,2.0
32.0,83.0,1.9
32.0,85.0,2.0
32.0,87.0,0.766667
32.0,89.0,1.0
32.0,91.0,1.0
32.0,92.0,0.855556
32.0,93.0,1.0
32.0,94.0,0.911111
32.0,95.0,1.822222
32.0,96.0,1.0
32.0,97.0,0.233333
33.0,38.0,1.0
33.0,40.0,0.288889
33.0,44.0,1.0
33.0,55.0,1.0
33.0,61.0,1.0
33.0,63.0,1.0
33.0,66.0,1.0
33.0,72.0,2.0
33.0,79.0,0.277778
33.0,82.0,1.0
33.0,83.0,1.0
33.0,85.0,0.988889
33.0,87.0,1.0
33.0,89.0,0.911111
34.0,13.0,0.766667
34.0,22.0,1.0
34.0,38.0,1.0
34.0,43.0,1.0
34.0,45.0,1.0
34.0,48.0,1.0
34.0,49.0,1.344444
34.0,50.0,0.822222
34.0,51.0,1.0
34.0,62.0,0.988889
34.0,65.0,0.855556
34.0,70.0,0.233333
34.0,73.0,0.911111
34.0,74.0,2.0
34.0,76.0,1.0
34.0,82.0,1.0
34.0,89.0,0.8
34.0,92.0,1.988889
34.0,93.0,2.0
35.0,11.0,1.0
35.0,13.0,0.833333
35.0,19.0,1.0
35.0,22.0,1.0
35.0,29.0,0.8
35.0,30.0,0.822222
35.0,43.0,1.0
35.0,53.0,1.0
35.0,63.0,1.0
35.0,64.0,1.0
35.0,68.0,1.0
35.0,74.0,0.9
35.0,77.0,1.911111
35.0,83.0,1.0
35.0,85.0,1.0
35.0,87.0,0.911111
35.0,90.0,0.988889
35.0,94.0,0.9
36.0,21.0,1.0
36.0,28.0,1.0
36.0,32.0,0.988889
36.0,49.0,1.0
36.0,50.0,1.0
36.0,52.0,1.0
36.0,59.0,0.288889
36.0,61.0,0.822222
36.0,73.0,1.0
36.0,75.0,0.988889
36.0,77.0,1.0
36.0,78.0,1.0
36.0,79.0,0.911111
36.0,81.0,1.0
36.0,82.0,1.0
36.0,83.0,1.0
36.0,89.0,0.8
36.0,92.0,1.822222
36.0,94.0,2.0
37.0,13.0,1.0
37.0,22.0,0.822222
37.0,31.0,1.0
37.0,33.0,1.0
37.0,37.0,1.0
37.0,44.0,1.0
37.0,48.0,0.988889
37.0,72.0,1.0
37.0,73.0,2.0
37.0,76.0,1.0
37.0,79.0,1.0
37.0,80.0,0.8
37.0,81.0,0.988889
37.0,88.0,0.8
37.0,91.0,1.0
37.0,92.0,2.0
37.0,95.0,0.766667
37.0,99.0,0.855556
38.0,22.0,0.822222
38.0,25.0,1.0
38.0,46.0,0.988889
38.0,47.0,0.344444
38.0,49.0,0.822222
38.0,61.0,0.911111
38.0,64.0,1.0
38.0,70.0,1.0
38.0,76.0,1.0
38.0,77.0,0.233333
38.0,82.0,1.0
38.0,85.0,1.0
38.0,87.0,0.211111
38.0,89.0,0.9
38.0,90.0,0.766667
38.0,92.0,1.0
38.0,94.0,1.0
38.0,96.0,0.988889
39.0,19.0,0.822222
39.0,23.0,1.0
39.0,28.0,1.0
39.0,32.0,0.9
39.0,52.0,0.822222
39.0,57.0,0.822222
39.0,70.0,1.0
39.0,75.0,2.0
39.0,81.0,1.0
39.0,88.0,1.0
39.0,90.0,1.0
39.0,95.0,1.0
39.0,96.0,1.888889
39.0,97.0,0.9
40.0,10.0,0.822222
40.0,27.0,0.822222
40.0,54.0,1.0
40.0,63.0,1.0
40.0,65.0,0.833333
40.0,67.0,0.855556
40.0,72.0,0.766667
40.0,74.0,3.766667
40.0,76.0,1.0
40.0,80.0,1.0
40.0,85.0,2.0
40.0,86.0,4.133333
40.0,87.0,1.766667
40.0,88.0,0.9
40.0,89.0,0.9
40.0,93.0,0.855556
40.0,95.0,1.0
40.0,96.0,2.0
41.0,15.0,1.0
41.0,20.0,1.0
41.0,28.0,1.0
41.0,32.0,1.0
41.0,35.0,0.822222
41.0,50.0,0.822222
41.0,51.0,1.0
41.0,62.0,0.9
41.0,65.0,0.855556
41.0,67.0,0.988889
41.0,70.0,1.0
41.0,73.0,0.911111
41.0,77.0,1.855556
41.0,79.0,1.855556
41.0,81.0,0.277778
41.0,84.0,0.9
41.0,86.0,0.9
41.0,87.0,1.0
41.0,93.0,2.0
41.0,94.0,0.822222
41.0,95.0,1.0
42.0,8.0,1.0
42.0,21.0,1.0
42.0,48.0,1.0
42.0,49.0,0.822222
42.0,55.0,1.0
42.0,59.0,2.0
42.0,62.0,1.0
42.0,66.0,2.0
42.0,67.0,2.0
42.0,68.0,1.0
42.0,70.0,1.0
42.0,71.0,1.0
42.0,75.0,0.8
42.0,77.0,1.0
42.0,85.0,0.855556
42.0,89.0,1.0
42.0,91.0,2.0
42.0,92.0,1.0
42.0,93.0,1.0
42.0,95.0,0.277778
42.0,96.0,1.0
42.0,97.0,1.0
43.0,12.0,0.8
43.0,26.0,0.822222
43.0,28.0,1.0
43.0,35.0,1.0
43.0,45.0,1.0
43.0,51.0,1.0
43.0,57.0,1.0
43.0,59.0,1.0
43.0,61.0,1.0
43.0,67.0,1.0
43.0,68.0,1.0
43.0,69.0,1.0
43.0,70.0,1.0
43.0,72.0,1.0
43.0,76.0,1.0
43.0,79.0,0.277778
43.0,81.0,1.0
43.0,85.0,1.0
43.0,86.0,0.988889
43.0,88.0,1.911111
43.0,89.0,1.0
43.0,94.0,1.277778
43.0,96.0,0.9
43.0,98.0,1.0
44.0,12.0,2.0
44.0,20.0,1.0
44.0,23.0,1.0
