x,y,value
0.0,29.0,0.366667
2.0,15.0,0.977778
2.0,31.0,0.366667
2.0,74.0,0.944444
2.0,76.0,0.111111
3.0,77.0,1.0
4.0,93.0,1.955556
5.0,11.0,0.244444
5.0,59.0,0.811111
6.0,4.0,0.311111
6.0,16.0,0.977778
7.0,89.0,1.222222
7.0,92.0,0.944444
8.0,8.0,0.244444
8.0,82.0,0.744444
8.0,93.0,0.944444
9.0,16.0,0.366667
9.0,67.0,0.355556
9.0,86.0,0.355556
9.0,96.0,0.088889
9.0,100.0,0.088889
10.0,12.0,0.244444
10.0,58.0,0.811111
10.0,66.0,1.0
10.0,92.0,0.355556
10.0,94.0,0.111111
11.0,3.0,0.366667
11.0,52.0,1.0
11.0,70.0,1.0
11.0,83.0,0.088889
11.0,87.0,0.977778
12.0,2.0,0.122222
12.0,3.0,0.122222
12.0,5.0,0.311111
12.0,60.0,0.611111
12.0,90.0,0.355556
13.0,45.0,0.833333
13.0,62.0,0.088889
13.0,68.0,0.944444
13.0,96.0,0.088889
14.0,52.0,0.5
14.0,58.0,0.111111
14.0,82.0,0.133333
14.0,85.0,0.088889
14.0,86.0,0.977778
15.0,69.0,0.688889
16.0,64.0,0.833333
16.0,73.0,0.111111
16.0,95.0,0.088889
18.0,20.0,0.5
18.0,51.0,0.5
18.0,63.0,0.988889
18.0,80.0,1.0
18.0,83.0,1.0
18.0,93.0,0.977778
19.0,67.0,1.0
19.0,72.0,0.688889
20.0,7.0,0.366667
20.0,10.0,0.833333
20.0,57.0,0.111111
20.0,78.0,0.688889
21.0,4.0,0.366667
21.0,16.0,0.5
21.0,64.0,1.0
21.0,82.0,1.0
21.0,83.0,0.744444
21.0,92.0,0.744444
21.0,100.0,0.088889
22.0,87.0,0.322222
22.0,95.0,0.133333
23.0,8.0,1.0
23.0,34.0,1.955556
23.0,88.0,0.988889
23.0,90.0,1.0
23.0,95.0,0.111111
24.0,6.0,0.366667
24.0,49.0,0.611111
24.0,81.0,0.111111
24.0,88.0,0.944444
24.0,93.0,0.988889
24.0,100.0,0.088889
25.0,81.0,0.111111
25.0,85.0,0.977778
25.0,89.0,1.0
26.0,37.0,0.133333
26.0,44.0,0.833333
26.0,59.0,0.611111
26.0,67.0,1.977778
26.0,75.0,0.244444
26.0,87.0,0.977778
27.0,38.0,0.133333
27.0,73.0,0.322222
27.0,74.0,0.611111
27.0,81.0,1.0
27.0,82.0,0.944444
27.0,89.0,0.833333
27.0,94.0,0.977778
28.0,7.0,0.5
28.0,8.0,0.833333
28.0,75.0,0.244444
28.0,85.0,0.611111
28.0,92.0,0.744444
28.0,93.0,1.0
28.0,94.0,0.688889
29.0,22.0,0.366667
29.0,51.0,0.266667
29.0,55.0,1.622222
29.0,76.0,0.977778
29.0,80.0,1.0
29.0,85.0,1.0
29.0,90.0,0.744444
29.0,96.0,0.988889
30.0,25.0,0.122222
30.0,40.0,0.355556
30.0,75.0,0.877778
30.0,92.0,0.322222
31.0,9.0,0.811111
31.0,79.0,1.0
31.0,84.0,1.0
31.0,91.0,0.988889
31.0,94.0,1.0
32.0,8.0,1.333333
32.0,35.0,0.5
32.0,49.0,0.355556
32.0,81.0,0.688889
32.0,82.0,1.222222
32.0,87.0,0.944444
32.0,90.0,1.0
32.0,93.0,0.977778
32.0,95.0,0.977778
33.0,8.0,0.366667
33.0,68.0,1.0
33.0,69.0,0.666667
33.0,73.0,0.355556
33.0,77.0,0.977778
33.0,80.0,1.0
33.0,90.0,0.322222
34.0,2.0,0.144444
34.0,15.0,0.877778
34.0,23.0,0.5
34.0,35.0,1.0
34.0,70.0,0.977778
34.0,72.0,0.977778
34.0,84.0,1.0
34.0,90.0,0.111111
34.0,91.0,1.355556
34.0,94.0,1.866667
34.0,95.0,1.0
34.0,96.0,1.0
35.0,40.0,0.977778
35.0,41.0,0.977778
35.0,43.0,0.322222
35.0,55.0,1.0
35.0,67.0,2.0
35.0,73.0,0.111111
35.0,74.0,0.666667
35.0,81.0,0.355556
35.0,82.0,0.988889
35.0,83.0,0.322222
35.0,90.0,0.988889
35.0,91.0,0.322222
35.0,93.0,1.755556
35.0,100.0,0.322222
36.0,4.0,0.5
36.0,20.0,1.0
36.0,51.0,0.811111
36.0,68.0,0.611111
36.0,73.0,0.744444
36.0,85.0,1.0
36.0,88.0,0.611111
36.0,94.0,0.888889
36.0,95.0,1.333333
36.0,100.0,0.833333
37.0,43.0,1.0
37.0,79.0,0.611111
37.0,94.0,0.244444
38.0,9.0,0.833333
38.0,19.0,0.122222
38.0,20.0,0.5
38.0,25.0,0.877778
38.0,78.0,0.111111
38.0,92.0,0.355556
38.0,96.0,0.988889
38.0,97.0,0.833333
39.0,33.0,0.977778
39.0,48.0,0.811111
39.0,53.0,1.0
39.0,75.0,1.0
39.0,78.0,0.666667
39.0,79.0,0.833333
39.0,80.0,1.611111
39.0,84.0,1.0
39.0,85.0,0.744444
39.0,86.0,0.744444
39.0,89.0,0.355556
39.0,92.0,0.944444
39.0,93.0,0.833333
39.0,94.0,0.944444
39.0,95.0,0.144444
40.0,18.0,0.122222
40.0,44.0,0.155556
40.0,63.0,0.744444
40.0,74.0,1.133333
40.0,78.0,0.1
40.0,80.0,1.0
40.0,81.0,1.0
40.0,83.0,0.611111
40.0,92.0,0.611111
40.0,94.0,1.911111
41.0,7.0,0.366667
41.0,8.0,0.5
41.0,81.0,1.3
41.0,94.0,1.0
41.0,95.0,0.1
42.0,4.0,0.5
42.0,5.0,1.0
42.0,31.0,0.244444
42.0,40.0,0.811111
42.0,91.0,0.744444
42.0,96.0,0.988889
43.0,44.0,0.977778
43.0,51.0,1.333333
43.0,52.0,1.0
43.0,60.0,0.133333
43.0,69.0,0.744444
43.0,73.0,0.666667
43.0,74.0,0.877778
43.0,76.0,0.833333
43.0,77.0,1.0
43.0,82.0,1.0
43.0,90.0,0.322222
43.0,91.0,1.0
43.0,96.0,0.877778
44.0,3.0,0.877778
44.0,6.0,0.5
44.0,63.0,1.0
44.0,71.0,0.111111
44.0,72.0,0.666667
44.0,82.0,0.155556
44.0,90.0,0.944444
44.0,93.0,1.0
44.0,95.0,1.0
45.0,56.0,1.0
45.0,79.0,0.611111
45.0,81.0,1.0
45.0,93.0,1.0
45.0,96.0,1.0
46.0,66.0,0.144444
46.0,82.0,0.688889
46.0,93.0,0.977778
46.0,94.0,0.988889
47.0,75.0,0.688889
47.0,81.0,1.0
47.0,85.0,0.688889
48.0,59.0,0.833333
48.0,73.0,1.0
48.0,92.0,0.944444
48.0,95.0,0.988889
48.0,100.0,0.322222
49.0,68.0,1.0
50.0,14.0,0.811111
50.0,81.0,0.877778
50.0,89.0,0.833333
51.0,67.0,0.988889
51.0,76.0,0.688889
51.0,89.0,0.944444
52.0,8.0,0.122222
52.0,56.0,0.988889
52.0,65.0,0.355556
52.0,89.0,0.833333
52.0,92.0,0.944444
52.0,93.0,1.677778
52.0,96.0,0.988889
53.0,41.0,1.0
53.0,55.0,0.988889
53.0,60.0,1.0
53.0,72.0,0.877778
53.0,89.0,0.744444
53.0,94.0,0.744444
53.0,96.0,1.0
54.0,4.0,1.0
54.0,45.0,0.833333
54.0,54.0,0.688889
54.0,56.0,1.0
54.0,84.0,1.988889
54.0,88.0,0.111111
54.0,90.0,1.0
54.0,91.0,0.988889
54.0,94.0,1.0
55.0,13.0,0.133333
55.0,36.0,0.877778
55.0,64.0,0.644444
55.0,88.0,0.244444
55.0,92.0,1.0
55.0,93.0,1.0
56.0,4.0,1.0
56.0,17.0,1.5
56.0,22.0,0.133333
56.0,65.0,0.688889
56.0,71.0,1.244444
56.0,77.0,1.0
56.0,93.0,0.666667
56.0,95.0,0.611111
56.0,96.0,0.988889
56.0,97.0,0.144444
57.0,2.0,1.0
57.0,90.0,0.877778
57.0,91.0,1.866667
57.0,93.0,1.666667
57.0,95.0,0.111111
57.0,96.0,1.755556
58.0,0.0,1.0
58.0,6.0,0.366667
