x,y,value
0.0,31.0,1.0
0.0,60.0,1.0
0.0,71.0,1.0
0.0,77.0,1.0
1.0,10.0,1.0
1.0,11.0,1.0
1.0,48.0,1.0
1.0,70.0,1.0
1.0,71.0,1.0
1.0,76.0,2.0
1.0,82.0,1.0
1.0,85.0,1.0
1.0,90.0,1.0
1.0,91.0,1.0
2.0,4.0,1.0
2.0,6.0,2.0
2.0,12.0,1.0
2.0,16.0,1.0
2.0,22.0,1.0
2.0,27.0,2.0
2.0,39.0,1.0
2.0,41.0,1.0
2.0,44.0,1.0
2.0,56.0,1.0
2.0,65.0,1.0
2.0,67.0,1.0
2.0,70.0,1.0
2.0,73.0,1.0
2.0,75.0,2.0
2.0,89.0,1.0
3.0,6.0,1.0
3.0,12.0,1.0
3.0,18.0,1.0
3.0,19.0,1.0
3.0,30.0,2.0
3.0,33.0,1.0
3.0,34.0,1.0
3.0,39.0,1.0
3.0,41.0,1.0
3.0,43.0,1.0
3.0,44.0,1.0
3.0,45.0,1.0
3.0,47.0,2.0
3.0,49.0,2.0
3.0,50.0,2.0
3.0,53.0,1.0
3.0,55.0,2.0
3.0,58.0,1.0
3.0,63.0,1.0
3.0,77.0,1.0
3.0,79.0,1.0
4.0,6.0,1.0
4.0,11.0,1.0
4.0,14.0,1.0
4.0,25.0,1.0
4.0,29.0,1.0
4.0,33.0,2.0
4.0,34.0,1.0
4.0,35.0,1.0
4.0,36.0,2.0
4.0,37.0,2.0
4.0,38.0,1.0
4.0,39.0,1.0
4.0,40.0,1.0
4.0,41.0,1.0
4.0,44.0,1.0
4.0,46.0,1.0
4.0,47.0,1.0
4.0,48.0,1.0
4.0,55.0,1.0
4.0,66.0,1.0
4.0,68.0,1.0
4.0,84.0,1.0
5.0,9.0,1.0
5.0,15.0,1.0
5.0,16.0,1.0
5.0,20.0,1.0
5.0,23.0,1.0
5.0,27.0,0.677778
5.0,28.0,1.0
5.0,29.0,3.0
5.0,31.0,1.0
5.0,32.0,2.0
5.0,34.0,1.0
5.0,36.0,2.0
5.0,38.0,1.0
5.0,39.0,1.622222
5.0,40.0,1.0
5.0,42.0,1.0
5.0,43.0,2.0
5.0,48.0,1.0
5.0,52.0,1.0
5.0,55.0,2.0
5.0,60.0,1.0
5.0,68.0,1.0
5.0,71.0,1.0
5.0,72.0,1.0
5.0,85.0,1.0
6.0,22.0,1.0
6.0,23.0,1.0
6.0,24.0,1.0
6.0,25.0,1.0
6.0,29.0,1.0
6.0,31.0,3.0
6.0,33.0,1.0
6.0,38.0,2.0
6.0,42.0,2.0
6.0,47.0,1.0
6.0,48.0,2.0
6.0,49.0,1.0
6.0,51.0,1.0
6.0,55.0,1.0
6.0,58.0,1.0
6.0,59.0,1.0
6.0,61.0,1.0
6.0,62.0,1.0
6.0,66.0,1.0
6.0,73.0,1.0
6.0,74.0,1.0
6.0,75.0,1.0
7.0,10.0,1.0
7.0,16.0,1.0
7.0,17.0,1.0
7.0,23.0,1.0
7.0,24.0,1.0
7.0,26.0,1.0
7.0,27.0,1.0
7.0,29.0,2.0
7.0,30.0,3.0
7.0,33.0,2.0
7.0,34.0,2.0
7.0,35.0,2.0
7.0,37.0,1.0
7.0,38.0,1.0
7.0,40.0,1.0
7.0,42.0,3.677778
7.0,43.0,0.677778
7.0,45.0,2.0
7.0,46.0,3.0
7.0,49.0,1.0
7.0,50.0,1.0
7.0,51.0,4.0
7.0,54.0,1.0
7.0,55.0,1.0
7.0,56.0,1.0
7.0,58.0,1.0
7.0,59.0,1.0
7.0,60.0,2.0
7.0,65.0,2.0
7.0,70.0,3.0
7.0,75.0,1.0
7.0,81.0,1.0
7.0,82.0,1.0
7.0,95.0,1.0
8.0,3.0,1.0
8.0,7.0,1.677778
8.0,15.0,1.0
8.0,26.0,2.0
8.0,27.0,1.0
8.0,28.0,2.0
8.0,32.0,2.0
8.0,33.0,2.0
8.0,34.0,1.0
8.0,35.0,1.0
8.0,38.0,1.0
8.0,39.0,1.0
8.0,42.0,1.0
8.0,43.0,2.0
8.0,44.0,2.0
8.0,45.0,3.677778
8.0,46.0,2.0
8.0,47.0,1.0
8.0,48.0,3.0
8.0,50.0,4.0
8.0,51.0,1.0
8.0,53.0,1.0
8.0,54.0,1.244444
8.0,55.0,1.0
8.0,56.0,1.0
8.0,60.0,1.0
8.0,65.0,1.0
8.0,66.0,1.0
8.0,68.0,1.0
8.0,72.0,2.0
8.0,75.0,0.622222
8.0,80.0,2.0
8.0,81.0,2.0
8.0,83.0,0.677778
8.0,97.0,1.0
9.0,6.0,1.0
9.0,12.0,1.0
9.0,14.0,1.0
9.0,16.0,2.0
9.0,30.0,2.0
9.0,33.0,1.0
9.0,34.0,3.0
9.0,36.0,1.0
9.0,37.0,1.0
9.0,38.0,1.0
9.0,41.0,1.0
9.0,42.0,1.0
9.0,43.0,2.0
9.0,44.0,1.0
9.0,45.0,2.0
9.0,46.0,2.0
9.0,47.0,2.622222
9.0,49.0,2.0
9.0,50.0,3.0
9.0,51.0,1.0
9.0,52.0,4.0
9.0,57.0,1.0
9.0,58.0,2.0
9.0,62.0,1.0
9.0,63.0,1.0
9.0,64.0,1.0
9.0,66.0,2.0
9.0,67.0,1.0
9.0,68.0,1.0
9.0,69.0,1.0
9.0,74.0,1.0
9.0,76.0,1.0
9.0,80.0,1.0
9.0,82.0,0.677778
9.0,88.0,1.0
9.0,98.0,2.0
10.0,7.0,1.0
10.0,23.0,1.0
10.0,24.0,2.0
10.0,29.0,2.0
10.0,34.0,3.0
10.0,36.0,1.0
10.0,37.0,2.0
10.0,38.0,1.0
10.0,42.0,2.0
10.0,43.0,3.0
10.0,47.0,3.0
10.0,48.0,2.0
10.0,49.0,1.0
10.0,51.0,1.0
10.0,54.0,2.0
10.0,57.0,3.0
10.0,59.0,1.0
10.0,61.0,1.0
10.0,62.0,1.0
10.0,65.0,2.0
10.0,77.0,1.0
10.0,83.0,1.0
10.0,85.0,1.0
10.0,96.0,1.0
11.0,8.0,2.0
11.0,9.0,1.0
11.0,13.0,1.0
11.0,15.0,1.0
11.0,26.0,1.0
11.0,27.0,2.0
11.0,28.0,1.0
11.0,30.0,0.677778
11.0,31.0,1.0
11.0,35.0,1.0
11.0,37.0,4.0
11.0,38.0,1.0
11.0,40.0,1.0
11.0,41.0,2.0
11.0,42.0,1.0
11.0,47.0,1.0
11.0,49.0,1.0
11.0,50.0,1.0
11.0,51.0,1.0
11.0,52.0,1.0
11.0,54.0,1.0
11.0,56.0,1.0
11.0,58.0,1.0
11.0,61.0,1.0
11.0,63.0,2.0
11.0,68.0,1.0
11.0,69.0,1.0
11.0,74.0,1.0
11.0,82.0,1.0
11.0,84.0,2.0
11.0,85.0,2.0
11.0,86.0,1.0
12.0,10.0,1.0
12.0,13.0,1.0
12.0,17.0,2.0
12.0,20.0,1.0
12.0,22.0,1.0
12.0,24.0,1.0
12.0,25.0,1.0
12.0,30.0,1.0
12.0,33.0,2.0
12.0,34.0,1.0
12.0,35.0,3.0
12.0,39.0,1.0
12.0,41.0,1.0
12.0,44.0,1.0
12.0,45.0,1.0
12.0,46.0,1.0
12.0,47.0,1.0
12.0,48.0,1.0
12.0,53.0,1.0
12.0,54.0,1.0
12.0,55.0,1.0
12.0,57.0,1.0
12.0,61.0,2.0
12.0,63.0,1.0
12.0,66.0,1.0
12.0,69.0,2.0
12.0,71.0,1.0
12.0,82.0,1.0
12.0,85.0,1.0
12.0,90.0,1.0
12.0,92.0,2.0
12.0,94.0,1.0
12.0,96.0,1.0
12.0,97.0,1.0
13.0,8.0,1.0
13.0,9.0,1.0
13.0,15.0,2.0
13.0,22.0,1.0
13.0,25.0,1.0
13.0,26.0,1.0
13.0,27.0,1.0
13.0,28.0,3.0
13.0,29.0,2.0
13.0,30.0,2.0
13.0,32.0,1.0
13.0,33.0,1.0
13.0,34.0,1.0
13.0,36.0,1.0
13.0,38.0,2.0
13.0,41.0,1.0
13.0,43.0,1.0
13.0,45.0,1.0
13.0,46.0,2.0
13.0,47.0,1.0
13.0,50.0,1.0
13.0,52.0,0.622222
13.0,55.0,1.0
13.0,59.0,0.622222
13.0,60.0,1.0
13.0,61.0,1.0
13.0,63.0,3.0
13.0,65.0,1.0
13.0,74.0,1.0
13.0,76.0,1.0
13.0,88.0,1.0
14.0,17.0,1.0
14.0,22.0,1.0
14.0,24.0,1.0
14.0,26.0,1.0
14.0,27.0,1.0
14.0,28.0,2.0
14.0,30.0,2.0
14.0,31.0,2.0
14.0,34.0,2.0
14.0,38.0,2.0
14.0,39.0,1.0
14.0,41.0,1.0
14.0,43.0,1.0
14.0,44.0,1.0
14.0,46.0,1.0
14.0,47.0,2.0
14.0,48.0,2.0
14.0,50.0,2.0
14.0,52.0,1.0
14.0,53.0,1.0
14.0,54.0,1.0
14.0,58.0,1.0
14.0,60.0,1.0
14.0,61.0,1.0
14.0,65.0,1.0
14.0,67.0,2.244444
14.0,70.0,1.0
14.0,72.0,1.0
14.0,75.0,2.0
14.0,85.0,1.0
14.0,88.0,1.0
15.0,13.0,1.0
15.0,28.0,1.0
15.0,30.0,2.0
15.0,32.0,1.622222
15.0,35.0,1.0
15.0,37.0,2.0
15.0,39.0,2.0
15.0,40.0,1.0
15.0,43.0,2.0
15.0,44.0,1.0
15.0,45.0,1.0
15.0,48.0,1.0
15.0,49.0,0.622222
15.0,50.0,1.0
15.0,51.0,2.0
15.0,52.0,3.0
15.0,54.0,0.622222
15.0,55.0,1.0
15.0,56.0,1.0
15.0,65.0,1.0
15.0,68.0,2.0
15.0,71.0,1.0
15.0,99.0,1.0
16.0,11.0,1.0
16.0,23.0,1.0
16.0,27.0,1.0
16.0,35.0,1.0
16.0,37.0,1.0
16.0,38.0,1.0
16.0,40.0,1.0
16.0,47.0,1.0
16.0,48.0,1.0
16.0,49.0,1.0
16.0,51.0,1.0
16.0,57.0,2.0
16.0,58.0,1.0
16.0,68.0,1.0
16.0,73.0,1.0
16.0,76.0,1.0
16.0,80.0,1.0
16.0,95.0,0.622222
17.0,25.0,1.0
17.0,26.0,1.0
17.0,29.0,2.0
17.0,31.0,1.0
17.0,42.0,1.0
17.0,45.0,3.0
17.0,47.0,1.0
17.0,49.0,1.0
17.0,58.0,1.0
17.0,67.0,1.0
17.0,75.0,1.0
17.0,78.0,1.0
17.0,82.0,1.0
17.0,85.0,1.0
17.0,89.0,1.0
17.0,90.0,1.0
17.0,93.0,0.622222
18.0,16.0,1.0
18.0,17.0,1.0
18.0,19.0,2.0
18.0,21.0,1.0
18.0,23.0,1.0
18.0,27.0,1.0
18.0,29.0,2.0
18.0,31.0,1.0
18.0,33.0,1.0
18.0,34.0,1.0
18.0,35.0,3.0
18.0,37.0,1.0
18.0,43.0,1.0
18.0,48.0,2.0
18.0,49.0,3.0
18.0,51.0,1.0
18.0,53.0,1.0
18.0,54.0,1.0
18.0,57.0,0.677778
18.0,58.0,1.0
18.0,61.0,1.0
18.0,62.0,3.0
18.0,64.0,1.0
18.0,66.0,1.0
18.0,67.0,2.622222
18.0,68.0,1.0
18.0,69.0,1.0
18.0,71.0,1.0
18.0,73.0,1.0
18.0,85.0,1.0
18.0,88.0,2.0
19.0,21.0,1.0
19.0,25.0,1.0
19.0,26.0,1.677778
19.0,27.0,1.0
19.0,31.0,1.0
19.0,34.0,2.0
19.0,35.0,1.0
19.0,36.0,1.0
19.0,37.0,4.0
19.0,39.0,1.0
19.0,45.0,2.0
19.0,47.0,1.0
19.0,49.0,2.0
19.0,58.0,1.0
19.0,59.0,1.0
19.0,67.0,1.0
19.0,69.0,1.0
19.0,70.0,1.0
19.0,71.0,1.0
19.0,72.0,1.0
19.0,73.0,1.622222
19.0,74.0,1.0
19.0,77.0,1.0
19.0,79.0,1.0
19.0,82.0,0.677778
19.0,83.0,4.0
20.0,2.0,1.0
20.0,7.0,1.0
20.0,14.0,2.0
20.0,20.0,1.0
20.0,22.0,1.0
20.0,25.0,1.0
20.0,29.0,1.0
20.0,31.0,1.0
20.0,34.0,1.0
20.0,35.0,2.0
20.0,36.0,1.0
20.0,37.0,1.0
20.0,39.0,1.0
20.0,40.0,3.0
20.0,41.0,1.0
20.0,43.0,1.0
20.0,45.0,1.0
20.0,46.0,1.0
20.0,48.0,1.0
20.0,58.0,1.0
20.0,59.0,1.0
20.0,64.0,2.0
20.0,65.0,1.0
20.0,66.0,1.0
20.0,67.0,4.0
20.0,69.0,2.0
20.0,76.0,1.0
20.0,77.0,1.0
20.0,84.0,2.0
20.0,85.0,1.0
20.0,91.0,1.0
20.0,93.0,1.0
21.0,15.0,0.677778
21.0,19.0,1.0
21.0,22.0,2.0
21.0,23.0,1.0
