x,y,value
2.0,3.0,1.0
3.0,4.0,1.0
3.0,30.0,1.0
4.0,31.0,1.0
7.0,12.0,1.0
7.0,17.0,0.988889
7.0,25.0,1.0
7.0,27.0,1.0
7.0,29.0,0.5
8.0,15.0,1.0
8.0,28.0,0.5
8.0,42.0,1.0
8.0,56.0,1.988889
9.0,9.0,0.5
9.0,10.0,1.0
9.0,17.0,0.311111
9.0,81.0,0.988889
10.0,1.0,0.7
10.0,4.0,0.7
10.0,10.0,0.988889
10.0,11.0,0.988889
10.0,13.0,2.477778
10.0,35.0,1.0
11.0,7.0,0.866667
11.0,12.0,1.988889
11.0,22.0,1.0
11.0,32.0,1.988889
12.0,7.0,0.5
12.0,12.0,0.988889
12.0,18.0,1.0
12.0,22.0,1.0
12.0,28.0,1.0
12.0,39.0,1.0
12.0,42.0,2.0
12.0,88.0,2.0
13.0,2.0,0.922222
13.0,10.0,0.7
13.0,14.0,1.0
13.0,22.0,0.988889
13.0,28.0,1.0
14.0,11.0,1.0
14.0,13.0,0.988889
14.0,20.0,0.5
14.0,21.0,0.988889
14.0,29.0,0.5
14.0,37.0,1.0
14.0,92.0,0.988889
15.0,5.0,0.866667
15.0,6.0,1.0
15.0,7.0,2.0
15.0,12.0,0.377778
15.0,13.0,1.0
16.0,6.0,0.866667
16.0,7.0,0.344444
16.0,8.0,1.0
16.0,21.0,0.988889
17.0,0.0,1.0
17.0,3.0,1.0
17.0,5.0,1.0
17.0,19.0,1.0
18.0,5.0,1.0
18.0,9.0,1.0
18.0,14.0,1.0
19.0,15.0,1.0
19.0,17.0,0.911111
19.0,34.0,1.0
20.0,0.0,1.0
20.0,6.0,0.344444
20.0,12.0,0.7
20.0,15.0,1.0
20.0,26.0,1.0
20.0,49.0,0.988889
21.0,2.0,1.0
21.0,11.0,1.0
21.0,27.0,1.0
21.0,36.0,1.0
21.0,40.0,0.911111
22.0,2.0,0.5
22.0,4.0,1.0
22.0,5.0,1.0
22.0,7.0,3.0
22.0,10.0,1.0
22.0,15.0,0.7
22.0,18.0,1.0
22.0,25.0,1.0
22.0,57.0,0.988889
23.0,3.0,1.0
23.0,4.0,1.377778
23.0,6.0,0.988889
23.0,10.0,1.0
23.0,30.0,2.0
24.0,11.0,0.988889
24.0,12.0,1.988889
24.0,18.0,1.7
25.0,0.0,2.0
25.0,4.0,1.0
25.0,6.0,1.0
25.0,7.0,1.0
25.0,8.0,2.0
25.0,12.0,1.0
25.0,15.0,1.0
25.0,25.0,1.0
25.0,50.0,0.5
26.0,6.0,0.7
26.0,7.0,1.0
26.0,9.0,0.866667
26.0,12.0,1.0
26.0,28.0,1.0
26.0,48.0,1.0
26.0,69.0,0.988889
27.0,8.0,1.0
27.0,11.0,0.911111
27.0,12.0,1.0
27.0,13.0,1.377778
27.0,19.0,0.5
27.0,20.0,1.0
27.0,34.0,1.0
27.0,35.0,0.7
27.0,48.0,1.0
28.0,4.0,0.377778
28.0,9.0,0.377778
28.0,10.0,1.911111
28.0,12.0,1.0
28.0,14.0,1.366667
28.0,38.0,0.988889
29.0,0.0,0.866667
29.0,4.0,0.988889
29.0,5.0,1.0
29.0,9.0,0.988889
29.0,11.0,0.7
30.0,7.0,2.0
30.0,8.0,1.0
30.0,9.0,1.0
30.0,10.0,1.0
30.0,11.0,2.0
30.0,21.0,1.0
30.0,25.0,3.988889
30.0,30.0,1.0
30.0,36.0,1.977778
30.0,51.0,0.988889
31.0,0.0,1.0
31.0,4.0,2.0
31.0,6.0,1.988889
31.0,7.0,0.5
31.0,12.0,0.988889
