x,y,value
0.0,86.0,1.0
1.0,91.0,1.0
2.0,86.0,1.0
4.0,89.0,1.0
6.0,9.0,1.0
6.0,76.0,0.966667
6.0,88.0,1.0
7.0,69.0,1.0
7.0,89.0,2.0
7.0,93.0,1.0
9.0,94.0,1.0
10.0,62.0,1.0
10.0,71.0,1.0
10.0,91.0,1.0
11.0,59.0,1.0
11.0,88.0,1.0
11.0,91.0,1.0
12.0,20.0,1.0
12.0,23.0,1.0
12.0,67.0,2.0
12.0,80.0,0.944444
12.0,90.0,1.0
12.0,91.0,1.0
13.0,37.0,1.0
13.0,45.0,2.0
13.0,66.0,1.0
13.0,76.0,1.0
13.0,83.0,1.0
13.0,89.0,1.0
13.0,91.0,1.0
13.0,95.0,1.0
14.0,32.0,1.0
14.0,49.0,0.844444
14.0,57.0,1.0
14.0,85.0,1.0
14.0,86.0,2.0
14.0,87.0,1.0
14.0,88.0,1.0
14.0,89.0,1.0
14.0,91.0,1.0
14.0,93.0,1.0
14.0,96.0,0.966667
15.0,65.0,0.966667
15.0,67.0,1.0
15.0,71.0,0.911111
15.0,88.0,0.966667
15.0,90.0,1.0
15.0,92.0,0.966667
15.0,93.0,1.0
15.0,94.0,0.966667
15.0,95.0,1.0
16.0,49.0,1.0
16.0,63.0,1.0
16.0,65.0,1.0
16.0,68.0,0.888889
16.0,71.0,1.0
16.0,84.0,0.944444
16.0,87.0,1.0
16.0,93.0,1.0
18.0,54.0,1.0
18.0,58.0,0.944444
18.0,72.0,1.0
18.0,75.0,0.944444
18.0,79.0,1.0
18.0,85.0,0.933333
18.0,93.0,0.966667
18.0,97.0,1.0
19.0,48.0,0.933333
19.0,55.0,1.0
19.0,69.0,1.0
19.0,83.0,1.0
19.0,84.0,0.977778
20.0,58.0,0.944444
20.0,70.0,1.0
20.0,72.0,0.966667
20.0,77.0,1.0
20.0,81.0,1.0
20.0,90.0,0.933333
20.0,94.0,1.0
21.0,55.0,1.0
21.0,64.0,1.0
21.0,68.0,1.0
21.0,71.0,1.0
21.0,77.0,0.966667
21.0,88.0,0.966667
21.0,93.0,1.0
22.0,30.0,1.0
22.0,62.0,0.944444
22.0,69.0,0.977778
22.0,72.0,1.0
22.0,76.0,0.844444
22.0,77.0,0.933333
22.0,82.0,1.0
22.0,83.0,0.966667
22.0,85.0,0.944444
22.0,88.0,0.977778
22.0,90.0,1.0
22.0,92.0,2.0
22.0,96.0,1.0
23.0,40.0,1.0
23.0,68.0,1.0
23.0,83.0,1.0
23.0,91.0,1.0
23.0,95.0,0.866667
23.0,96.0,1.0
24.0,42.0,0.966667
24.0,50.0,1.0
24.0,51.0,1.0
24.0,62.0,1.0
24.0,79.0,1.0
24.0,91.0,1.933333
24.0,92.0,1.0
