x,y,value
0.0,41.0,1.0
0.0,44.0,1.0
0.0,46.0,1.0
0.0,48.0,1.0
0.0,94.0,1.0
2.0,3.0,2.0
2.0,23.0,1.0
2.0,43.0,1.0
2.0,60.0,1.0
2.0,90.0,0.788889
3.0,6.0,0.977778
3.0,7.0,1.0
3.0,16.0,1.0
3.0,40.0,1.0
3.0,55.0,1.0
3.0,59.0,2.0
3.0,60.0,1.0
4.0,20.0,2.0
4.0,61.0,1.0
5.0,43.0,2.0
6.0,88.0,0.788889
7.0,13.0,0.922222
7.0,34.0,1.0
7.0,59.0,1.0
7.0,67.0,1.0
7.0,92.0,1.0
8.0,10.0,0.811111
8.0,28.0,2.0
8.0,55.0,0.988889
8.0,95.0,1.0
9.0,77.0,1.0
10.0,12.0,0.922222
10.0,18.0,1.0
10.0,19.0,1.0
10.0,21.0,1.0
10.0,59.0,1.0
11.0,5.0,0.9
11.0,7.0,0.988889
11.0,34.0,1.0
12.0,10.0,0.988889
12.0,12.0,1.0
12.0,51.0,1.0
12.0,58.0,0.9
12.0,76.0,1.0
12.0,89.0,0.977778
12.0,91.0,1.0
12.0,93.0,1.0
13.0,2.0,1.0
13.0,7.0,0.988889
13.0,16.0,1.0
13.0,30.0,1.0
13.0,76.0,1.0
14.0,5.0,0.866667
14.0,10.0,1.0
14.0,19.0,1.0
14.0,39.0,1.0
14.0,65.0,1.0
14.0,83.0,0.811111
15.0,14.0,1.0
15.0,24.0,1.0
15.0,35.0,1.0
15.0,95.0,2.0
16.0,7.0,1.0
16.0,8.0,1.0
16.0,40.0,1.0
16.0,86.0,1.0
17.0,18.0,1.0
17.0,25.0,0.988889
17.0,47.0,1.0
18.0,66.0,0.811111
19.0,11.0,1.0
19.0,62.0,1.0
19.0,73.0,1.0
19.0,87.0,0.9
20.0,10.0,1.0
20.0,14.0,1.0
20.0,15.0,1.0
20.0,20.0,1.8
20.0,29.0,0.977778
20.0,57.0,1.0
20.0,70.0,0.9
20.0,72.0,1.0
21.0,5.0,1.0
21.0,7.0,0.988889
21.0,31.0,1.0
21.0,39.0,2.0
21.0,40.0,1.0
21.0,66.0,1.0
21.0,73.0,1.0
21.0,78.0,1.0
22.0,5.0,1.0
22.0,6.0,1.977778
22.0,7.0,1.0
22.0,11.0,1.0
22.0,15.0,0.788889
22.0,20.0,1.0
22.0,25.0,0.988889
22.0,33.0,0.977778
22.0,65.0,0.9
22.0,82.0,0.922222
22.0,83.0,2.0
22.0,95.0,1.0
22.0,99.0,0.9
23.0,4.0,1.577778
23.0,5.0,1.0
23.0,11.0,1.0
23.0,21.0,1.0
23.0,24.0,1.0
23.0,35.0,0.988889
23.0,56.0,1.0
23.0,64.0,2.0
23.0,75.0,1.0
23.0,79.0,0.922222
23.0,83.0,3.0
23.0,90.0,1.0
24.0,9.0,1.0
24.0,12.0,1.0
24.0,15.0,2.0
24.0,26.0,0.977778
24.0,27.0,1.8
24.0,34.0,1.0
24.0,35.0,1.0
24.0,39.0,1.0
24.0,40.0,1.0
24.0,42.0,1.0
24.0,71.0,0.977778
24.0,79.0,0.922222
24.0,84.0,0.988889
25.0,3.0,0.9
25.0,8.0,1.0
25.0,13.0,2.0
25.0,18.0,1.0
25.0,40.0,0.9
25.0,57.0,1.0
25.0,67.0,1.0
25.0,77.0,0.866667
25.0,79.0,0.866667
25.0,85.0,0.988889
25.0,89.0,1.0
25.0,91.0,1.0
26.0,6.0,1.0
26.0,9.0,1.0
26.0,13.0,1.0
26.0,25.0,1.844444
26.0,29.0,0.788889
26.0,30.0,0.811111
26.0,34.0,0.977778
26.0,35.0,1.0
26.0,55.0,1.0
26.0,60.0,0.5
26.0,73.0,1.0
26.0,78.0,0.922222
26.0,80.0,1.0
26.0,83.0,1.0
26.0,88.0,1.0
26.0,92.0,1.0
27.0,5.0,2.0
27.0,8.0,1.866667
27.0,15.0,0.855556
27.0,18.0,2.0
27.0,21.0,1.0
27.0,29.0,1.0
27.0,33.0,0.977778
27.0,37.0,1.0
27.0,40.0,1.0
27.0,44.0,1.977778
27.0,51.0,0.977778
27.0,67.0,0.922222
27.0,70.0,0.866667
27.0,77.0,0.233333
27.0,78.0,0.866667
27.0,90.0,1.0
28.0,6.0,1.0
28.0,8.0,1.977778
28.0,10.0,1.0
28.0,12.0,1.0
28.0,13.0,1.0
28.0,15.0,1.0
28.0,20.0,1.0
28.0,23.0,1.0
28.0,30.0,0.988889
28.0,35.0,1.0
28.0,45.0,1.0
28.0,53.0,1.0
28.0,63.0,0.5
28.0,68.0,1.0
28.0,69.0,0.855556
28.0,86.0,0.233333
28.0,88.0,1.0
29.0,2.0,1.0
29.0,6.0,1.0
29.0,9.0,1.788889
29.0,13.0,1.0
29.0,15.0,1.0
29.0,16.0,1.0
29.0,28.0,1.0
29.0,34.0,3.0
29.0,36.0,0.9
29.0,55.0,0.977778
29.0,57.0,1.0
29.0,62.0,0.855556
29.0,65.0,1.0
29.0,67.0,1.0
29.0,72.0,0.855556
29.0,85.0,1.0
29.0,87.0,1.0
29.0,89.0,1.0
29.0,91.0,1.0
30.0,1.0,1.0
30.0,3.0,0.988889
30.0,5.0,1.9
30.0,8.0,1.844444
30.0,9.0,2.0
30.0,12.0,1.0
30.0,13.0,1.0
30.0,14.0,1.0
30.0,20.0,1.0
30.0,27.0,0.977778
30.0,32.0,1.0
30.0,34.0,1.0
30.0,46.0,0.9
30.0,48.0,1.0
30.0,49.0,0.866667
30.0,60.0,1.0
30.0,63.0,1.0
30.0,72.0,1.0
30.0,79.0,0.988889
30.0,81.0,2.0
30.0,85.0,1.844444
30.0,87.0,1.0
30.0,90.0,1.0
30.0,94.0,1.0
31.0,7.0,2.0
31.0,8.0,2.766667
31.0,11.0,1.0
31.0,12.0,0.977778
31.0,17.0,1.0
31.0,18.0,1.811111
31.0,19.0,1.0
31.0,21.0,1.0
31.0,28.0,1.0
31.0,31.0,1.0
31.0,53.0,1.0
31.0,58.0,1.0
31.0,66.0,1.0
31.0,84.0,1.0
32.0,3.0,1.0
32.0,4.0,0.9
32.0,8.0,0.922222
32.0,11.0,1.0
32.0,17.0,0.9
32.0,19.0,1.0
32.0,29.0,1.0
32.0,36.0,1.0
32.0,37.0,0.811111
32.0,38.0,1.0
32.0,39.0,1.0
32.0,40.0,1.0
32.0,45.0,0.977778
32.0,47.0,1.0
32.0,56.0,1.0
32.0,65.0,1.755556
32.0,67.0,0.988889
32.0,72.0,0.977778
32.0,77.0,1.0
32.0,84.0,2.0
32.0,87.0,1.0
32.0,88.0,1.211111
32.0,89.0,1.0
32.0,94.0,1.0
33.0,4.0,2.0
33.0,5.0,1.0
33.0,7.0,1.0
33.0,9.0,1.0
33.0,15.0,1.0
33.0,17.0,0.977778
33.0,19.0,0.788889
33.0,20.0,2.0
33.0,23.0,1.4
33.0,28.0,1.0
33.0,35.0,1.0
33.0,36.0,1.0
33.0,37.0,0.9
33.0,38.0,1.0
33.0,52.0,0.233333
33.0,63.0,1.0
33.0,88.0,1.0
33.0,91.0,1.0
33.0,92.0,1.0
33.0,95.0,0.988889
34.0,3.0,1.0
34.0,5.0,1.9
34.0,6.0,2.0
34.0,7.0,0.9
34.0,8.0,1.0
34.0,15.0,1.8
34.0,22.0,1.9
34.0,26.0,1.0
34.0,28.0,1.0
34.0,30.0,1.0
34.0,31.0,1.0
34.0,33.0,1.0
34.0,34.0,1.0
34.0,39.0,2.0
34.0,46.0,1.0
34.0,58.0,0.811111
34.0,60.0,0.855556
34.0,66.0,0.855556
34.0,68.0,1.0
34.0,75.0,1.844444
34.0,80.0,3.0
34.0,86.0,0.988889
34.0,89.0,1.0
34.0,92.0,0.5
34.0,94.0,0.233333
34.0,96.0,1.0
35.0,3.0,1.0
35.0,5.0,1.0
35.0,6.0,1.0
35.0,11.0,1.0
35.0,19.0,1.0
35.0,20.0,1.844444
35.0,26.0,1.988889
35.0,27.0,2.0
35.0,29.0,0.988889
35.0,31.0,1.0
35.0,32.0,1.0
35.0,33.0,0.855556
35.0,35.0,0.9
35.0,38.0,0.988889
35.0,44.0,1.0
35.0,52.0,0.288889
35.0,67.0,1.0
35.0,69.0,1.0
35.0,73.0,1.0
35.0,80.0,2.0
35.0,87.0,2.0
35.0,89.0,1.0
35.0,92.0,1.0
36.0,6.0,1.0
36.0,9.0,0.5
36.0,10.0,1.0
36.0,12.0,1.0
36.0,14.0,0.9
36.0,15.0,0.866667
36.0,20.0,1.0
36.0,21.0,1.0
36.0,27.0,2.0
36.0,31.0,0.9
36.0,34.0,1.0
36.0,36.0,1.0
36.0,40.0,1.0
36.0,42.0,1.9
36.0,43.0,1.0
36.0,63.0,0.977778
36.0,71.0,1.9
36.0,73.0,0.9
36.0,78.0,1.0
36.0,82.0,1.0
36.0,85.0,0.9
36.0,86.0,1.0
36.0,88.0,2.0
36.0,90.0,1.0
37.0,3.0,1.0
37.0,5.0,2.0
37.0,7.0,2.0
37.0,9.0,3.0
37.0,10.0,1.922222
37.0,13.0,2.0
37.0,14.0,1.0
37.0,15.0,2.0
37.0,20.0,1.0
37.0,23.0,0.988889
37.0,25.0,0.9
37.0,29.0,0.288889
37.0,30.0,2.0
37.0,37.0,2.0
37.0,39.0,1.0
37.0,40.0,1.9
37.0,45.0,2.0
37.0,46.0,1.0
37.0,50.0,1.0
37.0,54.0,0.988889
37.0,55.0,0.288889
37.0,56.0,1.0
37.0,57.0,1.0
37.0,60.0,2.0
37.0,63.0,1.0
37.0,66.0,0.788889
37.0,70.0,0.9
37.0,75.0,1.0
37.0,77.0,0.988889
37.0,79.0,2.0
37.0,81.0,1.0
37.0,82.0,1.0
37.0,88.0,1.922222
37.0,89.0,1.0
37.0,91.0,1.0
37.0,93.0,1.0
38.0,3.0,1.0
38.0,4.0,0.9
38.0,5.0,1.0
38.0,7.0,2.988889
38.0,10.0,1.0
38.0,11.0,1.0
38.0,13.0,1.866667
38.0,16.0,1.0
38.0,18.0,1.0
38.0,24.0,1.0
38.0,25.0,0.9
38.0,26.0,1.866667
38.0,27.0,1.0
38.0,29.0,0.288889
38.0,32.0,1.0
38.0,33.0,1.0
38.0,35.0,1.0
38.0,36.0,1.0
38.0,42.0,1.4
38.0,44.0,2.0
38.0,45.0,0.788889
38.0,69.0,0.788889
38.0,71.0,0.233333
38.0,75.0,1.233333
38.0,77.0,1.988889
38.0,81.0,1.0
38.0,83.0,1.0
38.0,91.0,0.922222
38.0,92.0,0.922222
39.0,3.0,1.0
39.0,4.0,1.0
39.0,5.0,2.0
39.0,8.0,1.0
39.0,9.0,1.0
39.0,11.0,1.9
39.0,18.0,2.788889
39.0,19.0,1.0
39.0,21.0,1.0
39.0,22.0,1.0
39.0,23.0,1.0
39.0,24.0,0.9
39.0,26.0,1.0
39.0,30.0,1.922222
39.0,31.0,1.0
39.0,33.0,1.0
39.0,39.0,1.0
39.0,42.0,1.0
39.0,43.0,1.0
39.0,55.0,1.977778
39.0,61.0,1.0
39.0,63.0,1.0
39.0,68.0,1.0
39.0,73.0,0.988889
39.0,77.0,1.0
39.0,80.0,3.0
39.0,82.0,1.0
39.0,88.0,1.0
39.0,90.0,0.988889
39.0,94.0,1.0
40.0,4.0,1.0
40.0,5.0,1.0
40.0,6.0,1.0
40.0,7.0,1.0
40.0,11.0,1.0
40.0,12.0,0.866667
40.0,13.0,0.9
40.0,14.0,1.0
40.0,16.0,1.5
40.0,18.0,2.0
40.0,19.0,1.0
40.0,20.0,0.9
40.0,24.0,1.9
40.0,27.0,0.788889
40.0,29.0,1.0
40.0,32.0,1.0
40.0,35.0,1.0
40.0,37.0,1.0
40.0,38.0,1.0
40.0,40.0,0.9
40.0,42.0,1.0
40.0,54.0,0.788889
40.0,61.0,1.0
40.0,64.0,0.5
40.0,67.0,0.922222
40.0,68.0,0.866667
40.0,76.0,1.0
40.0,86.0,0.922222
40.0,88.0,1.788889
40.0,94.0,0.233333
41.0,6.0,1.0
41.0,7.0,1.0
41.0,10.0,1.0
41.0,12.0,0.866667
41.0,13.0,1.9
41.0,17.0,0.988889
41.0,20.0,0.9
41.0,24.0,1.988889
41.0,25.0,1.0
41.0,26.0,1.0
41.0,27.0,1.0
41.0,28.0,2.988889
41.0,29.0,1.0
41.0,30.0,1.0
41.0,31.0,1.0
41.0,33.0,0.288889
41.0,35.0,1.0
41.0,36.0,1.0
41.0,39.0,1.855556
41.0,40.0,1.0
41.0,43.0,1.0
41.0,47.0,1.0
41.0,52.0,1.0
41.0,57.0,1.0
41.0,58.0,0.855556
41.0,60.0,2.0
41.0,64.0,1.0
41.0,67.0,1.911111
41.0,69.0,0.855556
41.0,70.0,0.988889
41.0,74.0,0.811111
41.0,77.0,1.0
41.0,80.0,1.0
41.0,85.0,1.0
41.0,87.0,1.0
41.0,93.0,2.0
41.0,97.0,1.0
42.0,4.0,1.0
42.0,5.0,1.0
42.0,7.0,2.0
42.0,8.0,1.0
42.0,10.0,0.9
42.0,11.0,0.788889
42.0,12.0,1.0
42.0,13.0,1.0
42.0,17.0,1.0
42.0,18.0,0.5
42.0,19.0,1.0
42.0,23.0,1.0
42.0,26.0,1.0
42.0,29.0,2.0
42.0,31.0,1.288889
42.0,34.0,0.922222
42.0,37.0,0.988889
42.0,59.0,1.0
42.0,61.0,0.866667
42.0,64.0,1.0
42.0,68.0,1.0
42.0,73.0,0.233333
42.0,82.0,1.0
42.0,89.0,0.288889
42.0,93.0,0.866667
43.0,4.0,1.0
43.0,7.0,1.0
43.0,9.0,1.0
43.0,10.0,1.0
43.0,11.0,1.777778
43.0,15.0,1.0
43.0,17.0,1.0
43.0,23.0,1.0
43.0,24.0,0.988889
43.0,29.0,1.0
43.0,30.0,1.0
43.0,31.0,0.9
43.0,32.0,1.0
43.0,52.0,1.0
43.0,69.0,1.988889
43.0,70.0,0.988889
43.0,73.0,1.0
43.0,76.0,0.988889
43.0,86.0,1.0
43.0,93.0,1.0
43.0,95.0,0.788889
44.0,7.0,1.0
44.0,8.0,1.0
44.0,13.0,0.9
44.0,14.0,3.644444
44.0,15.0,0.988889
44.0,16.0,1.0
44.0,20.0,2.0
44.0,24.0,2.855556
44.0,28.0,1.788889
44.0,29.0,1.0
44.0,31.0,1.0
44.0,35.0,1.0
44.0,44.0,1.9
44.0,45.0,1.0
44.0,55.0,0.288889
44.0,56.0,0.988889
44.0,57.0,0.5
44.0,58.0,0.9
44.0,60.0,1.0
44.0,70.0,0.922222
44.0,71.0,0.988889
44.0,74.0,2.0
44.0,76.0,0.988889
44.0,77.0,1.0
44.0,79.0,2.0
44.0,80.0,1.811111
44.0,85.0,2.0
44.0,97.0,0.788889
45.0,2.0,1.0
45.0,5.0,0.922222
45.0,7.0,1.0
45.0,8.0,1.0
45.0,13.0,0.788889
45.0,14.0,1.0
45.0,17.0,1.0
45.0,21.0,1.0
45.0,24.0,0.788889
45.0,25.0,1.0
45.0,27.0,1.0
45.0,30.0,1.9
45.0,31.0,0.9
45.0,34.0,1.988889
45.0,36.0,1.0
45.0,44.0,1.888889
45.0,47.0,0.5
45.0,51.0,0.988889
45.0,56.0,1.0
45.0,66.0,1.0
45.0,75.0,0.855556
45.0,79.0,1.811111
45.0,82.0,1.0
45.0,84.0,1.0
45.0,89.0,1.0
45.0,94.0,2.0
46.0,2.0,0.9
46.0,4.0,0.9
46.0,5.0,1.0
46.0,7.0,1.0
46.0,8.0,1.0
46.0,9.0,2.0
46.0,10.0,1.0
46.0,11.0,1.0
46.0,12.0,0.977778
46.0,13.0,2.0
46.0,15.0,0.988889
46.0,18.0,1.0
46.0,22.0,2.0
46.0,23.0,1.0
46.0,24.0,1.866667
46.0,30.0,1.0
46.0,31.0,2.0
46.0,33.0,1.0
46.0,41.0,0.9
46.0,47.0,2.0
46.0,48.0,2.688889
46.0,51.0,0.855556
46.0,53.0,1.0
46.0,54.0,1.0
46.0,59.0,0.9
46.0,60.0,0.922222
46.0,64.0,1.0
46.0,70.0,1.888889
46.0,74.0,1.0
46.0,77.0,1.0
46.0,80.0,1.0
46.0,86.0,0.988889
46.0,87.0,1.0
46.0,91.0,1.0
46.0,95.0,1.0
47.0,5.0,1.0
47.0,7.0,3.0
47.0,9.0,2.0
47.0,10.0,1.0
47.0,19.0,0.866667
47.0,22.0,1.0
47.0,25.0,0.288889
47.0,28.0,1.888889
47.0,29.0,1.0
47.0,34.0,0.988889
47.0,36.0,1.0
47.0,40.0,2.9
47.0,45.0,2.0
47.0,53.0,0.855556
47.0,56.0,2.0
47.0,57.0,1.0
47.0,59.0,1.0
47.0,60.0,1.855556
47.0,61.0,1.0
47.0,62.0,0.988889
47.0,65.0,0.855556
47.0,66.0,0.977778
47.0,76.0,0.5
47.0,80.0,1.0
48.0,7.0,0.788889
48.0,10.0,1.0
48.0,20.0,2.0
48.0,23.0,1.0
48.0,27.0,1.0
48.0,30.0,1.977778
48.0,34.0,0.977778
48.0,45.0,1.0
48.0,48.0,0.788889
48.0,59.0,1.977778
48.0,67.0,0.811111
48.0,70.0,0.988889
48.0,72.0,0.855556
48.0,75.0,1.5
48.0,84.0,1.0
48.0,85.0,0.922222
48.0,88.0,0.9
49.0,3.0,0.9
49.0,16.0,1.0
49.0,20.0,1.0
49.0,29.0,1.0
49.0,40.0,1.0
49.0,43.0,0.288889
49.0,45.0,0.977778
49.0,50.0,1.0
49.0,51.0,1.0
49.0,60.0,1.711111
49.0,65.0,1.0
49.0,70.0,0.977778
50.0,3.0,1.0
50.0,9.0,1.0
50.0,13.0,1.0
50.0,29.0,0.977778
50.0,40.0,1.0
50.0,49.0,2.644444
50.0,50.0,9.333333
50.0,58.0,0.977778
50.0,94.0,1.0
51.0,11.0,0.977778
51.0,12.0,1.0
51.0,20.0,1.0
51.0,25.0,1.0
51.0,27.0,0.988889
51.0,31.0,0.788889
51.0,33.0,1.8
51.0,34.0,0.9
51.0,37.0,1.0
51.0,46.0,1.988889
51.0,48.0,0.866667
51.0,53.0,0.855556
51.0,56.0,1.0
51.0,58.0,1.0
51.0,67.0,1.0
51.0,89.0,1.0
51.0,93.0,1.0
52.0,4.0,1.0
52.0,5.0,1.0
52.0,12.0,1.0
52.0,13.0,1.0
52.0,14.0,1.0
52.0,15.0,0.988889
52.0,16.0,1.988889
52.0,19.0,1.988889
52.0,20.0,1.0
52.0,23.0,2.0
52.0,25.0,0.788889
52.0,26.0,2.0
52.0,28.0,1.0
52.0,29.0,1.0
52.0,31.0,1.0
52.0,33.0,0.866667
52.0,35.0,1.0
52.0,36.0,1.0
52.0,39.0,1.0
52.0,40.0,1.0
52.0,41.0,0.788889
52.0,42.0,1.0
52.0,47.0,1.0
52.0,52.0,0.855556
52.0,59.0,1.0
52.0,63.0,1.977778
52.0,68.0,1.5
52.0,81.0,0.811111
52.0,83.0,1.0
52.0,87.0,0.9
52.0,90.0,1.0
52.0,92.0,1.0
52.0,100.0,0.866667
53.0,4.0,1.0
53.0,6.0,1.0
53.0,10.0,1.0
53.0,15.0,0.9
53.0,16.0,1.888889
53.0,18.0,1.0
53.0,19.0,1.0
53.0,21.0,0.922222
53.0,22.0,2.0
53.0,25.0,1.977778
53.0,28.0,1.0
53.0,30.0,1.0
53.0,31.0,1.0
53.0,32.0,1.0
53.0,33.0,1.266667
53.0,38.0,0.866667
53.0,40.0,1.0
53.0,41.0,3.0
53.0,42.0,1.222222
53.0,46.0,1.0
53.0,52.0,1.0
53.0,54.0,0.922222
53.0,57.0,0.5
53.0,60.0,1.0
53.0,61.0,1.0
53.0,65.0,0.855556
53.0,82.0,1.0
53.0,83.0,0.977778
53.0,89.0,1.0
53.0,90.0,1.0
53.0,95.0,1.0
54.0,5.0,2.0
54.0,9.0,0.977778
54.0,10.0,1.0
54.0,13.0,1.0
54.0,16.0,2.0
54.0,20.0,0.9
54.0,21.0,0.988889
54.0,22.0,1.0
54.0,24.0,1.0
54.0,26.0,1.0
54.0,30.0,1.0
54.0,31.0,1.0
54.0,32.0,1.0
54.0,35.0,2.0
54.0,40.0,1.0
54.0,42.0,1.288889
54.0,43.0,1.0
54.0,44.0,1.855556
54.0,46.0,0.988889
54.0,47.0,1.0
54.0,48.0,1.0
54.0,51.0,0.977778
54.0,53.0,1.0
54.0,54.0,0.9
54.0,55.0,1.4
54.0,57.0,1.922222
