x,y,value
0.0,11.0,1.0
0.0,58.0,1.0
0.0,90.0,1.0
1.0,68.0,1.0
1.0,74.0,1.0
2.0,16.0,1.0
2.0,26.0,1.0
2.0,28.0,1.0
2.0,55.0,2.0
2.0,56.0,2.0
2.0,58.0,1.0
2.0,59.0,2.0
2.0,60.0,1.0
2.0,64.0,1.0
2.0,65.0,1.0
2.0,73.0,1.0
2.0,80.0,1.0
2.0,83.0,1.0
3.0,30.0,1.0
3.0,44.0,2.0
3.0,47.0,1.0
3.0,49.0,1.0
3.0,50.0,1.0
3.0,51.0,1.0
3.0,52.0,1.0
3.0,56.0,2.0
3.0,57.0,4.0
3.0,58.0,3.0
3.0,59.0,2.0
3.0,60.0,2.0
3.0,61.0,2.0
3.0,62.0,1.0
3.0,73.0,1.0
3.0,80.0,1.0
3.0,100.0,1.0
4.0,7.0,1.0
4.0,15.0,1.0
4.0,33.0,1.0
4.0,39.0,1.0
4.0,46.0,1.0
4.0,50.0,1.0
4.0,51.0,2.0
4.0,55.0,2.0
4.0,56.0,2.0
4.0,57.0,8.0
4.0,58.0,2.0
4.0,59.0,5.0
4.0,60.0,6.0
4.0,61.0,13.0
4.0,70.0,1.0
4.0,94.0,1.0
5.0,32.0,1.0
5.0,46.0,1.0
5.0,49.0,1.0
5.0,50.0,1.0
5.0,56.0,1.0
5.0,58.0,5.0
5.0,60.0,5.0
5.0,61.0,6.0
5.0,62.0,7.0
5.0,63.0,4.0
5.0,69.0,2.0
5.0,74.0,1.0
5.0,77.0,1.0
5.0,93.0,2.0
6.0,44.0,2.0
6.0,50.0,3.0
6.0,53.0,1.0
6.0,61.0,2.0
6.0,62.0,1.0
6.0,72.0,1.0
6.0,78.0,1.0
6.0,88.0,1.0
6.0,95.0,1.0
7.0,13.0,1.0
7.0,20.0,1.0
7.0,36.0,1.0
7.0,40.0,1.0
7.0,47.0,2.0
7.0,53.0,4.0
7.0,56.0,1.0
7.0,60.0,2.0
7.0,61.0,1.0
7.0,67.0,1.0
7.0,69.0,1.0
7.0,70.0,1.0
7.0,74.0,3.0
7.0,75.0,1.0
7.0,78.0,1.0
7.0,90.0,1.0
8.0,40.0,1.0
8.0,42.0,1.0
8.0,45.0,1.0
8.0,47.0,1.0
8.0,57.0,1.0
8.0,58.0,3.0
8.0,63.0,1.0
8.0,64.0,1.0
8.0,68.0,1.0
8.0,71.0,1.0
8.0,74.0,1.0
8.0,76.0,1.0
8.0,77.0,1.0
8.0,78.0,1.0
8.0,84.0,1.0
8.0,85.0,1.0
8.0,93.0,1.0
9.0,37.0,1.0
9.0,45.0,1.0
9.0,46.0,1.0
9.0,50.0,2.0
9.0,52.0,1.0
9.0,53.0,1.0
9.0,54.0,1.0
9.0,55.0,1.0
9.0,57.0,1.0
9.0,58.0,1.0
9.0,60.0,2.0
9.0,67.0,2.0
9.0,79.0,2.0
9.0,81.0,1.0
9.0,83.0,1.0
9.0,84.0,1.0
9.0,92.0,1.0
10.0,19.0,1.0
10.0,21.0,1.0
10.0,33.0,1.0
10.0,36.0,1.0
10.0,41.0,1.0
10.0,42.0,1.0
10.0,46.0,1.0
10.0,56.0,1.0
10.0,60.0,2.0
10.0,66.0,1.0
10.0,68.0,3.0
10.0,81.0,3.0
10.0,82.0,1.0
10.0,84.0,2.0
10.0,86.0,1.0
10.0,88.0,1.0
10.0,100.0,1.0
11.0,31.0,1.0
11.0,37.0,1.0
11.0,38.0,1.0
11.0,40.0,1.0
11.0,42.0,1.0
11.0,49.0,2.0
11.0,51.0,1.0
11.0,52.0,2.0
11.0,53.0,2.0
11.0,61.0,1.0
11.0,63.0,1.0
11.0,66.0,1.0
11.0,68.0,2.0
11.0,69.0,3.0
11.0,71.0,1.0
11.0,72.0,1.0
11.0,75.0,3.0
11.0,80.0,1.0
11.0,83.0,1.0
11.0,85.0,1.0
11.0,86.0,1.0
11.0,88.0,1.0
11.0,90.0,1.0
11.0,100.0,1.0
12.0,24.0,1.0
12.0,26.0,1.0
12.0,34.0,1.0
12.0,35.0,1.0
12.0,36.0,1.0
12.0,41.0,1.0
12.0,47.0,2.0
12.0,50.0,1.0
12.0,54.0,1.0
12.0,55.0,3.0
12.0,64.0,1.0
12.0,70.0,1.0
12.0,76.0,2.0
12.0,78.0,1.0
12.0,80.0,1.0
12.0,81.0,1.0
12.0,84.0,1.0
12.0,85.0,1.0
12.0,90.0,1.0
12.0,91.0,1.0
12.0,96.0,1.0
12.0,100.0,1.0
13.0,0.0,1.0
13.0,28.0,1.0
13.0,29.0,1.0
13.0,32.0,1.0
13.0,42.0,1.0
13.0,44.0,1.0
13.0,47.0,1.0
13.0,48.0,1.0
13.0,49.0,1.0
13.0,54.0,1.0
13.0,55.0,2.0
13.0,59.0,1.0
13.0,61.0,1.0
13.0,63.0,1.0
13.0,66.0,2.0
13.0,69.0,1.0
13.0,70.0,1.0
13.0,71.0,1.0
13.0,73.0,1.0
13.0,75.0,1.0
13.0,78.0,1.0
13.0,84.0,1.0
13.0,85.0,1.0
13.0,87.0,1.0
13.0,90.0,2.0
13.0,95.0,1.0
14.0,28.0,1.0
14.0,36.0,1.0
14.0,39.0,1.0
14.0,48.0,3.0
14.0,50.0,1.0
14.0,51.0,1.0
14.0,52.0,1.0
14.0,54.0,1.0
14.0,57.0,1.0
14.0,61.0,1.0
14.0,67.0,1.0
14.0,69.0,1.0
14.0,70.0,1.0
14.0,71.0,1.0
14.0,75.0,1.0
14.0,76.0,1.0
14.0,79.0,1.0
14.0,82.0,2.0
14.0,84.0,1.0
14.0,86.0,2.0
14.0,88.0,2.0
15.0,10.0,1.0
15.0,33.0,3.0
15.0,34.0,1.0
15.0,45.0,1.0
15.0,50.0,1.0
15.0,55.0,1.0
15.0,56.0,1.0
15.0,60.0,1.0
15.0,63.0,1.0
15.0,64.0,1.0
15.0,68.0,2.0
15.0,70.0,2.0
15.0,83.0,2.0
15.0,84.0,1.0
15.0,91.0,2.0
15.0,100.0,2.0
16.0,65.0,1.0
16.0,77.0,1.0
16.0,79.0,1.0
16.0,80.0,1.0
16.0,82.0,1.0
16.0,88.0,1.0
16.0,89.0,1.0
17.0,7.0,1.0
17.0,49.0,1.0
17.0,53.0,1.0
17.0,54.0,1.0
17.0,55.0,1.0
17.0,72.0,1.0
17.0,73.0,1.0
17.0,80.0,1.0
17.0,83.0,1.0
17.0,90.0,1.0
18.0,31.0,1.0
18.0,45.0,1.0
18.0,49.0,1.0
18.0,50.0,1.0
18.0,51.0,2.0
18.0,53.0,1.0
18.0,57.0,1.0
18.0,70.0,1.0
18.0,82.0,1.0
18.0,83.0,1.0
18.0,87.0,1.0
18.0,89.0,2.0
18.0,100.0,2.0
19.0,15.0,1.0
19.0,32.0,1.0
19.0,36.0,1.0
19.0,47.0,2.0
19.0,54.0,1.0
19.0,57.0,1.0
19.0,62.0,2.0
19.0,65.0,1.0
19.0,71.0,2.0
19.0,74.0,1.0
19.0,76.0,1.0
19.0,77.0,1.0
19.0,79.0,1.0
19.0,81.0,1.0
19.0,86.0,1.0
19.0,87.0,1.0
19.0,89.0,1.0
19.0,90.0,1.0
19.0,91.0,2.0
19.0,92.0,1.0
19.0,94.0,1.0
19.0,100.0,1.0
20.0,11.0,1.0
20.0,34.0,1.0
20.0,49.0,1.0
20.0,53.0,1.0
20.0,55.0,1.0
20.0,57.0,1.0
20.0,58.0,2.0
20.0,65.0,3.0
20.0,66.0,1.0
20.0,68.0,1.0
20.0,72.0,1.0
20.0,73.0,1.0
20.0,74.0,1.0
20.0,75.0,2.0
20.0,78.0,1.0
20.0,80.0,1.0
20.0,83.0,1.0
20.0,84.0,1.0
20.0,85.0,1.0
20.0,88.0,1.0
20.0,90.0,1.0
20.0,91.0,2.0
20.0,92.0,1.0
20.0,100.0,1.0
21.0,31.0,1.0
21.0,51.0,1.0
21.0,58.0,1.0
21.0,60.0,1.0
21.0,66.0,1.0
21.0,67.0,2.0
21.0,69.0,1.0
21.0,73.0,2.0
21.0,74.0,1.0
21.0,75.0,1.0
21.0,78.0,1.0
21.0,80.0,1.0
21.0,81.0,2.0
21.0,82.0,4.0
21.0,83.0,3.0
21.0,84.0,1.0
21.0,85.0,1.0
21.0,86.0,1.0
21.0,87.0,2.0
21.0,88.0,1.0
21.0,89.0,2.0
21.0,90.0,1.0
21.0,92.0,1.0
21.0,95.0,1.0
21.0,97.0,1.0
22.0,4.0,1.0
22.0,8.0,1.0
22.0,17.0,1.0
22.0,34.0,1.0
22.0,49.0,1.0
22.0,51.0,1.0
22.0,53.0,1.0
22.0,56.0,1.0
22.0,68.0,1.0
22.0,69.0,1.0
22.0,72.0,1.0
22.0,73.0,1.0
22.0,75.0,1.0
22.0,76.0,1.0
22.0,78.0,2.0
22.0,83.0,3.0
22.0,84.0,1.0
22.0,89.0,1.0
22.0,90.0,1.0
22.0,91.0,1.0
23.0,5.0,1.0
23.0,7.0,1.0
23.0,52.0,1.0
23.0,55.0,3.0
23.0,56.0,1.0
23.0,60.0,1.0
23.0,65.0,1.0
23.0,66.0,1.0
23.0,71.0,2.0
23.0,72.0,1.0
23.0,73.0,1.0
23.0,74.0,2.0
23.0,75.0,2.0
23.0,76.0,1.0
23.0,77.0,3.0
23.0,78.0,1.0
23.0,79.0,1.0
23.0,80.0,1.0
23.0,81.0,1.0
23.0,84.0,2.0
23.0,86.0,1.0
23.0,88.0,1.0
23.0,95.0,1.0
