x,y,value
1.0,77.0,1.0
2.0,70.0,0.988889
2.0,76.0,1.0
2.0,77.0,0.911111
2.0,78.0,1.0
2.0,80.0,1.0
2.0,86.0,1.0
2.0,89.0,0.988889
3.0,14.0,1.0
3.0,15.0,1.0
3.0,41.0,1.0
3.0,55.0,0.988889
3.0,60.0,0.755556
4.0,78.0,0.755556
4.0,82.0,1.0
5.0,13.0,0.911111
5.0,36.0,0.755556
5.0,40.0,2.0
5.0,68.0,0.755556
5.0,71.0,0.755556
5.0,83.0,1.0
6.0,39.0,0.177778
6.0,49.0,1.0
7.0,37.0,1.0
7.0,40.0,0.911111
7.0,46.0,1.0
7.0,48.0,0.733333
7.0,51.0,1.0
7.0,77.0,1.0
7.0,85.0,0.866667
7.0,88.0,0.911111
7.0,95.0,1.0
8.0,19.0,1.0
8.0,24.0,1.0
8.0,42.0,1.0
8.0,45.0,0.733333
8.0,47.0,1.0
8.0,49.0,1.0
8.0,53.0,1.0
8.0,58.0,0.877778
8.0,73.0,2.0
8.0,82.0,1.0
9.0,35.0,1.0
9.0,48.0,0.744444
9.0,63.0,1.0
9.0,66.0,0.911111
9.0,88.0,0.744444
10.0,31.0,0.744444
10.0,32.0,2.0
10.0,52.0,0.988889
10.0,53.0,0.744444
10.0,60.0,0.911111
10.0,70.0,1.0
10.0,87.0,0.811111
11.0,29.0,0.988889
11.0,37.0,1.0
11.0,47.0,1.0
11.0,51.0,0.911111
11.0,60.0,1.0
11.0,92.0,1.0
12.0,39.0,0.3
12.0,52.0,0.177778
12.0,55.0,1.0
12.0,62.0,1.0
12.0,71.0,1.0
12.0,72.0,0.744444
12.0,86.0,0.988889
13.0,17.0,1.0
13.0,49.0,0.877778
13.0,56.0,1.0
13.0,58.0,1.0
13.0,61.0,0.866667
13.0,63.0,0.855556
13.0,66.0,1.188889
13.0,67.0,0.911111
13.0,69.0,0.744444
13.0,87.0,0.733333
14.0,25.0,0.911111
14.0,35.0,0.177778
14.0,41.0,1.0
14.0,48.0,0.755556
14.0,57.0,0.877778
14.0,59.0,2.744444
14.0,72.0,0.833333
14.0,88.0,0.3
14.0,91.0,1.566667
15.0,28.0,1.0
15.0,32.0,1.755556
15.0,47.0,1.0
15.0,49.0,1.622222
15.0,51.0,1.0
15.0,65.0,1.0
15.0,83.0,0.911111
15.0,87.0,0.755556
16.0,25.0,1.0
16.0,28.0,0.644444
16.0,34.0,1.0
16.0,42.0,0.177778
16.0,44.0,0.733333
16.0,47.0,0.866667
16.0,52.0,0.866667
16.0,62.0,1.0
16.0,89.0,0.855556
17.0,89.0,1.0
18.0,26.0,0.911111
18.0,29.0,0.911111
18.0,30.0,1.788889
18.0,31.0,0.755556
18.0,32.0,0.911111
18.0,40.0,0.188889
18.0,49.0,1.0
18.0,50.0,0.644444
18.0,53.0,1.0
18.0,57.0,0.877778
18.0,60.0,0.911111
18.0,61.0,1.0
18.0,62.0,0.866667
18.0,65.0,0.811111
18.0,83.0,0.833333
19.0,21.0,1.0
19.0,25.0,1.0
19.0,30.0,0.911111
19.0,31.0,0.911111
19.0,47.0,0.855556
19.0,59.0,1.711111
19.0,65.0,1.0
19.0,69.0,1.0
19.0,81.0,1.0
19.0,89.0,0.777778
20.0,21.0,0.3
20.0,26.0,0.855556
20.0,48.0,0.855556
20.0,49.0,0.811111
20.0,62.0,0.988889
20.0,63.0,0.755556
20.0,70.0,1.0
20.0,74.0,0.811111
20.0,85.0,0.755556
21.0,20.0,0.911111
21.0,29.0,1.744444
21.0,31.0,0.988889
21.0,32.0,1.0
21.0,35.0,1.0
21.0,43.0,1.0
21.0,47.0,0.855556
21.0,62.0,1.0
21.0,67.0,2.5
21.0,69.0,0.744444
