x,y,value
0.0,59.0,1.0
0.0,68.0,0.844444
1.0,60.0,1.0
2.0,31.0,1.0
2.0,36.0,1.0
2.0,65.0,0.844444
3.0,24.0,0.5
3.0,25.0,0.5
3.0,34.0,1.0
3.0,42.0,1.0
3.0,44.0,1.0
3.0,49.0,0.5
3.0,59.0,1.0
4.0,14.0,1.0
4.0,38.0,1.0
4.0,47.0,0.5
4.0,48.0,0.5
4.0,49.0,0.5
4.0,53.0,1.0
4.0,74.0,1.0
5.0,29.0,1.0
5.0,40.0,1.0
5.0,41.0,2.0
5.0,66.0,0.844444
5.0,70.0,0.844444
6.0,42.0,1.0
6.0,45.0,1.0
6.0,48.0,0.5
6.0,53.0,0.966667
6.0,60.0,0.966667
6.0,66.0,1.0
6.0,67.0,0.844444
6.0,83.0,1.0
7.0,2.0,0.133333
7.0,25.0,0.322222
7.0,30.0,1.0
7.0,42.0,1.0
7.0,48.0,0.5
7.0,49.0,0.5
7.0,63.0,1.0
7.0,64.0,1.0
7.0,66.0,0.188889
7.0,71.0,0.844444
7.0,75.0,1.0
7.0,83.0,0.644444
8.0,27.0,1.0
8.0,38.0,1.0
8.0,46.0,1.0
8.0,47.0,1.0
8.0,48.0,1.0
8.0,49.0,1.0
8.0,52.0,1.0
8.0,81.0,1.0
8.0,83.0,1.0
9.0,13.0,1.0
9.0,29.0,1.0
9.0,31.0,1.0
9.0,39.0,1.0
9.0,44.0,1.0
9.0,47.0,0.5
9.0,66.0,1.0
9.0,80.0,2.0
10.0,9.0,1.0
10.0,15.0,1.0
10.0,18.0,0.5
10.0,24.0,2.0
10.0,35.0,1.0
10.0,45.0,0.355556
10.0,48.0,1.0
10.0,64.0,1.0
10.0,66.0,1.0
11.0,3.0,0.133333
11.0,36.0,1.0
11.0,46.0,2.0
11.0,51.0,1.0
11.0,63.0,0.966667
11.0,67.0,0.966667
11.0,82.0,0.5
12.0,33.0,1.0
12.0,42.0,0.355556
12.0,48.0,1.0
12.0,52.0,1.0
12.0,57.0,2.0
12.0,59.0,1.0
12.0,73.0,1.0
12.0,74.0,0.966667
12.0,76.0,1.0
12.0,80.0,1.0
13.0,15.0,1.0
13.0,51.0,1.0
13.0,57.0,1.0
13.0,67.0,1.0
13.0,74.0,0.966667
13.0,89.0,0.966667
14.0,34.0,0.966667
14.0,55.0,1.0
14.0,61.0,1.0
14.0,62.0,1.0
14.0,68.0,1.0
14.0,71.0,0.188889
14.0,74.0,1.0
14.0,77.0,1.0
14.0,82.0,1.0
14.0,92.0,1.0
14.0,94.0,1.0
14.0,97.0,0.966667
15.0,46.0,1.0
15.0,50.0,1.0
15.0,55.0,1.0
15.0,56.0,1.0
15.0,57.0,1.0
15.0,62.0,1.0
15.0,64.0,1.0
15.0,88.0,1.0
15.0,94.0,3.0
16.0,50.0,1.0
16.0,51.0,1.933333
16.0,60.0,0.844444
16.0,89.0,1.0
17.0,7.0,1.0
17.0,15.0,0.144444
17.0,35.0,1.0
17.0,51.0,0.5
18.0,40.0,1.0
18.0,90.0,1.0
19.0,44.0,1.0
19.0,51.0,1.0
19.0,79.0,1.0
19.0,93.0,1.0
20.0,27.0,1.0
20.0,63.0,1.0
20.0,70.0,0.266667
21.0,12.0,0.111111
21.0,28.0,1.0
21.0,60.0,1.0
21.0,67.0,1.0
22.0,6.0,0.266667
22.0,33.0,1.0
22.0,40.0,1.0
22.0,57.0,2.0
22.0,66.0,0.266667
22.0,67.0,1.0
22.0,69.0,1.0
22.0,81.0,1.0
23.0,52.0,0.844444
23.0,67.0,0.355556
23.0,85.0,2.0
23.0,92.0,1.0
24.0,5.0,2.0
24.0,35.0,1.0
24.0,41.0,0.322222
24.0,43.0,1.0
24.0,53.0,1.0
24.0,67.0,0.244444
24.0,70.0,2.0
24.0,74.0,1.0
25.0,9.0,1.0
25.0,20.0,1.0
25.0,25.0,1.0
25.0,45.0,0.144444
25.0,46.0,0.966667
25.0,51.0,0.844444
25.0,52.0,0.966667
25.0,64.0,1.0
25.0,65.0,0.355556
25.0,74.0,1.0
25.0,77.0,1.0
25.0,83.0,0.5
25.0,90.0,1.0
26.0,10.0,0.355556
26.0,15.0,0.133333
26.0,17.0,0.222222
26.0,38.0,0.644444
26.0,41.0,1.0
26.0,51.0,2.0
26.0,61.0,1.0
26.0,62.0,1.0
26.0,68.0,0.5
26.0,71.0,1.0
26.0,74.0,1.0
26.0,75.0,1.0
26.0,80.0,1.0
26.0,91.0,1.0
27.0,17.0,1.0
27.0,27.0,1.0
27.0,47.0,1.0
27.0,52.0,1.0
27.0,58.0,1.0
27.0,61.0,1.0
27.0,64.0,1.0
27.0,65.0,2.0
27.0,66.0,1.0
27.0,75.0,0.188889
27.0,76.0,0.188889
28.0,25.0,1.0
28.0,32.0,0.355556
28.0,49.0,1.0
28.0,51.0,1.0
28.0,52.0,0.966667
28.0,53.0,0.133333
28.0,54.0,1.0
28.0,56.0,1.0
28.0,76.0,0.355556
28.0,79.0,0.355556
28.0,81.0,1.0
29.0,3.0,1.0
29.0,23.0,0.355556
29.0,24.0,1.0
29.0,33.0,1.0
29.0,37.0,1.0
29.0,51.0,1.0
29.0,60.0,1.0
29.0,61.0,1.0
29.0,63.0,1.0
29.0,64.0,1.0
29.0,66.0,1.0
29.0,67.0,1.0
29.0,68.0,2.0
29.0,69.0,0.266667
29.0,72.0,0.266667
29.0,74.0,1.266667
29.0,81.0,1.0
29.0,82.0,1.844444
29.0,85.0,1.0
29.0,90.0,1.0
29.0,91.0,1.0
29.0,92.0,1.0
29.0,94.0,1.844444
30.0,4.0,0.355556
30.0,8.0,1.0
30.0,9.0,1.0
30.0,10.0,2.0
30.0,18.0,2.0
30.0,27.0,1.0
30.0,37.0,1.0
30.0,45.0,1.266667
30.0,47.0,0.355556
30.0,48.0,0.966667
30.0,49.0,1.0
30.0,63.0,2.0
30.0,69.0,1.0
30.0,71.0,1.0
30.0,72.0,1.0
30.0,81.0,1.0
30.0,82.0,1.0
30.0,90.0,1.0
30.0,96.0,1.0
31.0,3.0,0.355556
31.0,4.0,1.0
31.0,5.0,1.0
31.0,11.0,1.0
31.0,15.0,0.5
31.0,24.0,0.844444
31.0,28.0,1.0
31.0,30.0,0.355556
31.0,36.0,1.0
31.0,41.0,1.0
31.0,55.0,1.0
31.0,59.0,1.0
31.0,62.0,1.0
31.0,66.0,1.0
31.0,71.0,1.0
31.0,92.0,1.0
31.0,94.0,0.844444
32.0,4.0,0.222222
32.0,18.0,0.144444
32.0,23.0,1.0
32.0,25.0,1.0
32.0,30.0,1.0
32.0,32.0,1.0
32.0,33.0,1.0
32.0,36.0,2.844444
32.0,39.0,0.133333
32.0,41.0,0.266667
32.0,42.0,0.966667
32.0,46.0,1.0
32.0,53.0,0.844444
32.0,61.0,1.0
32.0,65.0,1.0
32.0,71.0,1.0
32.0,79.0,1.266667
32.0,80.0,1.844444
32.0,84.0,1.0
32.0,85.0,0.966667
32.0,86.0,1.0
32.0,88.0,1.0
32.0,98.0,1.0
33.0,4.0,1.0
33.0,9.0,0.188889
33.0,11.0,1.0
33.0,14.0,0.144444
33.0,15.0,1.0
33.0,21.0,0.111111
33.0,30.0,2.0
33.0,42.0,1.0
33.0,45.0,2.0
33.0,46.0,0.966667
33.0,52.0,0.133333
33.0,53.0,0.966667
33.0,60.0,1.0
33.0,62.0,1.0
33.0,67.0,1.0
33.0,70.0,1.0
33.0,71.0,1.5
33.0,79.0,1.0
33.0,81.0,1.0
34.0,6.0,1.0
34.0,9.0,1.0
34.0,11.0,1.0
34.0,19.0,1.0
34.0,21.0,0.355556
34.0,23.0,0.144444
34.0,36.0,0.966667
34.0,38.0,1.0
34.0,40.0,0.966667
34.0,45.0,3.0
34.0,60.0,0.966667
34.0,64.0,1.0
34.0,66.0,1.0
34.0,74.0,1.0
34.0,75.0,1.0
34.0,76.0,1.0
34.0,78.0,1.0
34.0,82.0,0.966667
34.0,83.0,1.0
34.0,89.0,0.188889
34.0,92.0,1.0
35.0,7.0,1.0
35.0,9.0,0.355556
35.0,13.0,1.0
35.0,18.0,0.244444
35.0,23.0,1.0
35.0,27.0,1.0
35.0,36.0,1.0
35.0,52.0,1.0
35.0,53.0,1.0
35.0,74.0,2.0
35.0,83.0,0.05
35.0,89.0,1.0
35.0,91.0,1.966667
36.0,10.0,1.0
36.0,14.0,2.0
36.0,21.0,1.0
36.0,25.0,1.0
36.0,26.0,1.0
36.0,28.0,1.0
36.0,30.0,0.844444
36.0,31.0,2.0
36.0,45.0,1.966667
36.0,51.0,0.266667
36.0,55.0,1.0
36.0,59.0,1.0
36.0,61.0,1.688889
36.0,67.0,1.0
36.0,70.0,1.0
36.0,72.0,0.322222
36.0,73.0,0.844444
36.0,82.0,1.0
36.0,84.0,0.05
36.0,85.0,1.0
36.0,88.0,1.0
36.0,96.0,1.0
37.0,8.0,1.0
37.0,10.0,0.144444
37.0,15.0,1.0
37.0,16.0,1.0
37.0,21.0,0.355556
37.0,22.0,1.0
37.0,30.0,2.0
37.0,51.0,0.266667
37.0,54.0,0.966667
37.0,55.0,1.0
37.0,56.0,1.0
37.0,57.0,0.844444
37.0,58.0,1.0
37.0,63.0,1.0
37.0,67.0,0.144444
37.0,78.0,0.266667
37.0,81.0,1.5
37.0,82.0,1.0
38.0,10.0,0.322222
38.0,13.0,0.188889
38.0,32.0,1.0
38.0,37.0,1.0
38.0,47.0,0.322222
38.0,67.0,2.0
38.0,75.0,0.322222
38.0,76.0,1.0
38.0,82.0,1.05
38.0,83.0,1.0
39.0,18.0,1.0
39.0,22.0,0.844444
39.0,25.0,0.188889
39.0,27.0,1.0
39.0,39.0,1.0
39.0,41.0,1.0
39.0,50.0,1.0
39.0,61.0,1.0
39.0,63.0,2.0
39.0,69.0,1.0
39.0,71.0,0.966667
39.0,74.0,1.0
39.0,81.0,1.0
39.0,87.0,2.0
40.0,0.0,1.0
40.0,3.0,1.0
40.0,5.0,1.0
40.0,17.0,1.0
40.0,19.0,0.288889
40.0,25.0,2.0
40.0,27.0,0.144444
40.0,52.0,1.0
40.0,59.0,1.0
40.0,64.0,1.0
40.0,68.0,0.966667
40.0,69.0,1.355556
40.0,71.0,0.844444
40.0,82.0,1.0
40.0,86.0,0.966667
40.0,88.0,0.322222
41.0,12.0,1.266667
41.0,26.0,1.0
41.0,27.0,1.0
41.0,30.0,1.0
41.0,39.0,0.844444
41.0,43.0,0.844444
41.0,63.0,1.0
41.0,66.0,1.0
41.0,67.0,1.0
41.0,68.0,0.966667
41.0,71.0,1.0
41.0,75.0,0.844444
41.0,77.0,1.0
41.0,90.0,1.0
41.0,93.0,1.0
42.0,5.0,1.0
42.0,8.0,1.0
42.0,12.0,1.0
42.0,25.0,0.133333
42.0,34.0,1.0
42.0,36.0,1.0
42.0,60.0,1.0
42.0,64.0,1.0
42.0,70.0,0.144444
42.0,71.0,1.0
42.0,76.0,1.0
42.0,77.0,0.966667
42.0,78.0,1.0
42.0,81.0,1.0
42.0,88.0,1.0
42.0,93.0,0.05
43.0,26.0,1.0
43.0,27.0,1.0
43.0,48.0,1.155556
43.0,53.0,1.0
43.0,62.0,1.0
43.0,67.0,0.966667
43.0,70.0,0.966667
43.0,73.0,0.844444
43.0,78.0,1.0
43.0,81.0,0.966667
43.0,82.0,0.322222
44.0,16.0,1.0
44.0,17.0,1.0
44.0,27.0,0.144444
44.0,29.0,2.0
44.0,33.0,1.0
44.0,37.0,1.0
44.0,41.0,1.0
44.0,53.0,1.0
44.0,56.0,1.0
44.0,69.0,1.0
44.0,72.0,1.844444
44.0,78.0,1.0
44.0,81.0,0.5
44.0,94.0,0.188889
45.0,9.0,0.844444
45.0,10.0,0.844444
45.0,11.0,1.0
45.0,46.0,1.966667
45.0,51.0,1.0
45.0,56.0,0.844444
45.0,57.0,1.0
45.0,71.0,1.0
45.0,72.0,0.844444
45.0,74.0,1.0
45.0,75.0,1.5
45.0,77.0,2.0
45.0,88.0,1.0
45.0,94.0,1.0
46.0,6.0,0.5
46.0,19.0,1.0
46.0,20.0,0.133333
46.0,47.0,1.133333
46.0,53.0,1.0
46.0,55.0,1.0
46.0,56.0,0.844444
46.0,59.0,1.0
46.0,63.0,1.0
46.0,67.0,1.0
46.0,69.0,1.966667
46.0,70.0,1.0
46.0,100.0,1.0
47.0,21.0,0.5
47.0,50.0,1.0
47.0,54.0,0.844444
47.0,55.0,1.0
47.0,69.0,0.322222
47.0,73.0,0.966667
47.0,79.0,1.0
47.0,100.0,1.0
48.0,25.0,1.0
48.0,43.0,1.0
48.0,51.0,1.455556
48.0,67.0,2.0
48.0,69.0,0.5
48.0,87.0,1.0
49.0,48.0,0.322222
49.0,49.0,3.0
49.0,50.0,1.688889
49.0,56.0,0.966667
49.0,74.0,1.811111
49.0,75.0,1.0
49.0,84.0,1.0
50.0,49.0,1.966667
50.0,50.0,7.211111
50.0,62.0,1.0
51.0,33.0,0.966667
51.0,48.0,1.0
51.0,50.0,1.0
51.0,68.0,0.966667
51.0,81.0,0.966667
52.0,3.0,1.0
52.0,11.0,1.0
52.0,38.0,1.0
52.0,52.0,1.966667
52.0,53.0,1.0
52.0,57.0,0.111111
52.0,65.0,1.466667
52.0,82.0,0.966667
52.0,84.0,1.0
52.0,92.0,1.0
53.0,3.0,1.0
53.0,31.0,2.0
53.0,35.0,1.0
53.0,37.0,1.0
53.0,40.0,1.0
53.0,46.0,2.0
53.0,53.0,1.0
53.0,54.0,1.0
53.0,56.0,1.0
53.0,61.0,1.0
53.0,67.0,1.0
53.0,69.0,1.0
53.0,70.0,1.0
53.0,76.0,1.0
53.0,77.0,1.0
53.0,80.0,0.844444
53.0,81.0,1.0
53.0,92.0,1.266667
54.0,27.0,0.111111
54.0,46.0,2.0
54.0,48.0,1.0
54.0,49.0,1.0
54.0,51.0,0.966667
54.0,53.0,1.0
54.0,54.0,1.0
54.0,57.0,1.322222
54.0,64.0,1.0
54.0,68.0,1.0
54.0,72.0,0.966667
54.0,76.0,1.0
54.0,82.0,1.966667
54.0,89.0,1.0
55.0,12.0,1.0
55.0,15.0,0.188889
55.0,16.0,0.188889
55.0,30.0,1.0
55.0,32.0,1.0
55.0,38.0,1.0
55.0,52.0,1.0
55.0,53.0,0.188889
55.0,57.0,1.0
55.0,67.0,1.0
55.0,68.0,0.966667
55.0,72.0,1.0
55.0,74.0,0.966667
55.0,79.0,0.322222
55.0,81.0,2.0
55.0,92.0,0.966667
55.0,93.0,1.0
56.0,12.0,0.844444
56.0,13.0,1.0
56.0,26.0,2.0
56.0,36.0,1.0
56.0,41.0,1.0
56.0,48.0,1.0
56.0,66.0,1.0
56.0,67.0,1.0
56.0,68.0,1.0
56.0,70.0,0.966667
56.0,71.0,1.0
56.0,72.0,1.966667
56.0,73.0,1.0
56.0,76.0,0.966667
56.0,95.0,0.188889
57.0,44.0,2.0
57.0,46.0,1.0
57.0,70.0,1.0
57.0,71.0,2.0
57.0,72.0,1.0
57.0,73.0,1.0
57.0,74.0,1.0
57.0,76.0,0.844444
57.0,82.0,1.0
57.0,85.0,1.0
57.0,94.0,0.966667
58.0,8.0,0.322222
58.0,16.0,0.411111
58.0,22.0,1.0
58.0,26.0,1.0
58.0,30.0,1.0
58.0,35.0,1.0
58.0,67.0,3.0
58.0,69.0,2.0
58.0,92.0,1.966667
58.0,95.0,0.266667
59.0,3.0,0.322222
59.0,11.0,1.0
59.0,27.0,1.0
59.0,31.0,3.0
59.0,33.0,1.0
59.0,50.0,1.0
59.0,54.0,1.0
59.0,59.0,1.0
59.0,63.0,1.0
59.0,64.0,1.0
59.0,71.0,1.0
59.0,72.0,1.0
59.0,74.0,1.0
59.0,75.0,1.0
59.0,76.0,3.0
59.0,77.0,3.0
59.0,86.0,1.966667
59.0,87.0,0.322222
59.0,88.0,0.133333
59.0,91.0,1.0
59.0,93.0,1.844444
59.0,94.0,1.0
59.0,96.0,1.0
60.0,7.0,2.0
60.0,15.0,0.133333
60.0,18.0,2.0
60.0,24.0,1.0
60.0,25.0,0.322222
60.0,28.0,0.5
60.0,29.0,0.188889
60.0,59.0,1.0
60.0,60.0,1.0
60.0,63.0,1.0
60.0,68.0,0.966667
60.0,73.0,1.0
60.0,78.0,1.0
60.0,84.0,1.0
60.0,85.0,1.0
60.0,95.0,1.0
61.0,5.0,1.0
61.0,11.0,1.322222
61.0,12.0,1.0
61.0,15.0,1.0
61.0,21.0,0.5
61.0,29.0,1.0
61.0,32.0,0.244444
61.0,37.0,1.5
61.0,43.0,0.488889
61.0,58.0,1.0
61.0,59.0,1.0
61.0,61.0,1.0
61.0,62.0,0.966667
61.0,65.0,1.0
61.0,67.0,1.0
61.0,68.0,1.0
