x,y,value
2.0,69.0,0.3
2.0,70.0,0.655556
4.0,28.0,0.7
5.0,28.0,0.7
5.0,69.0,1.311111
8.0,55.0,0.655556
9.0,58.0,0.3
10.0,55.0,1.655556
10.0,93.0,0.6
11.0,79.0,0.355556
11.0,85.0,0.355556
11.0,96.0,0.3
12.0,55.0,0.622222
12.0,76.0,0.222222
12.0,82.0,0.655556
13.0,54.0,0.622222
13.0,69.0,0.355556
13.0,70.0,0.655556
13.0,81.0,0.655556
13.0,84.0,0.655556
14.0,45.0,0.133333
14.0,79.0,0.655556
14.0,84.0,0.655556
15.0,6.0,0.133333
15.0,45.0,0.9
15.0,56.0,0.655556
15.0,79.0,0.9
17.0,59.0,0.633333
18.0,50.0,0.333333
18.0,64.0,0.9
19.0,27.0,1.8
19.0,44.0,0.655556
20.0,40.0,0.7
20.0,58.0,0.833333
20.0,60.0,1.266667
20.0,63.0,0.222222
20.0,69.0,0.9
20.0,75.0,0.3
20.0,80.0,0.355556
20.0,96.0,0.222222
21.0,44.0,1.0
21.0,77.0,0.622222
22.0,67.0,0.7
22.0,76.0,1.288889
22.0,81.0,0.355556
22.0,88.0,0.655556
23.0,38.0,0.655556
24.0,58.0,0.9
24.0,59.0,1.0
24.0,76.0,0.655556
25.0,29.0,0.488889
25.0,58.0,0.222222
25.0,64.0,0.655556
25.0,65.0,0.488889
25.0,68.0,0.222222
25.0,93.0,0.222222
25.0,95.0,0.655556
26.0,32.0,2.0
26.0,43.0,0.655556
26.0,65.0,0.833333
26.0,73.0,0.833333
26.0,90.0,0.222222
27.0,28.0,0.622222
27.0,44.0,0.655556
27.0,50.0,0.9
27.0,53.0,0.644444
27.0,58.0,0.655556
27.0,60.0,1.0
27.0,71.0,0.655556
27.0,78.0,0.622222
28.0,28.0,0.655556
28.0,29.0,0.622222
28.0,61.0,0.655556
28.0,66.0,0.7
28.0,74.0,0.655556
28.0,78.0,0.355556
28.0,87.0,0.355556
29.0,4.0,0.133333
29.0,35.0,0.622222
29.0,46.0,0.133333
29.0,54.0,0.644444
29.0,57.0,0.833333
29.0,62.0,0.655556
29.0,72.0,0.655556
29.0,74.0,0.655556
30.0,49.0,0.655556
30.0,55.0,0.655556
30.0,68.0,0.333333
30.0,79.0,0.694444
30.0,81.0,0.655556
