x,y,value
1.0,83.0,1.0
2.0,16.0,1.0
2.0,28.0,1.0
2.0,87.0,1.0
2.0,95.0,1.0
3.0,56.0,1.0
3.0,57.0,0.655556
4.0,17.0,1.0
4.0,32.0,1.0
4.0,40.0,1.0
4.0,46.0,0.988889
4.0,71.0,0.988889
4.0,95.0,1.5
5.0,9.0,1.0
5.0,60.0,1.0
5.0,85.0,1.0
5.0,88.0,1.0
6.0,24.0,1.0
6.0,37.0,1.0
6.0,57.0,1.0
6.0,74.0,0.988889
6.0,87.0,1.588889
7.0,10.0,1.0
7.0,27.0,1.0
7.0,29.0,1.0
7.0,73.0,1.0
8.0,12.0,1.0
8.0,15.0,1.0
8.0,30.0,1.0
8.0,49.0,0.7
8.0,53.0,1.0
8.0,58.0,0.855556
8.0,62.0,1.0
8.0,71.0,2.0
8.0,86.0,0.588889
9.0,13.0,1.0
9.0,35.0,2.0
9.0,40.0,0.588889
9.0,45.0,0.966667
9.0,48.0,1.0
9.0,51.0,0.777778
9.0,56.0,0.777778
9.0,67.0,1.0
10.0,3.0,0.777778
10.0,8.0,1.0
10.0,35.0,0.955556
10.0,41.0,0.655556
10.0,57.0,0.655556
10.0,63.0,0.966667
10.0,74.0,0.777778
10.0,93.0,1.0
11.0,35.0,0.733333
11.0,55.0,1.0
11.0,60.0,0.166667
11.0,63.0,1.0
11.0,68.0,1.0
11.0,84.0,1.0
12.0,37.0,0.7
12.0,43.0,2.0
12.0,47.0,0.855556
12.0,51.0,1.0
12.0,52.0,1.488889
12.0,53.0,0.988889
12.0,57.0,2.0
12.0,65.0,1.988889
12.0,66.0,0.744444
12.0,91.0,0.166667
13.0,12.0,1.0
13.0,18.0,1.0
13.0,25.0,1.0
13.0,26.0,1.0
13.0,31.0,1.966667
13.0,46.0,1.644444
13.0,48.0,0.655556
13.0,66.0,0.655556
13.0,67.0,0.733333
13.0,68.0,1.0
13.0,73.0,1.311111
13.0,82.0,1.0
13.0,87.0,1.0
13.0,88.0,0.655556
13.0,93.0,1.0
14.0,32.0,1.0
14.0,34.0,1.0
14.0,36.0,1.0
14.0,41.0,1.0
14.0,43.0,0.988889
14.0,50.0,0.777778
14.0,62.0,1.0
14.0,69.0,0.5
14.0,70.0,0.966667
14.0,71.0,2.0
15.0,26.0,1.0
15.0,40.0,1.0
15.0,45.0,1.0
15.0,67.0,0.744444
15.0,73.0,0.988889
15.0,85.0,1.0
15.0,90.0,1.0
15.0,94.0,1.0
17.0,4.0,1.0
17.0,22.0,1.0
17.0,38.0,1.0
17.0,57.0,1.0
17.0,61.0,1.0
17.0,79.0,0.588889
18.0,9.0,0.988889
18.0,17.0,1.0
18.0,23.0,0.855556
18.0,43.0,1.0
18.0,48.0,1.0
18.0,51.0,1.844444
18.0,52.0,1.0
18.0,65.0,1.0
18.0,66.0,0.744444
18.0,87.0,1.0
18.0,88.0,0.588889
18.0,92.0,0.166667
19.0,2.0,1.0
19.0,3.0,1.0
19.0,47.0,0.988889
19.0,62.0,0.955556
19.0,65.0,0.933333
19.0,68.0,1.0
19.0,70.0,1.0
19.0,72.0,1.0
19.0,89.0,0.988889
20.0,0.0,1.0
20.0,1.0,1.0
20.0,25.0,2.0
20.0,44.0,1.0
20.0,63.0,1.977778
20.0,69.0,1.0
20.0,78.0,0.588889
21.0,13.0,1.0
21.0,20.0,1.0
21.0,21.0,1.0
21.0,27.0,0.5
21.0,31.0,1.0
21.0,34.0,1.0
21.0,39.0,0.7
21.0,45.0,0.166667
21.0,63.0,1.0
22.0,29.0,0.744444
22.0,35.0,0.955556
22.0,66.0,1.0
22.0,67.0,0.988889
22.0,69.0,3.866667
22.0,76.0,0.777778
22.0,84.0,0.588889
22.0,86.0,1.0
22.0,89.0,0.588889
22.0,92.0,0.933333
23.0,9.0,1.0
23.0,11.0,1.0
23.0,19.0,1.0
23.0,22.0,1.0
23.0,28.0,1.0
23.0,31.0,1.0
23.0,36.0,0.955556
23.0,39.0,0.744444
23.0,40.0,1.0
23.0,47.0,1.0
23.0,58.0,1.0
23.0,64.0,1.0
23.0,66.0,1.0
23.0,67.0,0.988889
23.0,75.0,0.588889
23.0,82.0,0.588889
23.0,87.0,1.0
24.0,16.0,1.0
24.0,27.0,1.733333
24.0,30.0,1.0
24.0,34.0,0.988889
24.0,35.0,1.744444
24.0,36.0,1.0
24.0,37.0,1.0
24.0,43.0,2.0
24.0,45.0,1.0
24.0,49.0,1.0
24.0,51.0,0.744444
24.0,52.0,0.588889
24.0,55.0,1.0
24.0,56.0,1.0
24.0,57.0,0.855556
24.0,66.0,0.777778
24.0,76.0,1.0
24.0,79.0,1.988889
24.0,80.0,1.0
24.0,90.0,1.0
25.0,3.0,1.0
25.0,8.0,0.655556
25.0,15.0,1.0
25.0,20.0,0.655556
25.0,24.0,0.655556
25.0,29.0,1.0
25.0,31.0,1.0
25.0,32.0,0.655556
25.0,35.0,1.0
25.0,36.0,1.0
25.0,46.0,1.0
25.0,51.0,0.988889
25.0,60.0,1.0
25.0,63.0,1.0
25.0,66.0,1.0
25.0,67.0,0.988889
25.0,81.0,0.733333
25.0,91.0,1.322222
26.0,5.0,0.855556
26.0,8.0,1.0
26.0,10.0,0.966667
26.0,11.0,1.0
26.0,12.0,0.988889
26.0,16.0,1.0
26.0,22.0,1.977778
26.0,23.0,1.0
26.0,30.0,0.655556
26.0,34.0,1.0
26.0,36.0,1.988889
26.0,37.0,1.0
26.0,38.0,0.933333
26.0,46.0,2.0
26.0,47.0,1.933333
26.0,51.0,1.744444
26.0,55.0,2.966667
26.0,58.0,0.744444
26.0,59.0,1.0
26.0,62.0,1.0
26.0,64.0,1.0
26.0,70.0,1.0
26.0,82.0,0.655556
26.0,86.0,0.988889
27.0,2.0,1.0
27.0,4.0,1.0
27.0,7.0,0.988889
27.0,8.0,1.0
27.0,10.0,1.0
27.0,13.0,2.844444
27.0,14.0,1.0
27.0,23.0,0.777778
27.0,34.0,1.866667
27.0,37.0,1.0
27.0,40.0,1.0
27.0,46.0,1.933333
27.0,47.0,1.0
27.0,54.0,1.0
27.0,65.0,2.0
27.0,70.0,0.7
27.0,71.0,1.0
27.0,72.0,0.855556
27.0,77.0,0.5
27.0,86.0,1.855556
27.0,90.0,1.0
28.0,8.0,2.0
28.0,12.0,1.0
28.0,19.0,1.0
28.0,21.0,0.655556
28.0,22.0,1.0
28.0,27.0,0.855556
28.0,29.0,1.0
28.0,32.0,2.4
28.0,34.0,0.955556
28.0,39.0,0.166667
28.0,40.0,0.855556
28.0,42.0,1.655556
28.0,44.0,1.966667
28.0,46.0,1.0
28.0,48.0,1.0
28.0,49.0,1.0
28.0,50.0,1.0
28.0,51.0,0.7
28.0,54.0,1.933333
28.0,59.0,0.655556
28.0,63.0,2.555556
28.0,64.0,0.855556
28.0,65.0,1.855556
28.0,68.0,2.0
28.0,69.0,1.0
28.0,72.0,1.0
28.0,73.0,0.7
28.0,77.0,0.744444
28.0,86.0,0.744444
28.0,87.0,1.0
29.0,2.0,0.955556
29.0,5.0,0.988889
29.0,7.0,1.0
29.0,9.0,1.0
29.0,12.0,1.5
29.0,14.0,1.0
29.0,19.0,1.0
29.0,21.0,1.0
29.0,23.0,1.0
29.0,25.0,1.0
29.0,27.0,0.5
29.0,34.0,0.966667
29.0,36.0,1.0
29.0,37.0,0.655556
29.0,39.0,1.0
29.0,41.0,0.988889
29.0,43.0,0.933333
29.0,48.0,0.933333
29.0,49.0,1.966667
29.0,50.0,1.0
29.0,62.0,1.0
29.0,66.0,1.988889
29.0,74.0,1.0
29.0,78.0,1.0
29.0,82.0,1.0
29.0,86.0,1.0
29.0,87.0,1.0
29.0,93.0,0.744444
30.0,2.0,1.0
30.0,3.0,0.855556
30.0,4.0,0.988889
30.0,8.0,1.0
30.0,9.0,1.0
30.0,20.0,0.855556
30.0,22.0,0.777778
30.0,23.0,1.0
30.0,24.0,1.0
30.0,26.0,1.0
30.0,28.0,0.655556
30.0,29.0,1.0
30.0,30.0,2.0
30.0,39.0,0.933333
30.0,40.0,0.955556
30.0,44.0,0.744444
30.0,46.0,1.855556
30.0,47.0,2.933333
30.0,48.0,0.322222
30.0,50.0,1.0
30.0,54.0,1.0
30.0,57.0,1.0
30.0,58.0,0.166667
30.0,60.0,2.933333
30.0,65.0,1.0
30.0,66.0,1.0
30.0,68.0,1.855556
30.0,69.0,2.966667
30.0,70.0,1.0
30.0,76.0,1.0
30.0,83.0,1.0
30.0,85.0,1.0
30.0,94.0,1.0
30.0,96.0,2.0
31.0,4.0,1.0
31.0,14.0,1.0
31.0,31.0,1.0
31.0,32.0,0.777778
31.0,38.0,1.0
31.0,39.0,1.0
31.0,42.0,0.733333
31.0,43.0,0.966667
31.0,44.0,1.0
31.0,47.0,0.855556
31.0,48.0,1.0
31.0,52.0,0.777778
31.0,54.0,0.166667
31.0,58.0,1.7
31.0,60.0,0.855556
31.0,63.0,0.855556
31.0,64.0,1.0
31.0,65.0,0.7
31.0,68.0,0.777778
31.0,70.0,1.588889
31.0,71.0,2.0
31.0,73.0,1.0
31.0,75.0,1.0
31.0,78.0,0.7
31.0,80.0,0.966667
31.0,85.0,1.0
31.0,87.0,2.588889
31.0,95.0,1.0
32.0,3.0,1.0
32.0,4.0,0.655556
32.0,5.0,1.966667
32.0,7.0,0.966667
32.0,9.0,0.955556
32.0,19.0,1.0
32.0,20.0,1.7
32.0,22.0,0.733333
32.0,27.0,1.0
32.0,32.0,0.955556
32.0,35.0,1.988889
32.0,37.0,0.7
32.0,38.0,1.0
32.0,39.0,0.7
32.0,42.0,1.0
32.0,43.0,1.0
32.0,44.0,0.855556
32.0,54.0,1.0
32.0,55.0,1.0
32.0,60.0,1.522222
32.0,62.0,2.0
32.0,64.0,1.0
32.0,65.0,1.0
32.0,66.0,1.0
32.0,68.0,1.0
32.0,69.0,1.0
32.0,78.0,1.0
32.0,80.0,1.5
32.0,82.0,0.933333
32.0,84.0,1.933333
32.0,87.0,1.0
32.0,88.0,1.0
32.0,91.0,1.0
32.0,92.0,1.0
33.0,5.0,1.0
33.0,7.0,1.0
33.0,8.0,0.966667
33.0,12.0,1.0
33.0,14.0,2.0
33.0,16.0,1.0
33.0,17.0,2.0
33.0,19.0,1.0
33.0,20.0,0.166667
33.0,23.0,0.733333
33.0,25.0,0.777778
33.0,28.0,1.0
33.0,29.0,0.988889
33.0,30.0,1.0
33.0,31.0,1.0
33.0,32.0,1.0
33.0,34.0,1.0
33.0,36.0,1.955556
33.0,37.0,1.0
33.0,41.0,0.777778
33.0,42.0,0.988889
33.0,43.0,1.955556
33.0,44.0,1.0
33.0,47.0,1.0
33.0,50.0,0.7
33.0,51.0,1.0
33.0,54.0,2.0
33.0,55.0,0.988889
33.0,57.0,1.1
33.0,58.0,1.0
33.0,59.0,0.933333
33.0,61.0,1.0
33.0,62.0,0.5
33.0,66.0,0.855556
33.0,67.0,1.0
33.0,72.0,1.933333
33.0,73.0,1.0
33.0,74.0,1.655556
33.0,75.0,1.0
33.0,77.0,3.0
33.0,79.0,0.955556
33.0,82.0,1.0
33.0,86.0,1.0
33.0,87.0,0.855556
33.0,88.0,0.7
33.0,89.0,0.988889
33.0,91.0,0.588889
33.0,92.0,1.1
33.0,94.0,0.777778
34.0,4.0,0.955556
34.0,6.0,1.7
34.0,7.0,1.0
34.0,17.0,2.0
34.0,18.0,0.966667
34.0,21.0,1.0
34.0,22.0,1.0
34.0,24.0,2.0
34.0,25.0,1.0
34.0,26.0,1.977778
34.0,28.0,0.955556
34.0,29.0,1.0
34.0,31.0,1.0
34.0,35.0,0.855556
34.0,37.0,0.988889
34.0,41.0,1.0
34.0,42.0,1.0
34.0,43.0,1.0
34.0,45.0,1.0
34.0,47.0,1.0
34.0,49.0,1.0
34.0,50.0,1.0
34.0,51.0,1.0
34.0,54.0,1.0
34.0,56.0,1.855556
34.0,63.0,1.0
34.0,66.0,1.711111
34.0,69.0,0.322222
34.0,71.0,0.955556
34.0,74.0,0.933333
34.0,75.0,2.0
34.0,81.0,2.0
34.0,85.0,1.0
34.0,88.0,1.0
34.0,90.0,1.0
35.0,4.0,1.0
35.0,6.0,1.0
35.0,11.0,1.0
35.0,12.0,1.0
35.0,14.0,1.855556
35.0,18.0,0.855556
35.0,22.0,1.0
35.0,27.0,0.166667
35.0,28.0,1.0
35.0,29.0,1.0
35.0,32.0,3.0
35.0,33.0,1.922222
35.0,36.0,1.0
35.0,37.0,0.933333
35.0,38.0,1.988889
35.0,41.0,1.0
35.0,42.0,0.933333
35.0,49.0,1.688889
35.0,50.0,0.7
35.0,52.0,0.966667
35.0,53.0,0.777778
35.0,54.0,1.733333
35.0,55.0,1.0
35.0,56.0,1.0
35.0,58.0,1.711111
35.0,60.0,0.955556
35.0,63.0,1.0
35.0,64.0,1.0
35.0,65.0,1.0
35.0,66.0,1.0
35.0,69.0,1.0
35.0,71.0,0.988889
35.0,75.0,1.0
35.0,76.0,2.0
35.0,92.0,1.855556
36.0,9.0,0.988889
36.0,12.0,1.0
36.0,19.0,1.855556
36.0,20.0,1.0
36.0,21.0,0.05
36.0,30.0,3.711111
36.0,31.0,0.955556
36.0,33.0,1.588889
36.0,34.0,1.0
36.0,35.0,1.0
36.0,51.0,1.0
36.0,52.0,2.0
36.0,53.0,1.777778
36.0,55.0,0.855556
36.0,56.0,0.733333
36.0,62.0,0.933333
36.0,64.0,1.966667
36.0,66.0,1.855556
36.0,67.0,1.0
36.0,70.0,1.0
36.0,71.0,1.0
36.0,72.0,2.0
36.0,73.0,1.0
36.0,74.0,1.0
36.0,76.0,0.7
36.0,84.0,0.166667
36.0,85.0,1.0
36.0,86.0,1.0
36.0,88.0,0.855556
37.0,7.0,2.466667
37.0,8.0,2.0
37.0,14.0,0.744444
37.0,15.0,1.0
37.0,18.0,0.7
37.0,23.0,1.0
37.0,25.0,1.0
37.0,26.0,0.988889
37.0,27.0,1.0
37.0,31.0,0.966667
37.0,32.0,0.933333
37.0,33.0,1.177778
37.0,35.0,1.788889
37.0,36.0,1.0
37.0,37.0,0.933333
37.0,40.0,1.0
37.0,42.0,0.733333
37.0,49.0,1.955556
37.0,50.0,2.933333
37.0,51.0,2.522222
37.0,54.0,0.988889
37.0,58.0,1.0
37.0,60.0,0.933333
37.0,61.0,0.655556
37.0,66.0,1.0
37.0,67.0,1.0
37.0,68.0,1.0
37.0,77.0,1.0
37.0,78.0,1.0
37.0,79.0,2.0
37.0,80.0,1.0
37.0,81.0,0.7
37.0,85.0,1.977778
37.0,89.0,1.0
37.0,92.0,1.0
37.0,95.0,1.0
38.0,0.0,1.0
38.0,2.0,1.0
38.0,11.0,1.0
38.0,12.0,0.966667
38.0,15.0,1.0
38.0,16.0,1.655556
38.0,17.0,0.733333
38.0,19.0,0.988889
38.0,20.0,1.0
38.0,24.0,2.511111
38.0,25.0,2.0
38.0,28.0,1.0
38.0,31.0,0.744444
38.0,32.0,1.0
38.0,33.0,1.788889
38.0,35.0,1.0
38.0,36.0,1.0
38.0,38.0,1.866667
38.0,45.0,0.5
38.0,49.0,0.988889
38.0,52.0,1.0
38.0,53.0,1.0
38.0,58.0,1.0
38.0,60.0,1.0
38.0,62.0,0.855556
38.0,64.0,0.988889
38.0,70.0,1.0
38.0,82.0,0.988889
38.0,85.0,0.855556
38.0,86.0,0.966667
38.0,91.0,0.644444
38.0,93.0,1.0
39.0,2.0,1.0
39.0,7.0,1.0
39.0,15.0,1.0
39.0,17.0,2.0
39.0,25.0,1.777778
39.0,26.0,1.0
39.0,27.0,0.955556
39.0,28.0,1.0
39.0,31.0,2.0
39.0,34.0,0.966667
39.0,35.0,2.0
39.0,42.0,0.855556
39.0,46.0,1.0
39.0,48.0,1.0
39.0,49.0,1.0
39.0,61.0,0.855556
39.0,64.0,2.0
39.0,66.0,2.0
39.0,67.0,0.777778
39.0,68.0,1.0
39.0,69.0,3.855556
39.0,70.0,1.7
39.0,71.0,1.988889
39.0,78.0,0.933333
39.0,79.0,1.0
39.0,82.0,1.0
39.0,84.0,2.0
40.0,5.0,0.988889
40.0,6.0,1.0
40.0,12.0,0.955556
40.0,15.0,1.0
40.0,16.0,1.0
40.0,22.0,0.966667
40.0,25.0,2.855556
40.0,27.0,1.0
40.0,31.0,1.0
40.0,32.0,1.0
40.0,37.0,1.5
40.0,42.0,1.0
40.0,49.0,0.7
40.0,57.0,0.855556
40.0,60.0,1.0
40.0,64.0,1.855556
40.0,65.0,1.0
40.0,66.0,1.855556
40.0,67.0,0.955556
40.0,68.0,0.744444
40.0,69.0,1.0
40.0,75.0,1.744444
40.0,76.0,1.0
40.0,77.0,0.933333
40.0,79.0,0.933333
40.0,86.0,0.855556
40.0,87.0,1.0
40.0,94.0,0.588889
40.0,95.0,0.655556
40.0,97.0,0.5
41.0,7.0,2.0
41.0,10.0,0.966667
41.0,16.0,0.933333
41.0,17.0,0.966667
41.0,22.0,1.0
41.0,23.0,0.5
41.0,30.0,0.933333
41.0,31.0,2.933333
41.0,32.0,2.0
41.0,36.0,1.0
41.0,44.0,1.0
41.0,56.0,0.588889
41.0,59.0,1.777778
41.0,61.0,2.755556
41.0,64.0,0.744444
41.0,66.0,1.0
41.0,69.0,0.988889
41.0,70.0,1.0
41.0,77.0,0.588889
41.0,82.0,0.322222
41.0,84.0,1.0
42.0,6.0,0.5
42.0,9.0,1.0
42.0,14.0,1.0
42.0,16.0,1.0
42.0,18.0,1.0
42.0,25.0,1.0
42.0,26.0,2.0
42.0,28.0,1.0
42.0,29.0,2.711111
42.0,30.0,1.5
42.0,34.0,1.0
42.0,35.0,1.655556
42.0,36.0,0.933333
42.0,40.0,1.0
42.0,41.0,0.855556
42.0,44.0,0.966667
42.0,50.0,0.966667
42.0,58.0,1.0
42.0,59.0,1.0
42.0,60.0,2.988889
42.0,62.0,1.0
42.0,63.0,0.5
42.0,65.0,1.0
42.0,68.0,0.733333
42.0,69.0,0.777778
42.0,74.0,0.955556
42.0,76.0,1.0
42.0,78.0,1.0
42.0,83.0,1.0
42.0,87.0,0.988889
43.0,4.0,1.0
43.0,6.0,1.0
43.0,7.0,2.0
43.0,8.0,1.866667
43.0,16.0,1.0
43.0,19.0,0.855556
43.0,23.0,1.0
43.0,24.0,1.0
43.0,26.0,1.655556
43.0,27.0,0.322222
43.0,28.0,0.855556
43.0,29.0,0.322222
43.0,44.0,2.0
43.0,47.0,0.322222
43.0,49.0,0.322222
43.0,50.0,1.0
43.0,51.0,0.5
43.0,55.0,1.0
43.0,57.0,0.933333
43.0,66.0,1.777778
43.0,67.0,1.0
43.0,71.0,1.5
43.0,81.0,1.5
44.0,1.0,0.7
44.0,3.0,1.0
44.0,4.0,1.5
44.0,10.0,1.0
44.0,11.0,0.744444
44.0,12.0,0.855556
44.0,13.0,0.855556
44.0,14.0,1.7
44.0,15.0,1.0
44.0,22.0,0.855556
44.0,28.0,0.5
44.0,34.0,1.966667
44.0,36.0,2.244444
44.0,41.0,1.0
44.0,43.0,0.955556
44.0,45.0,0.733333
44.0,47.0,0.988889
44.0,48.0,1.0
44.0,49.0,1.0
44.0,52.0,2.0
44.0,55.0,0.955556
44.0,58.0,1.0
44.0,62.0,1.0
44.0,66.0,1.5
44.0,68.0,0.733333
44.0,69.0,1.0
44.0,75.0,1.7
44.0,76.0,1.0
44.0,83.0,1.0
45.0,9.0,0.322222
45.0,10.0,0.933333
45.0,11.0,0.5
45.0,16.0,0.966667
45.0,19.0,1.0
45.0,21.0,1.0
45.0,22.0,0.322222
45.0,29.0,1.7
45.0,30.0,2.0
45.0,31.0,0.933333
45.0,32.0,1.0
45.0,34.0,1.0
45.0,35.0,1.233333
45.0,38.0,1.788889
45.0,42.0,1.0
45.0,44.0,1.0
45.0,45.0,1.0
45.0,46.0,1.4
