x,y,value
0.0,24.0,1.0
2.0,76.0,0.155556
3.0,2.0,1.0
4.0,5.0,1.0
6.0,95.0,0.577778
8.0,96.0,0.288889
10.0,88.0,0.933333
11.0,57.0,0.288889
12.0,61.0,0.288889
12.0,89.0,0.111111
13.0,9.0,0.944444
13.0,46.0,0.411111
13.0,47.0,0.944444
13.0,92.0,0.288889
13.0,94.0,0.933333
14.0,18.0,0.944444
14.0,40.0,0.411111
14.0,42.0,0.277778
14.0,95.0,0.933333
15.0,8.0,0.933333
15.0,45.0,1.0
15.0,51.0,0.288889
15.0,77.0,0.277778
16.0,6.0,0.411111
16.0,7.0,0.244444
16.0,92.0,0.05
18.0,46.0,0.188889
18.0,82.0,0.933333
19.0,29.0,0.377778
19.0,68.0,1.0
19.0,91.0,0.377778
20.0,11.0,0.244444
20.0,81.0,0.277778
20.0,86.0,0.277778
20.0,92.0,0.277778
21.0,6.0,0.933333
21.0,11.0,0.244444
21.0,59.0,0.133333
21.0,75.0,0.144444
21.0,85.0,0.144444
21.0,86.0,2.0
23.0,6.0,0.411111
23.0,7.0,0.411111
23.0,21.0,0.688889
24.0,11.0,0.244444
24.0,34.0,0.188889
25.0,6.0,0.411111
25.0,29.0,0.188889
25.0,43.0,0.277778
26.0,33.0,2.0
26.0,47.0,0.277778
26.0,89.0,0.377778
27.0,21.0,0.944444
29.0,4.0,0.411111
29.0,77.0,1.0
29.0,95.0,1.0
29.0,96.0,1.133333
30.0,14.0,0.188889
30.0,18.0,0.188889
31.0,5.0,0.188889
31.0,7.0,0.155556
31.0,28.0,0.088889
31.0,40.0,0.277778
31.0,53.0,0.288889
31.0,57.0,0.133333
31.0,71.0,0.933333
31.0,81.0,0.566667
32.0,3.0,0.411111
32.0,76.0,1.144444
32.0,87.0,0.377778
33.0,72.0,0.144444
33.0,86.0,1.133333
33.0,96.0,1.0
34.0,6.0,0.933333
34.0,8.0,0.188889
34.0,11.0,0.411111
34.0,26.0,0.944444
34.0,57.0,0.133333
34.0,73.0,0.577778
34.0,84.0,0.133333
34.0,96.0,0.288889
34.0,97.0,1.0
35.0,64.0,0.155556
35.0,77.0,0.944444
35.0,91.0,1.0
35.0,97.0,2.0
36.0,4.0,1.0
36.0,11.0,1.0
36.0,60.0,0.155556
36.0,80.0,0.566667
37.0,13.0,0.255556
37.0,28.0,0.377778
37.0,81.0,0.566667
37.0,86.0,0.933333
38.0,4.0,1.0
38.0,13.0,1.0
38.0,26.0,1.0
38.0,94.0,0.377778
39.0,31.0,0.377778
39.0,52.0,0.133333
39.0,87.0,0.144444
39.0,91.0,1.0
40.0,8.0,0.155556
40.0,22.0,1.0
40.0,64.0,2.0
41.0,3.0,1.0
41.0,8.0,1.0
41.0,11.0,1.0
41.0,24.0,0.688889
41.0,27.0,1.0
41.0,29.0,0.244444
41.0,75.0,0.944444
41.0,80.0,0.722222
41.0,91.0,1.0
41.0,92.0,0.933333
41.0,94.0,1.0
42.0,4.0,0.6
42.0,7.0,0.411111
42.0,96.0,0.566667
43.0,15.0,0.144444
43.0,16.0,0.933333
43.0,19.0,0.944444
43.0,85.0,0.933333
44.0,8.0,0.411111
44.0,26.0,0.277778
44.0,30.0,0.555556
44.0,88.0,1.0
44.0,96.0,0.933333
45.0,3.0,1.0
45.0,8.0,0.411111
45.0,48.0,0.255556
45.0,94.0,0.244444
45.0,96.0,0.944444
46.0,3.0,0.088889
46.0,11.0,0.688889
46.0,41.0,0.255556
46.0,100.0,0.944444
47.0,4.0,0.411111
47.0,34.0,0.933333
47.0,80.0,1.0
47.0,90.0,0.944444
48.0,63.0,1.0
48.0,76.0,0.566667
48.0,88.0,0.944444
50.0,50.0,1.0
50.0,84.0,1.0
51.0,94.0,1.0
52.0,0.0,0.155556
52.0,7.0,1.0
52.0,43.0,0.411111
53.0,9.0,0.688889
53.0,18.0,1.0
53.0,69.0,1.0
53.0,72.0,0.144444
54.0,6.0,1.0
54.0,10.0,1.0
54.0,16.0,0.377778
54.0,67.0,0.133333
55.0,4.0,0.688889
55.0,11.0,1.0
55.0,69.0,0.133333
55.0,72.0,0.144444
55.0,91.0,1.111111
55.0,93.0,0.288889
56.0,4.0,0.411111
56.0,9.0,0.188889
56.0,15.0,0.944444
56.0,20.0,1.0
56.0,30.0,0.255556
56.0,46.0,0.188889
56.0,78.0,0.377778
56.0,87.0,0.566667
56.0,91.0,0.933333
56.0,96.0,1.0
57.0,7.0,0.944444
57.0,9.0,0.188889
57.0,33.0,0.411111
58.0,5.0,0.944444
58.0,9.0,1.888889
58.0,95.0,1.0
58.0,96.0,0.566667
59.0,5.0,1.1
