x,y,value
0.0,22.0,0.855556
3.0,33.0,0.777778
3.0,47.0,0.844444
4.0,40.0,0.844444
4.0,42.0,1.0
4.0,48.0,1.311111
5.0,48.0,1.0
6.0,8.0,0.855556
6.0,39.0,0.266667
7.0,52.0,1.555556
8.0,35.0,0.777778
8.0,47.0,0.811111
8.0,59.0,0.855556
9.0,50.0,0.777778
9.0,58.0,0.966667
9.0,61.0,0.844444
9.0,68.0,0.866667
10.0,39.0,0.655556
10.0,43.0,1.0
10.0,50.0,0.866667
10.0,51.0,1.0
11.0,33.0,1.0
11.0,49.0,0.633333
11.0,62.0,0.9
12.0,52.0,0.966667
13.0,17.0,1.711111
14.0,33.0,1.0
14.0,43.0,0.666667
14.0,50.0,0.777778
15.0,25.0,1.0
16.0,82.0,1.0
18.0,53.0,0.811111
19.0,41.0,0.755556
19.0,48.0,0.966667
19.0,50.0,0.777778
20.0,61.0,1.0
22.0,3.0,0.866667
22.0,63.0,0.666667
22.0,64.0,0.855556
23.0,23.0,0.855556
23.0,39.0,0.444444
23.0,54.0,0.388889
24.0,32.0,0.777778
24.0,59.0,0.711111
24.0,70.0,0.855556
25.0,30.0,0.311111
25.0,92.0,1.0
26.0,19.0,0.222222
26.0,57.0,0.222222
27.0,33.0,0.855556
27.0,38.0,0.844444
27.0,49.0,1.0
27.0,53.0,0.777778
27.0,62.0,1.0
27.0,78.0,0.844444
27.0,84.0,0.844444
27.0,91.0,0.933333
28.0,7.0,0.844444
28.0,34.0,0.855556
28.0,42.0,0.666667
28.0,88.0,1.0
29.0,20.0,0.966667
29.0,27.0,1.0
29.0,87.0,1.711111
29.0,92.0,0.844444
30.0,22.0,0.966667
30.0,45.0,0.111111
30.0,73.0,0.633333
30.0,88.0,0.933333
31.0,47.0,0.733333
31.0,49.0,1.7
31.0,59.0,0.633333
31.0,71.0,0.5
31.0,80.0,0.444444
31.0,90.0,0.777778
32.0,22.0,1.0
32.0,35.0,1.8
32.0,57.0,0.733333
32.0,59.0,0.733333
32.0,70.0,0.755556
32.0,80.0,0.811111
33.0,16.0,0.666667
33.0,27.0,1.844444
33.0,39.0,0.966667
33.0,55.0,0.733333
33.0,57.0,0.711111
33.0,65.0,1.0
33.0,70.0,0.5
33.0,94.0,0.866667
33.0,96.0,0.755556
34.0,17.0,0.777778
34.0,27.0,0.733333
34.0,62.0,0.633333
34.0,63.0,0.5
34.0,69.0,0.5
34.0,91.0,0.844444
34.0,93.0,0.755556
34.0,94.0,0.933333
34.0,95.0,0.855556
34.0,96.0,0.966667
35.0,22.0,1.0
35.0,50.0,0.166667
35.0,61.0,0.855556
35.0,67.0,0.855556
35.0,77.0,0.811111
35.0,79.0,0.988889
35.0,89.0,0.844444
35.0,96.0,0.966667
36.0,9.0,0.766667
36.0,28.0,0.166667
36.0,35.0,1.0
36.0,51.0,0.388889
36.0,62.0,0.966667
36.0,78.0,0.855556
36.0,81.0,0.755556
36.0,88.0,0.855556
36.0,89.0,0.855556
36.0,90.0,0.855556
36.0,95.0,1.266667
37.0,5.0,0.844444
37.0,29.0,1.688889
37.0,53.0,0.855556
37.0,56.0,1.0
37.0,65.0,0.755556
37.0,75.0,0.988889
37.0,76.0,0.855556
38.0,6.0,0.855556
38.0,10.0,0.844444
38.0,16.0,0.933333
38.0,22.0,0.711111
38.0,25.0,0.777778
38.0,33.0,0.666667
38.0,50.0,0.966667
38.0,61.0,0.933333
38.0,62.0,1.0
38.0,63.0,0.966667
38.0,64.0,2.733333
38.0,68.0,1.0
38.0,72.0,0.966667
39.0,7.0,0.666667
39.0,24.0,1.0
39.0,26.0,0.166667
39.0,53.0,1.0
39.0,60.0,1.0
39.0,64.0,1.555556
39.0,73.0,0.811111
39.0,81.0,0.744444
40.0,3.0,1.711111
40.0,13.0,0.755556
40.0,14.0,0.855556
40.0,16.0,0.844444
40.0,17.0,0.777778
40.0,65.0,1.0
40.0,67.0,1.0
40.0,78.0,0.866667
41.0,9.0,0.855556
41.0,11.0,0.844444
41.0,18.0,0.744444
41.0,57.0,1.977778
41.0,65.0,1.988889
41.0,66.0,1.0
41.0,67.0,0.988889
41.0,68.0,1.0
41.0,71.0,0.988889
41.0,77.0,0.844444
41.0,81.0,0.711111
41.0,83.0,0.855556
41.0,87.0,0.711111
41.0,91.0,1.0
41.0,92.0,0.533333
42.0,5.0,0.9
42.0,29.0,0.666667
42.0,45.0,0.966667
42.0,68.0,0.633333
42.0,74.0,0.966667
42.0,78.0,0.844444
42.0,94.0,0.666667
43.0,3.0,0.388889
43.0,4.0,0.933333
43.0,5.0,0.844444
43.0,11.0,0.755556
43.0,37.0,1.511111
43.0,65.0,1.622222
43.0,66.0,0.733333
43.0,67.0,0.988889
43.0,71.0,1.533333
43.0,74.0,1.866667
43.0,78.0,1.688889
43.0,80.0,1.0
43.0,81.0,0.988889
43.0,85.0,1.0
43.0,90.0,1.144444
43.0,94.0,1.0
44.0,29.0,0.9
44.0,31.0,0.988889
44.0,36.0,0.966667
44.0,48.0,1.0
44.0,50.0,0.755556
44.0,51.0,0.766667
44.0,65.0,0.855556
44.0,66.0,0.9
44.0,67.0,0.766667
44.0,70.0,0.855556
44.0,75.0,1.0
44.0,78.0,0.711111
44.0,87.0,0.755556
45.0,11.0,1.0
45.0,12.0,0.844444
45.0,13.0,0.222222
45.0,17.0,1.0
45.0,19.0,0.811111
45.0,27.0,0.666667
45.0,28.0,1.0
45.0,42.0,0.811111
45.0,52.0,1.0
45.0,73.0,0.811111
45.0,77.0,1.0
45.0,87.0,0.844444
46.0,7.0,0.744444
46.0,31.0,1.811111
46.0,55.0,1.622222
46.0,56.0,0.388889
46.0,57.0,1.688889
46.0,58.0,1.333333
46.0,62.0,0.766667
46.0,72.0,1.0
46.0,91.0,0.166667
46.0,93.0,1.933333
47.0,34.0,0.844444
47.0,63.0,0.711111
47.0,69.0,0.988889
47.0,70.0,0.388889
47.0,74.0,0.333333
47.0,77.0,0.744444
48.0,7.0,1.0
48.0,8.0,1.0
48.0,23.0,1.0
48.0,24.0,0.733333
48.0,39.0,0.811111
48.0,54.0,0.866667
48.0,55.0,0.777778
48.0,75.0,0.5
48.0,79.0,0.755556
48.0,82.0,0.311111
49.0,4.0,0.933333
49.0,16.0,0.966667
49.0,28.0,0.766667
49.0,46.0,0.766667
49.0,49.0,2.644444
49.0,50.0,5.133333
49.0,81.0,1.766667
50.0,7.0,1.0
50.0,23.0,0.966667
50.0,39.0,0.855556
50.0,49.0,8.366667
50.0,50.0,3.755556
50.0,54.0,1.0
50.0,71.0,0.866667
50.0,77.0,0.855556
51.0,2.0,0.266667
51.0,9.0,0.9
51.0,21.0,0.855556
51.0,42.0,0.766667
51.0,57.0,1.0
51.0,79.0,0.855556
52.0,3.0,1.0
52.0,13.0,0.966667
52.0,26.0,0.988889
52.0,56.0,0.755556
52.0,57.0,0.811111
52.0,63.0,0.855556
52.0,69.0,1.0
53.0,5.0,0.844444
53.0,13.0,0.966667
53.0,16.0,0.866667
53.0,22.0,0.777778
53.0,29.0,0.844444
53.0,40.0,1.0
53.0,49.0,0.9
53.0,51.0,0.866667
53.0,58.0,0.966667
53.0,72.0,1.0
53.0,87.0,0.9
54.0,5.0,0.811111
54.0,17.0,1.866667
54.0,21.0,1.0
54.0,27.0,0.744444
54.0,31.0,0.966667
54.0,33.0,1.9
54.0,43.0,0.3
54.0,47.0,0.9
54.0,59.0,0.933333
54.0,80.0,0.711111
55.0,13.0,0.933333
55.0,21.0,0.844444
55.0,23.0,0.666667
55.0,34.0,0.844444
55.0,42.0,0.755556
55.0,43.0,0.844444
55.0,46.0,1.2
55.0,48.0,0.755556
55.0,49.0,2.0
55.0,52.0,1.977778
55.0,55.0,0.844444
55.0,57.0,0.844444
55.0,58.0,0.844444
55.0,65.0,0.866667
55.0,74.0,0.855556
55.0,90.0,1.0
56.0,3.0,0.844444
56.0,19.0,0.655556
56.0,30.0,0.811111
56.0,31.0,0.844444
56.0,32.0,0.966667
56.0,42.0,0.811111
56.0,46.0,0.844444
56.0,48.0,0.966667
56.0,51.0,0.866667
56.0,69.0,0.9
56.0,78.0,0.655556
56.0,98.0,0.633333
57.0,8.0,0.866667
57.0,15.0,0.855556
57.0,20.0,0.5
57.0,21.0,1.733333
57.0,26.0,1.0
57.0,29.0,0.855556
57.0,31.0,1.0
57.0,32.0,0.855556
57.0,38.0,1.0
57.0,51.0,0.988889
57.0,64.0,0.855556
57.0,68.0,0.266667
57.0,71.0,0.988889
57.0,72.0,0.266667
57.0,73.0,0.933333
57.0,75.0,0.766667
57.0,77.0,1.011111
57.0,82.0,0.988889
57.0,84.0,1.0
58.0,5.0,0.988889
58.0,7.0,0.388889
58.0,9.0,0.988889
58.0,11.0,1.0
58.0,14.0,0.988889
58.0,19.0,1.0
58.0,21.0,0.733333
58.0,23.0,1.0
58.0,24.0,2.688889
58.0,25.0,0.633333
58.0,29.0,0.744444
58.0,58.0,0.811111
58.0,64.0,1.0
58.0,68.0,0.711111
58.0,74.0,1.155556
58.0,76.0,0.666667
58.0,77.0,1.711111
58.0,80.0,0.9
58.0,81.0,1.0
58.0,88.0,0.966667
59.0,6.0,0.388889
59.0,9.0,0.666667
59.0,17.0,0.9
59.0,20.0,0.777778
59.0,36.0,1.0
59.0,38.0,1.0
59.0,43.0,0.966667
59.0,51.0,0.966667
59.0,60.0,0.766667
59.0,64.0,1.0
59.0,65.0,0.844444
59.0,66.0,0.855556
59.0,71.0,0.744444
59.0,80.0,0.844444
59.0,89.0,1.244444
59.0,94.0,1.0
60.0,8.0,0.766667
60.0,9.0,0.388889
60.0,11.0,0.844444
60.0,17.0,0.744444
60.0,24.0,1.0
60.0,25.0,0.844444
60.0,29.0,0.533333
60.0,39.0,0.933333
60.0,43.0,1.0
60.0,50.0,1.577778
60.0,59.0,0.766667
60.0,79.0,0.855556
60.0,80.0,0.388889
60.0,83.0,0.855556
61.0,4.0,0.3
61.0,6.0,0.266667
61.0,16.0,0.811111
61.0,17.0,0.866667
61.0,18.0,0.844444
61.0,20.0,0.5
61.0,26.0,1.0
61.0,33.0,1.0
61.0,41.0,1.0
61.0,54.0,1.0
61.0,56.0,0.222222
61.0,57.0,0.988889
61.0,65.0,1.0
61.0,66.0,1.855556
61.0,69.0,0.966667
61.0,70.0,1.0
61.0,72.0,0.855556
61.0,74.0,0.844444
61.0,76.0,0.966667
61.0,77.0,1.755556
61.0,82.0,0.733333
61.0,83.0,0.988889
61.0,85.0,0.766667
61.0,89.0,0.811111
61.0,90.0,0.3
61.0,95.0,0.844444
61.0,98.0,0.311111
62.0,2.0,0.5
62.0,11.0,2.455556
62.0,13.0,0.3
62.0,15.0,0.855556
62.0,18.0,0.933333
62.0,19.0,1.0
62.0,35.0,0.811111
62.0,37.0,1.211111
62.0,38.0,0.655556
62.0,39.0,1.388889
62.0,41.0,0.766667
62.0,44.0,1.0
62.0,55.0,0.988889
62.0,57.0,0.766667
62.0,59.0,2.0
62.0,70.0,2.0
62.0,71.0,0.266667
62.0,72.0,0.988889
62.0,73.0,0.844444
62.0,74.0,0.744444
62.0,80.0,1.0
62.0,92.0,0.9
62.0,94.0,0.3
63.0,2.0,0.855556
63.0,7.0,0.9
63.0,11.0,1.0
63.0,14.0,0.866667
63.0,15.0,1.0
63.0,16.0,1.0
63.0,19.0,0.844444
63.0,23.0,1.0
63.0,29.0,0.844444
63.0,35.0,0.855556
63.0,41.0,0.966667
63.0,48.0,0.933333
63.0,67.0,0.966667
63.0,68.0,1.0
63.0,71.0,1.411111
63.0,74.0,0.988889
63.0,82.0,0.9
63.0,87.0,0.855556
63.0,93.0,0.755556
64.0,5.0,0.633333
64.0,16.0,0.855556
64.0,18.0,0.166667
64.0,19.0,0.866667
64.0,21.0,0.811111
64.0,22.0,0.655556
64.0,23.0,1.0
