x,y,value
1.0,14.0,1.0
1.0,15.0,1.0
1.0,43.0,1.0
1.0,54.0,1.0
1.0,79.0,1.0
2.0,14.0,1.0
2.0,17.0,1.0
2.0,46.0,1.0
2.0,47.0,1.0
2.0,54.0,1.0
2.0,68.0,2.0
3.0,9.0,2.0
3.0,24.0,2.0
3.0,38.0,1.0
3.0,46.0,1.0
3.0,53.0,1.0
3.0,70.0,1.0
4.0,12.0,1.0
4.0,17.0,1.0
4.0,29.0,1.0
4.0,30.0,1.0
4.0,33.0,2.0
4.0,35.0,2.0
4.0,38.0,3.0
4.0,39.0,5.0
4.0,40.0,3.0
4.0,41.0,1.0
4.0,42.0,1.0
4.0,45.0,2.0
4.0,57.0,1.0
4.0,83.0,1.0
4.0,90.0,1.0
5.0,11.0,1.0
5.0,14.0,1.0
5.0,25.0,1.0
5.0,26.0,1.0
5.0,33.0,1.0
5.0,37.0,7.0
5.0,38.0,6.0
5.0,39.0,1.0
5.0,40.0,1.0
5.0,41.0,0.5
5.0,43.0,1.0
5.0,44.0,1.0
5.0,46.0,1.0
5.0,52.0,1.0
5.0,66.0,1.0
5.0,67.0,1.0
6.0,7.0,1.0
6.0,8.0,1.0
6.0,10.0,1.0
6.0,20.0,1.0
6.0,23.0,1.0
6.0,24.0,1.0
6.0,25.0,1.0
6.0,30.0,3.0
6.0,39.0,1.0
6.0,40.0,1.0
6.0,42.0,1.0
6.0,50.0,1.0
6.0,51.0,1.0
6.0,56.0,1.0
6.0,57.0,1.0
6.0,82.0,1.0
7.0,6.0,1.0
7.0,8.0,2.0
7.0,11.0,1.0
7.0,12.0,1.0
7.0,22.0,1.0
7.0,25.0,1.0
7.0,26.0,1.0
7.0,27.0,1.0
7.0,35.0,1.0
7.0,36.0,1.0
7.0,38.0,1.0
7.0,39.0,1.0
7.0,42.0,1.0
7.0,43.0,0.5
7.0,44.0,1.0
7.0,55.0,2.0
7.0,66.0,0.5
7.0,94.0,1.0
8.0,4.0,1.0
8.0,6.0,1.0
8.0,8.0,1.0
8.0,9.0,1.0
8.0,13.0,1.0
8.0,19.0,1.0
8.0,25.0,1.0
8.0,26.0,2.0
8.0,27.0,1.0
8.0,28.0,1.0
8.0,29.0,1.0
8.0,33.0,1.5
8.0,34.0,1.0
8.0,35.0,1.0
8.0,40.0,1.0
8.0,41.0,1.0
8.0,49.0,1.0
8.0,52.0,1.0
8.0,64.0,1.0
8.0,68.0,1.0
8.0,69.0,1.0
8.0,89.0,1.0
9.0,6.0,1.0
9.0,7.0,2.0
9.0,11.0,1.0
9.0,12.0,1.0
9.0,18.0,1.0
9.0,27.0,1.0
9.0,30.0,1.0
9.0,31.0,1.0
9.0,34.0,2.0
9.0,36.0,1.0
9.0,40.0,1.0
9.0,42.0,1.0
9.0,44.0,1.0
9.0,47.0,1.0
9.0,50.0,1.0
9.0,65.0,1.0
10.0,7.0,1.0
10.0,8.0,2.0
10.0,9.0,1.0
10.0,10.0,1.0
10.0,14.0,1.0
10.0,15.0,0.5
10.0,16.0,0.5
10.0,18.0,1.0
10.0,26.0,1.0
10.0,27.0,1.0
10.0,40.0,2.0
10.0,42.0,2.0
10.0,44.0,1.0
10.0,48.0,1.0
10.0,49.0,2.0
10.0,50.0,1.0
11.0,8.0,1.0
11.0,9.0,2.0
11.0,10.0,1.0
11.0,11.0,1.0
11.0,13.0,1.0
11.0,16.0,1.0
11.0,25.0,1.0
11.0,26.0,1.0
11.0,27.0,1.0
11.0,31.0,3.0
11.0,35.0,1.0
11.0,36.0,2.0
11.0,38.0,1.0
11.0,40.0,2.0
11.0,41.0,1.0
11.0,42.0,2.0
11.0,43.0,1.0
11.0,46.0,1.0
11.0,50.0,1.0
11.0,54.0,1.0
11.0,56.0,1.0
12.0,6.0,1.0
12.0,12.0,1.0
12.0,13.0,1.0
12.0,23.0,1.0
12.0,24.0,1.0
12.0,26.0,1.0
12.0,27.0,1.0
12.0,31.0,1.0
12.0,32.0,1.0
12.0,34.0,1.0
12.0,43.0,1.0
12.0,44.0,1.0
12.0,48.0,1.0
12.0,49.0,1.0
12.0,50.0,1.0
12.0,56.0,1.0
12.0,60.0,1.0
12.0,69.0,0.5
12.0,85.0,1.0
12.0,86.0,0.5
12.0,91.0,1.0
13.0,3.0,1.0
13.0,5.0,2.0
13.0,7.0,1.0
13.0,8.0,1.0
13.0,10.0,2.0
13.0,11.0,0.5
13.0,12.0,1.0
13.0,14.0,1.0
13.0,21.0,1.0
13.0,22.0,1.0
13.0,25.0,1.0
13.0,26.0,1.0
13.0,27.0,1.0
13.0,28.0,3.0
13.0,30.0,1.0
13.0,32.0,1.0
13.0,33.0,2.0
13.0,34.0,1.0
13.0,36.0,1.0
13.0,42.0,2.0
13.0,47.0,1.0
13.0,48.0,1.0
13.0,49.0,1.0
13.0,50.0,2.0
13.0,53.0,1.0
13.0,54.0,2.0
13.0,58.0,1.0
13.0,59.0,1.0
13.0,69.0,1.0
14.0,3.0,1.0
14.0,6.0,1.0
14.0,10.0,4.0
14.0,11.0,2.0
14.0,14.0,1.0
14.0,15.0,3.0
14.0,17.0,1.0
14.0,20.0,1.0
14.0,22.0,1.0
14.0,25.0,1.0
14.0,27.0,1.0
14.0,28.0,1.0
14.0,30.0,1.0
14.0,32.0,1.0
14.0,37.0,1.0
14.0,38.0,1.0
14.0,39.0,2.0
14.0,42.0,1.0
14.0,46.0,2.0
14.0,48.0,1.0
14.0,49.0,1.0
14.0,50.0,2.0
14.0,52.0,1.0
14.0,53.0,1.0
14.0,64.0,1.0
14.0,71.0,2.0
14.0,85.0,1.0
14.0,86.0,1.0
15.0,6.0,1.0
15.0,8.0,1.0
15.0,12.0,2.0
15.0,14.0,1.0
15.0,15.0,1.5
15.0,22.0,1.0
15.0,24.0,2.5
15.0,25.0,1.0
15.0,28.0,0.5
15.0,30.0,1.0
15.0,31.0,1.0
15.0,33.0,1.0
15.0,36.0,1.0
15.0,37.0,1.0
15.0,43.0,1.0
15.0,46.0,1.0
15.0,48.0,1.0
16.0,2.0,1.0
16.0,5.0,1.0
16.0,10.0,1.0
16.0,11.0,2.0
16.0,12.0,1.0
16.0,16.0,2.0
16.0,17.0,1.0
16.0,24.0,1.5
16.0,26.0,0.5
16.0,28.0,2.0
16.0,31.0,1.0
16.0,44.0,1.0
16.0,49.0,1.0
16.0,55.0,1.0
