x,y,value
2.0,19.0,0.355556
2.0,75.0,0.122222
3.0,23.0,0.355556
3.0,85.0,0.877778
4.0,87.0,0.133333
4.0,88.0,0.133333
7.0,9.0,0.355556
7.0,15.0,0.244444
8.0,8.0,1.0
8.0,38.0,0.188889
9.0,17.0,0.744444
9.0,73.0,0.877778
9.0,89.0,0.3
10.0,86.0,0.388889
11.0,44.0,0.4
12.0,11.0,0.355556
12.0,82.0,0.4
13.0,38.0,0.266667
13.0,52.0,0.3
13.0,71.0,0.377778
14.0,36.0,1.0
14.0,64.0,0.733333
14.0,87.0,0.3
14.0,90.0,0.744444
15.0,85.0,0.733333
15.0,91.0,0.5
16.0,40.0,0.8
16.0,89.0,1.888889
17.0,54.0,0.388889
17.0,61.0,0.355556
18.0,7.0,1.0
18.0,83.0,0.877778
18.0,94.0,0.944444
20.0,50.0,0.5
20.0,91.0,1.688889
20.0,93.0,0.944444
21.0,34.0,1.0
21.0,56.0,0.744444
22.0,22.0,1.0
22.0,39.0,0.366667
22.0,60.0,0.3
23.0,3.0,0.4
23.0,28.0,1.0
23.0,30.0,0.877778
23.0,59.0,0.133333
23.0,76.0,0.877778
23.0,96.0,0.733333
24.0,22.0,0.366667
24.0,50.0,0.388889
24.0,76.0,0.244444
25.0,24.0,0.988889
25.0,38.0,0.877778
25.0,63.0,0.8
25.0,64.0,0.8
25.0,96.0,0.733333
26.0,7.0,0.733333
26.0,35.0,1.6
26.0,54.0,0.8
27.0,74.0,0.877778
27.0,94.0,0.8
28.0,5.0,1.0
28.0,21.0,0.4
28.0,45.0,0.944444
28.0,63.0,0.5
28.0,71.0,0.5
28.0,73.0,0.744444
28.0,89.0,0.744444
28.0,96.0,0.733333
29.0,34.0,1.0
29.0,37.0,0.733333
29.0,51.0,0.366667
29.0,76.0,0.988889
29.0,96.0,0.733333
30.0,3.0,0.366667
30.0,6.0,0.744444
30.0,14.0,1.0
30.0,36.0,0.388889
30.0,37.0,1.0
30.0,92.0,0.744444
31.0,4.0,1.0
31.0,13.0,1.0
31.0,35.0,0.8
31.0,81.0,0.3
31.0,92.0,1.488889
32.0,10.0,0.222222
32.0,87.0,0.8
32.0,88.0,0.733333
33.0,7.0,0.355556
33.0,10.0,1.0
33.0,19.0,1.0
33.0,28.0,0.988889
33.0,46.0,0.8
33.0,47.0,0.8
33.0,54.0,0.744444
33.0,88.0,0.5
33.0,89.0,0.8
34.0,71.0,0.744444
34.0,76.0,0.244444
34.0,82.0,0.944444
34.0,90.0,0.3
35.0,4.0,0.355556
35.0,22.0,1.0
35.0,79.0,0.877778
35.0,85.0,0.8
35.0,89.0,0.877778
35.0,90.0,0.3
35.0,95.0,0.733333
36.0,2.0,0.366667
36.0,5.0,0.355556
36.0,19.0,0.355556
36.0,24.0,1.0
36.0,69.0,0.744444
36.0,96.0,0.944444
37.0,9.0,0.133333
37.0,26.0,0.8
37.0,53.0,0.4
37.0,68.0,0.744444
37.0,83.0,0.4
37.0,94.0,0.733333
38.0,59.0,0.244444
38.0,61.0,0.733333
38.0,76.0,0.3
38.0,83.0,0.877778
38.0,85.0,0.733333
38.0,88.0,0.8
38.0,93.0,1.244444
39.0,14.0,1.0
39.0,44.0,0.744444
39.0,57.0,0.8
39.0,70.0,0.244444
39.0,81.0,0.133333
39.0,87.0,0.8
40.0,43.0,0.744444
40.0,51.0,0.8
40.0,70.0,0.3
41.0,6.0,0.366667
41.0,22.0,0.8
41.0,34.0,0.8
41.0,57.0,0.944444
41.0,69.0,0.133333
41.0,74.0,0.5
42.0,8.0,1.0
42.0,11.0,0.733333
42.0,23.0,1.0
42.0,66.0,0.988889
42.0,97.0,0.8
43.0,39.0,0.744444
43.0,46.0,0.8
43.0,49.0,1.0
43.0,64.0,0.733333
43.0,66.0,0.988889
43.0,73.0,0.988889
43.0,74.0,0.988889
43.0,92.0,0.733333
45.0,2.0,0.388889
45.0,4.0,1.0
45.0,9.0,0.244444
45.0,14.0,1.0
45.0,22.0,1.0
45.0,52.0,0.744444
45.0,65.0,0.377778
45.0,67.0,0.988889
45.0,68.0,0.877778
45.0,83.0,0.111111
45.0,95.0,0.333333
46.0,46.0,0.944444
46.0,52.0,0.8
46.0,57.0,0.744444
46.0,63.0,0.744444
46.0,90.0,0.8
46.0,97.0,0.8
47.0,24.0,1.0
47.0,43.0,0.988889
47.0,56.0,0.355556
47.0,90.0,0.8
47.0,92.0,0.877778
48.0,22.0,0.144444
48.0,79.0,0.744444
48.0,94.0,0.333333
49.0,50.0,0.8
50.0,61.0,0.744444
51.0,16.0,1.0
51.0,51.0,0.8
51.0,92.0,0.5
52.0,58.0,0.5
52.0,76.0,0.988889
53.0,59.0,0.5
53.0,77.0,1.6
53.0,82.0,0.733333
54.0,23.0,0.733333
54.0,44.0,1.6
54.0,64.0,0.777778
54.0,66.0,0.8
54.0,88.0,0.933333
54.0,89.0,0.944444
54.0,95.0,0.188889
54.0,96.0,0.244444
55.0,3.0,0.988889
55.0,5.0,1.0
55.0,18.0,1.733333
55.0,62.0,0.333333
55.0,70.0,0.333333
56.0,26.0,0.366667
56.0,32.0,0.877778
56.0,57.0,0.3
56.0,76.0,0.6
56.0,93.0,0.122222
56.0,97.0,0.133333
57.0,2.0,0.355556
57.0,11.0,1.977778
57.0,71.0,0.877778
57.0,83.0,0.944444
57.0,87.0,0.133333
57.0,88.0,0.8
57.0,92.0,0.944444
57.0,94.0,0.333333
57.0,96.0,0.4
58.0,10.0,1.0
58.0,21.0,1.0
58.0,32.0,1.0
58.0,33.0,0.366667
58.0,65.0,0.744444
58.0,73.0,0.744444
58.0,83.0,0.8
58.0,90.0,0.122222
58.0,96.0,0.944444
58.0,100.0,0.133333
59.0,45.0,0.744444
59.0,73.0,0.744444
59.0,75.0,0.177778
59.0,79.0,0.744444
59.0,83.0,0.333333
59.0,97.0,0.8
60.0,4.0,0.355556
60.0,15.0,2.0
60.0,24.0,1.977778
60.0,92.0,0.944444
60.0,93.0,0.877778
61.0,11.0,0.988889
61.0,19.0,0.988889
61.0,20.0,0.988889
61.0,43.0,1.0
61.0,61.0,0.3
61.0,70.0,0.3
61.0,80.0,0.8
61.0,82.0,0.8
61.0,86.0,0.8
62.0,4.0,1.0
62.0,26.0,0.988889
62.0,66.0,0.744444
62.0,72.0,0.3
62.0,73.0,0.877778
62.0,75.0,0.8
62.0,85.0,0.877778
62.0,90.0,0.944444
62.0,94.0,0.5
62.0,97.0,0.977778
63.0,2.0,1.0
63.0,9.0,1.0
63.0,44.0,1.733333
63.0,53.0,0.733333
63.0,57.0,0.733333
63.0,60.0,0.988889
63.0,61.0,0.988889
63.0,85.0,0.3
63.0,86.0,0.733333
63.0,89.0,0.122222
63.0,92.0,0.744444
63.0,94.0,0.944444
64.0,7.0,0.755556
64.0,12.0,1.0
64.0,13.0,1.0
64.0,24.0,1.0
64.0,25.0,1.0
64.0,36.0,0.944444
64.0,46.0,0.733333
64.0,63.0,0.722222
64.0,67.0,0.944444
64.0,75.0,1.744444
64.0,77.0,0.8
64.0,85.0,0.8
