x,y,value
0.0,11.0,1.0
0.0,88.0,0.733333
1.0,8.0,1.0
1.0,95.0,0.988889
2.0,2.0,1.0
2.0,5.0,1.0
2.0,24.0,0.266667
2.0,96.0,1.977778
3.0,88.0,0.733333
3.0,89.0,0.988889
3.0,94.0,0.988889
4.0,24.0,1.0
4.0,84.0,0.988889
5.0,5.0,0.255556
5.0,12.0,0.988889
5.0,95.0,0.988889
5.0,96.0,0.988889
5.0,97.0,1.0
6.0,8.0,1.0
6.0,10.0,1.0
6.0,18.0,0.988889
6.0,24.0,1.0
6.0,73.0,1.0
7.0,91.0,0.988889
8.0,90.0,1.0
9.0,43.0,0.988889
10.0,12.0,1.0
10.0,17.0,0.333333
11.0,4.0,1.0
11.0,9.0,0.333333
11.0,10.0,1.0
12.0,5.0,0.966667
12.0,24.0,0.255556
12.0,28.0,0.533333
12.0,61.0,0.5
12.0,64.0,0.5
12.0,85.0,1.0
12.0,87.0,0.322222
13.0,5.0,0.877778
13.0,13.0,1.0
13.0,23.0,1.0
13.0,25.0,0.955556
13.0,52.0,0.744444
13.0,57.0,1.0
14.0,8.0,1.0
14.0,24.0,1.0
14.0,53.0,0.911111
14.0,88.0,1.0
14.0,89.0,1.0
15.0,16.0,0.955556
15.0,58.0,1.0
15.0,67.0,0.988889
15.0,72.0,0.255556
15.0,83.0,0.733333
16.0,75.0,0.322222
17.0,13.0,0.877778
17.0,36.0,1.0
17.0,49.0,1.0
18.0,6.0,0.877778
18.0,22.0,1.0
18.0,27.0,0.988889
18.0,74.0,0.5
18.0,75.0,1.0
18.0,83.0,1.055556
18.0,87.0,0.733333
19.0,5.0,1.988889
19.0,77.0,0.877778
19.0,95.0,1.0
20.0,2.0,0.988889
20.0,5.0,1.977778
20.0,7.0,0.333333
20.0,30.0,0.266667
20.0,37.0,2.133333
20.0,54.0,0.877778
20.0,71.0,1.0
20.0,90.0,1.0
21.0,5.0,1.922222
21.0,7.0,1.0
21.0,11.0,1.0
21.0,13.0,0.966667
21.0,14.0,0.955556
21.0,37.0,1.977778
21.0,38.0,1.0
21.0,68.0,0.988889
21.0,75.0,1.0
22.0,3.0,0.988889
22.0,6.0,1.0
22.0,8.0,0.955556
22.0,9.0,1.0
22.0,10.0,0.966667
22.0,23.0,2.0
22.0,54.0,1.0
22.0,67.0,0.877778
22.0,75.0,1.0
22.0,84.0,0.877778
22.0,94.0,0.988889
23.0,5.0,0.266667
23.0,8.0,1.744444
23.0,14.0,1.955556
23.0,19.0,1.0
23.0,25.0,0.988889
23.0,31.0,0.266667
23.0,51.0,1.0
23.0,60.0,0.988889
23.0,61.0,0.988889
23.0,82.0,0.266667
23.0,92.0,1.0
24.0,3.0,1.0
24.0,7.0,1.0
24.0,9.0,1.0
24.0,12.0,0.988889
24.0,68.0,1.0
24.0,69.0,1.988889
24.0,73.0,0.266667
24.0,75.0,0.266667
24.0,76.0,0.266667
25.0,3.0,0.988889
25.0,5.0,1.0
25.0,6.0,1.0
25.0,12.0,0.988889
25.0,24.0,0.988889
25.0,28.0,2.0
25.0,34.0,0.266667
25.0,66.0,0.877778
25.0,77.0,1.0
25.0,84.0,0.988889
25.0,93.0,0.9
26.0,7.0,1.0
26.0,8.0,0.955556
26.0,9.0,0.955556
26.0,10.0,0.911111
26.0,11.0,0.966667
26.0,16.0,1.0
26.0,63.0,1.0
26.0,84.0,0.988889
26.0,86.0,0.911111
27.0,9.0,0.7
27.0,10.0,2.622222
27.0,14.0,0.744444
