x,y,value
1.0,51.0,0.833333
2.0,46.0,1.0
2.0,48.0,0.944444
3.0,46.0,0.944444
3.0,48.0,0.944444
4.0,53.0,0.833333
4.0,58.0,0.944444
5.0,48.0,0.855556
6.0,38.0,0.833333
6.0,42.0,1.0
6.0,48.0,0.288889
6.0,52.0,1.0
7.0,26.0,1.0
7.0,43.0,0.944444
7.0,44.0,0.511111
7.0,54.0,2.0
8.0,35.0,0.777778
8.0,55.0,0.833333
8.0,80.0,0.988889
9.0,44.0,1.0
9.0,46.0,0.255556
9.0,56.0,1.0
10.0,53.0,2.966667
11.0,86.0,0.855556
12.0,76.0,1.0
13.0,56.0,0.777778
13.0,73.0,1.0
17.0,5.0,0.944444
17.0,93.0,1.0
18.0,46.0,0.833333
18.0,61.0,1.0
21.0,43.0,0.255556
22.0,7.0,0.855556
22.0,9.0,0.855556
22.0,60.0,1.666667
23.0,6.0,0.855556
23.0,66.0,1.0
25.0,9.0,0.777778
25.0,33.0,0.777778
26.0,4.0,0.944444
26.0,23.0,1.777778
26.0,33.0,1.0
26.0,54.0,1.0
26.0,67.0,1.0
26.0,90.0,0.288889
26.0,95.0,0.777778
27.0,28.0,0.777778
27.0,40.0,0.833333
28.0,6.0,1.0
28.0,43.0,0.833333
28.0,62.0,1.0
28.0,85.0,1.711111
28.0,88.0,0.777778
28.0,94.0,1.0
29.0,6.0,0.855556
29.0,7.0,0.855556
29.0,10.0,0.777778
29.0,44.0,1.0
29.0,64.0,1.0
29.0,75.0,1.0
29.0,91.0,0.777778
30.0,45.0,1.711111
30.0,54.0,2.0
30.0,77.0,1.977778
31.0,32.0,2.0
31.0,33.0,1.0
31.0,58.0,1.0
31.0,60.0,1.0
31.0,78.0,1.0
31.0,93.0,0.288889
31.0,95.0,0.122222
32.0,4.0,0.833333
32.0,9.0,0.888889
32.0,11.0,1.0
32.0,32.0,1.0
32.0,37.0,1.0
32.0,40.0,1.0
32.0,67.0,0.888889
33.0,5.0,1.0
33.0,16.0,0.288889
33.0,25.0,0.777778
33.0,95.0,0.288889
34.0,8.0,0.833333
34.0,9.0,0.888889
34.0,30.0,1.0
34.0,45.0,0.822222
34.0,46.0,0.822222
34.0,47.0,0.822222
34.0,48.0,1.0
34.0,56.0,1.0
35.0,1.0,1.0
35.0,8.0,1.0
35.0,12.0,0.833333
35.0,13.0,0.777778
35.0,42.0,1.822222
35.0,78.0,0.266667
35.0,86.0,0.944444
35.0,95.0,1.0
36.0,8.0,1.0
36.0,11.0,0.833333
36.0,15.0,1.0
36.0,19.0,0.855556
36.0,23.0,0.944444
36.0,32.0,1.0
36.0,42.0,2.655556
36.0,46.0,1.0
36.0,47.0,0.855556
36.0,54.0,0.777778
36.0,68.0,0.288889
36.0,87.0,1.0
37.0,7.0,0.833333
37.0,10.0,1.0
37.0,11.0,0.833333
37.0,15.0,1.988889
37.0,27.0,0.944444
37.0,50.0,1.0
37.0,52.0,1.0
38.0,4.0,0.833333
38.0,5.0,0.833333
38.0,11.0,1.0
38.0,25.0,0.944444
38.0,35.0,0.833333
38.0,46.0,1.0
38.0,47.0,1.0
38.0,49.0,1.0
39.0,13.0,2.0
39.0,25.0,0.944444
39.0,36.0,1.0
39.0,69.0,1.0
39.0,73.0,1.0
39.0,81.0,1.0
40.0,2.0,1.0
40.0,17.0,0.722222
40.0,79.0,1.0
40.0,89.0,1.0
41.0,4.0,1.0
41.0,10.0,1.0
41.0,18.0,0.833333
41.0,21.0,1.0
41.0,61.0,0.288889
41.0,89.0,0.288889
42.0,7.0,1.0
42.0,8.0,1.0
42.0,9.0,1.0
42.0,11.0,0.988889
42.0,25.0,1.822222
42.0,26.0,0.888889
42.0,30.0,1.833333
42.0,32.0,1.0
42.0,39.0,1.0
42.0,61.0,0.855556
42.0,77.0,1.0
43.0,14.0,0.888889
43.0,17.0,0.833333
43.0,18.0,1.0
43.0,20.0,2.0
43.0,21.0,1.0
43.0,31.0,1.0
43.0,33.0,0.944444
43.0,38.0,0.833333
43.0,53.0,1.844444
43.0,68.0,0.833333
43.0,70.0,1.0
43.0,85.0,0.944444
44.0,2.0,1.0
44.0,7.0,1.0
44.0,11.0,0.822222
44.0,14.0,0.722222
44.0,21.0,1.0
44.0,23.0,0.888889
44.0,29.0,1.0
44.0,30.0,0.988889
44.0,42.0,1.0
44.0,45.0,0.833333
44.0,50.0,0.988889
44.0,64.0,1.888889
44.0,69.0,0.855556
