x,y,value
0.0,63.0,1.0
1.0,26.0,0.7
1.0,55.0,1.0
1.0,75.0,1.0
2.0,2.0,1.0
2.0,48.0,0.911111
3.0,13.0,1.0
3.0,14.0,1.0
3.0,37.0,1.0
3.0,57.0,1.0
3.0,61.0,1.0
3.0,65.0,1.0
4.0,31.0,0.422222
4.0,69.0,0.855556
5.0,18.0,1.0
5.0,21.0,1.0
5.0,31.0,1.0
5.0,35.0,0.422222
5.0,61.0,1.0
5.0,70.0,1.0
5.0,82.0,1.0
5.0,92.0,1.0
6.0,2.0,1.0
6.0,15.0,0.7
6.0,27.0,0.677778
6.0,29.0,0.422222
7.0,2.0,1.0
7.0,10.0,1.0
7.0,43.0,2.0
7.0,49.0,1.0
7.0,87.0,1.0
8.0,3.0,1.0
8.0,40.0,1.0
8.0,49.0,0.377778
8.0,54.0,1.0
8.0,66.0,1.0
8.0,69.0,1.0
8.0,75.0,1.0
9.0,11.0,1.0
9.0,13.0,1.0
9.0,18.0,1.733333
9.0,40.0,1.377778
9.0,43.0,0.211111
9.0,49.0,0.7
9.0,52.0,1.0
9.0,55.0,0.744444
9.0,57.0,0.822222
9.0,75.0,0.888889
9.0,83.0,1.677778
10.0,11.0,1.0
10.0,17.0,0.7
10.0,18.0,1.0
10.0,20.0,1.0
10.0,34.0,1.0
10.0,39.0,1.0
10.0,42.0,1.0
10.0,48.0,1.0
10.0,50.0,1.0
10.0,53.0,1.0
10.0,62.0,0.744444
10.0,69.0,1.0
10.0,86.0,1.0
11.0,27.0,1.0
11.0,32.0,1.0
11.0,37.0,1.0
11.0,38.0,1.0
11.0,48.0,0.822222
11.0,50.0,1.0
11.0,54.0,1.0
11.0,55.0,1.0
11.0,56.0,0.911111
11.0,63.0,1.0
11.0,64.0,0.744444
11.0,71.0,1.0
11.0,73.0,2.0
11.0,74.0,1.0
11.0,78.0,1.0
11.0,81.0,0.888889
11.0,87.0,0.677778
11.0,88.0,1.0
12.0,12.0,1.0
12.0,14.0,1.0
12.0,28.0,0.733333
12.0,38.0,1.0
12.0,40.0,1.111111
12.0,47.0,1.0
12.0,52.0,0.8
12.0,55.0,0.822222
12.0,63.0,1.0
12.0,64.0,1.0
12.0,67.0,0.422222
12.0,69.0,1.0
12.0,83.0,2.0
12.0,92.0,1.0
13.0,14.0,2.0
13.0,19.0,0.822222
13.0,22.0,1.0
13.0,26.0,0.822222
13.0,36.0,1.0
13.0,59.0,0.855556
13.0,65.0,1.0
13.0,81.0,1.733333
13.0,87.0,1.0
14.0,13.0,1.0
14.0,22.0,1.0
14.0,34.0,1.0
14.0,35.0,0.822222
14.0,62.0,0.677778
14.0,65.0,0.677778
