blocked_x,blocked_y,category,end_x,end_y,goal_mouth_y,goal_mouth_z,match_id,minute,note,outcome,qualifiers,satisfied_event_types,second,type,x,y
,,Tackle,,,,,1983546,0,,Unsuccessful,"{'Zone': 'Back', 'StandingSave': True, 'OppositeRelatedEvent': '16', 'Defensive': True}","[91, 142]",59,Tackle,25.2,78.2
,,Pass,44.1,39.9,,,1983546,2,,Successful,"{'Zone': 'Back', 'PassEndX': '44.1', 'PassEndY': '39.9', 'Length': '18.9', 'Angle': '1.85'}","[91, 117, 30, 35, 37, 216, 218]",9,Pass,49.0,13.2
,,Pass,23.9,61.6,,,1983546,2,,Successful,"{'Zone': 'Back', 'PassEndX': '23.9', 'PassEndY': '61.6', 'Length': '9.9', 'Angle': '3.85'}","[91, 117, 30, 35, 38, 215, 218]",55,Pass,31.1,71.1
,,Pass,33.9,72.9,,,1983546,3,,Successful,"{'Zone': 'Back', 'PassEndX': '33.9', 'PassEndY': '72.9', 'Length': '10.9', 'Angle': '1.83'}","[91, 117, 30, 35, 37, 216, 218]",7,Pass,36.6,57.4
,,Pass,73.8,94.6,,,1983546,4,,Successful,"{'Zone': 'Left', 'PassEndX': '73.8', 'PassEndY': '94.6', 'ShotAssist': '13', 'Length': '21.7', 'Angle': '0.92', 'KeyPass': True}","[91, 119, 117, 30, 123, 205, 40, 46, 36, 37, 217, 218]",35,Pass,61.3,69.1
,,Pass,69.8,42.7,,,1983546,6,,Successful,"{'Zone': 'Center', 'PassEndX': '69.8', 'PassEndY': '42.7', 'Length': '14.5', 'Angle': '1.86'}","[91, 119, 117, 30, 205, 35, 37, 217, 218]",12,Pass,73.7,22.3
,,OffsidePass,87.3,27.0,,,1983546,7,,Successful,"{'PlayerCaughtOffside': '322036', 'Zone': 'Center', 'PassEndX': '87.3', 'PassEndY': '27.0', 'OppositeRelatedEvent': '60'}","[91, 217]",55,OffsidePass,71.7,25.6
,,Pass,84.3,12.1,,,1983546,10,,Successful,"{'Zone': 'Right', 'PassEndX': '84.3', 'PassEndY': '12.1', 'Length': '18.3', 'Angle': '5.99'}","[91, 119, 117, 30, 205, 36, 38, 217, 218]",19,Pass,67.6,19.8
,,Pass,94.7,35.7,,,1983546,18,,Unsuccessful,"{'Throughball': True, 'Zone': 'Center', 'PassEndX': '94.7', 'PassEndY': '35.7', 'Length': '24.9', 'Angle': '0.15'}","[91, 120, 29, 130, 36, 37, 217, 218]",36,Pass,71.2,30.3
,,Pass,78.9,47.5,,,1983546,21,,Successful,"{'Zone': 'Center', 'PassEndX': '78.9', 'PassEndY': '47.5', 'Length': '11.3', 'Angle': '2.58'}","[91, 119, 117, 30, 205, 35, 37, 217, 218]",0,Pass,88.0,38.7
,,Pass,69.1,43.2,,,1983546,21,,Successful,"{'Zone': 'Center', 'PassEndX': '69.1', 'PassEndY': '43.2', 'Length': '11.1', 'Angle': '5.36'}","[91, 119, 117, 30, 205, 36, 38, 217, 218]",56,Pass,62.7,56.2
,,BallRecovery,,,,,1983546,24,,Successful,{},[93],11,BallRecovery,39.6,31.9
,,Pass,29.2,32.5,,,1983546,24,,Successful,"{'Zone': 'Back', 'PassEndX': '29.2', 'PassEndY': '32.5', 'Length': '10.9', 'Angle': '3.10'}","[91, 117, 30, 35, 37, 215, 218]",11,Pass,39.6,31.9
,,Pass,71.4,24.6,,,1983546,26,,Unsuccessful,"{'Zone': 'Center', 'PassEndX': '71.4', 'PassEndY': '24.6', 'Length': '13.2', 'Angle': '5.78'}","[91, 120, 29, 36, 38, 217, 218]",12,Pass,60.4,33.9
,,Pass,81.2,95.1,,,1983546,27,,Successful,"{'FreekickTaken': True, 'Zone': 'Left', 'PassEndX': '81.2', 'PassEndY': '95.1', 'Length': '20.1', 'Angle': '0.92'}","[91, 119, 117, 30, 132, 205, 36, 37, 217, 218]",13,Pass,69.6,71.5
