category,distance,end_x,end_y,gap_seconds,match_id,minute,note,outcome,second,start_minute,start_second,type,x,y
passes,,44.1,39.9,,1983546,2,,Successful,9,,,Pass,49.0,13.2
passes,,23.9,61.6,,1983546,2,,Successful,55,,,Pass,31.1,71.1
passes,,33.9,72.9,,1983546,3,,Successful,7,,,Pass,36.6,57.4
passes,,73.8,94.6,,1983546,4,,Successful,35,,,Pass,61.3,69.1
passes,,69.8,42.7,,1983546,6,,Successful,12,,,Pass,73.7,22.3
passes,,84.3,12.1,,1983546,10,,Successful,19,,,Pass,67.6,19.8
passes,,94.7,35.7,,1983546,18,,Unsuccessful,36,,,Pass,71.2,30.3
passes,,78.9,47.5,,1983546,21,,Successful,0,,,Pass,88.0,38.7
passes,,69.1,43.2,,1983546,21,,Successful,56,,,Pass,62.7,56.2
passes,,29.2,32.5,,1983546,24,,Successful,11,,,Pass,39.6,31.9
passes,,71.4,24.6,,1983546,26,,Unsuccessful,12,,,Pass,60.4,33.9
passes,,81.2,95.1,,1983546,27,,Successful,13,,,Pass,69.6,71.5
passes,,44.2,50.5,,1983546,28,,Successful,46,,,Pass,43.2,43.0
passes,,78.4,31.5,,1983546,30,,Successful,57,,,Pass,75.6,46.8
passes,,69.2,16.6,,1983546,31,,Successful,10,,,Pass,75.8,18.0
passes,,84.4,12.0,,1983546,31,,Successful,24,,,Pass,80.0,19.3
passes,,83.9,7.5,,1983546,31,,Successful,32,,,Pass,73.9,16.8
passes,,60.6,57.0,,1983546,31,,Successful,38,,,Pass,68.5,24.1
passes,,51.2,17.4,,1983546,32,,Successful,20,,,Pass,59.7,7.0
passes,,44.7,52.9,,1983546,32,,Successful,25,,,Pass,55.5,9.3
passes,,90.5,33.3,,1983546,32,,Successful,56,,,Pass,84.0,30.6
passes,,66.3,55.9,,1983546,35,,Successful,46,,,Pass,66.4,79.6
passes,,93.3,60.0,,1983546,36,,Unsuccessful,57,,,Pass,81.9,23.5
passes,,58.4,29.8,,1983546,39,,Successful,29,,,Pass,66.3,24.7
passes,,93.4,49.5,,1983546,44,,Unsuccessful,33,,,Pass,95.8,25.9
passes,,95.1,16.2,,1983546,45,,Successful,20,,,Pass,86.2,17.7
passes,,93.4,16.0,,1983546,46,,Successful,0,,,Pass,83.7,15.0
passes,,57.4,72.0,,1983546,45,,Successful,2,,,Pass,53.6,49.8
passes,,83.5,12.4,,1983546,48,,Successful,12,,,Pass,75.6,27.9
passes,,65.2,71.8,,1983546,50,,Successful,51,,,Pass,64.8,93.9
passes,,74.4,7.5,,1983546,51,,Successful,2,,,Pass,68.7,33.9
passes,,83.6,26.2,,1983546,51,,Successful,38,,,Pass,80.0,11.1
passes,,47.7,65.6,,1983546,52,,Successful,37,,,Pass,55.0,19.5
passes,,58.8,27.7,,1983546,52,,Successful,44,,,Pass,53.1,48.3
passes,,88.1,17.8,,1983546,52,,Unsuccessful,55,,,Pass,74.6,21.3
passes,,30.8,38.8,,1983546,58,,Successful,39,,,Pass,34.9,26.8
passes,,78.9,11.2,,1983546,59,,Successful,24,,,Pass,72.3,14.1
passes,,75.0,30.4,,1983546,59,,Successful,28,,,Pass,76.0,20.7
passes,,85.3,12.3,,1983546,59,,Successful,36,,,Pass,69.9,29.3
passes,,94.6,26.2,,1983546,59,,Successful,40,,,Pass,74.9,18.2
passes,,59.1,42.0,,1983546,59,,Successful,58,,,Pass,57.5,33.6
passes,,66.2,16.8,,1983546,60,,Successful,8,,,Pass,61.0,31.6
passes,,75.5,82.2,,1983546,60,,Successful,20,,,Pass,69.1,32.1
passes,,35.8,63.6,,1983546,62,,Successful,13,,,Pass,38.4,23.4
passes,,58.2,17.2,,1983546,62,,Successful,26,,,Pass,49.6,28.6
passes,,87.9,33.1,,1983546,62,,Unsuccessful,37,,,Pass,67.3,31.3
passes,,64.1,20.1,,1983546,62,,Successful,43,,,Pass,66.7,30.1
passes,,61.2,20.8,,1983546,62,,Successful,45,,,Pass,65.2,30.3
passes,,38.8,36.9,,1983546,63,,Successful,42,,,Pass,46.9,27.0
passes,,37.6,35.8,,1983546,63,,Successful,44,,,Pass,43.7,33.0
passes,,68.2,95.2,,1983546,63,,Successful,56,,,Pass,52.5,57.6
passes,,66.0,60.1,,1983546,65,,Successful,54,,,Pass,65.7,31.8
passes,,77.0,3.7,,1983546,70,,Successful,1,,,Pass,68.6,12.9
passes,,60.3,23.1,,1983546,70,,Successful,41,,,Pass,60.9,6.3
passes,,45.8,13.5,,1983546,71,,Successful,2,,,Pass,63.0,7.9
passes,,40.2,31.0,,1983546,71,,Successful,28,,,Pass,34.0,19.5
passes,,28.4,47.8,,1983546,71,,Successful,31,,,Pass,32.6,29.5
passes,,70.7,59.5,,1983546,72,,Successful,7,,,Pass,73.2,30.7
dribbles,,,,,1983546,28,,Unsuccessful,34,,,TakeOn,53.2,45.6
defensive_actions,,,,,1983546,0,,Unsuccessful,59,,,Tackle,25.2,78.2
defensive_actions,,,,,1983546,24,,Successful,11,,,BallRecovery,39.6,31.9
defensive_actions,,22.7,50.7,,1983546,34,,Successful,30,,,Clearance,14.0,42.9
defensive_actions,,,,,1983546,36,,Successful,52,,,Tackle,87.0,36.0
defensive_actions,,,,,1983546,51,,Successful,36,,,Tackle,75.4,8.2
defensive_actions,,,,,1983546,51,,Successful,38,,,BallRecovery,80.0,11.1
defensive_actions,,,,,1983546,52,,Successful,36,,,BallRecovery,57.0,6.0
defensive_actions,,,,,1983546,70,,Successful,40,,,BallRecovery,57.4,5.5
carries,11.55,73.9,16.8,8,1983546,,"derived (gap+distance heuristic), not a native WhoScored event",,,31,24,,84.4,12.0
