player_id,player_name,season,league,team,minutes_played,age,role_source_column,role_source_value,role_model_family,arbitrated_position,arbitrated_role_group,arbitrated_lane,arbitrated_confidence,position_conflict_flag,season_avg_x,season_avg_y,season_position_zone,spatial_matches_used,spatial_wide_pct,spatial_right_pct,spatial_left_pct,spatial_high_wide_pct,primary_role,secondary_role,role_score,role_bvalue,confidence,cohort_size,warning,measured_metrics_available,measured_metrics_possible,partial_proxies_available,partial_proxies_possible,measured_inputs,partial_proxies,unmeasured_traits
254429,Patrick Mainka,2025-26,Bundesliga,1. FC Heidenheim,3060.0,31.0,arbitrated_role_group,CB,CB,CB,CB,Central Defence,0.87,True,34.19519117647059,37.57344705882353,deep_central,34.0,0.1471,0.1471,0.0,0.0,No-Nonsense Centre-Back,Centre-Back,91.12,0.8224,0.234,886,,2.0,4.0,0.0,0.0,"blocked_shots_per90, aerial_duels_won_per90",,"marking, positioning, jumping, strength, bravery"
981562,Diant Ramaj,2025-26,Bundesliga,1. FC Heidenheim,2790.0,24.0,arbitrated_role_group,GK,GK,GK,GK,Central,0.95,False,13.415341935483871,49.71965483870967,deep_central,31.0,0.0,0.0,0.0,0.0,Ball-Playing Goalkeeper,Goalkeeper,75.58,0.5117,0.83,683,,4.0,5.0,1.0,1.0,"passes_total_per90, passes_accurate_per90, long_balls_accurate_per90, gk_sweeper_accurate_per90",gk_sweeper_total_per90,"kicking, passing technique, composure, decisions, one-on-ones"
311676,Jonas Fohrenbach,2025-26,Bundesliga,1. FC Heidenheim,2327.0,30.0,arbitrated_role_group,FB,FB,LB,FB,Left Fullback,0.81,True,41.9092,78.70507407407406,mid_left,27.0,0.963,0.0,0.963,0.1111,Pressing Full-Back,Holding Full-Back,,,0.0,482,,0.0,4.0,0.0,1.0,,,"aggression, work rate, anticipation"
794995,Niklas Dorsch,2025-26,Bundesliga,1. FC Heidenheim,2270.0,28.0,arbitrated_role_group,CM,CM,CM,CM,Central Midfield,0.85,True,44.588846875,52.366190625,mid_central,32.0,0.0625,0.0312,0.0312,0.0,Pressing Central Midfielder,Advanced Playmaker,,,0.0,1209,,0.0,4.0,0.0,1.0,,,"aggression, work rate, anticipation"
933707,Jan Schöppner,2025-26,Bundesliga,1. FC Heidenheim,2260.0,26.0,arbitrated_role_group,CM,CM,CM,CM,Central Midfield,0.85,True,45.17218064516129,46.127180645161296,mid_central,31.0,0.0323,0.0323,0.0,0.0,Pressing Central Midfielder,Advanced Playmaker,,,0.0,1209,,0.0,4.0,0.0,1.0,,,"aggression, work rate, anticipation"
1142248,Arijon Ibrahimović,2025-26,Bundesliga,1. FC Heidenheim,2181.0,20.0,arbitrated_role_group,AM-C,AM,AMC,AM-C,Central Attacking Midfield,0.85,True,57.1843125,51.1080875,mid_central,32.0,0.5312,0.2812,0.25,0.25,Tracking Attacking Midfielder,Channel Midfielder,76.39,0.5278,0.117,167,,1.0,4.0,0.0,1.0,key_passes_per90,,"marking, work rate, stamina"
168861,Marnon Busch,2025-26,Bundesliga,1. FC Heidenheim,1912.0,31.0,arbitrated_role_group,FB,FB,RB,FB,Right Fullback,0.81,True,43.10482068965517,23.799517241379316,mid_right,29.0,0.931,0.8966,0.0345,0.0345,Pressing Full-Back,Holding Full-Back,,,0.0,482,,0.0,4.0,0.0,1.0,,,"aggression, work rate, anticipation"
909485,Marvin Pieringer,2025-26,Bundesliga,1. FC Heidenheim,1653.0,26.0,arbitrated_role_group,ST,ST,ST,ST,Central Forward,0.86,True,58.16917037037037,48.906303703703706,high_central,27.0,0.037,0.0,0.037,0.0,Target Forward,False Nine,70.56,0.4112,1.0,859,,5.0,5.0,1.0,1.0,"aerial_duels_won_per90, aerial_duels_total_per90, duels_won_per90, fouls_drawn_per90, xg_per90",height_cm,"strength, jumping, balance, bravery, hold-up technique"
920022,Haktab Omar Traore,2025-26,Bundesliga,1. FC Heidenheim,1514.0,28.0,arbitrated_role_group,FB,FB,RB,FB,Right Fullback,0.81,True,49.00550769230769,14.877796153846154,mid_right,26.0,1.0,1.0,0.0,0.1154,Pressing Full-Back,Full-Back,,,0.0,482,,0.0,4.0,0.0,1.0,,,"aggression, work rate, anticipation"
798936,Benedikt Gimber,2025-26,Bundesliga,1. FC Heidenheim,1448.0,29.0,arbitrated_role_group,CB,CB,CB,CB,Central Defence,0.87,True,32.9513761904762,65.88069047619048,deep_central,21.0,0.619,0.0,0.619,0.0,Wide Centre-Back,Centre-Back,59.27,0.1853,0.567,886,,4.0,6.0,0.0,1.0,"progressive_carries_per90, carry_distance_per90, crosses_total_per90, duels_won_per90",,"pace, stamina, agility, work rate, wide defending"
