canonical_key,date,home_team,away_team,competition,round,sofascore_event_id,whoscored_match_id,match_confidence,match_method
None|koln|hoffenheim,,1. FC Köln,TSG Hoffenheim,Bundesliga,1,16434022,1995395,100.0,exact
None|union berlin|eintracht frankfurt,,1. FC Union Berlin,Eintracht Frankfurt,Bundesliga,1,16434026,1995392,100.0,exact
None|mainz|paderborn,,1. FSV Mainz 05,SC Paderborn 07,Bundesliga,1,16434044,1995398,100.0,exact
None|borussia dortmund|hamburg,,Borussia Dortmund,Hamburger SV,Bundesliga,1,16434025,1995391,100.0,exact
None|augsburg|schalke,,FC Augsburg,FC Schalke 04,Bundesliga,1,16434039,1995389,100.0,exact
None|bayern munich|stuttgart,,FC Bayern München,VfB Stuttgart,Bundesliga,1,16434087,1995388,100.0,exact
None|leipzig|borussia mgladbach,,RB Leipzig,Borussia M'gladbach,Bundesliga,1,16434023,1995390,100.0,exact
None|freiburg|werder bremen,,SC Freiburg,SV Werder Bremen,Bundesliga,1,16434029,1995396,100.0,exact
None|elversberg|leverkusen,,SV 07 Elversberg,Bayer 04 Leverkusen,Bundesliga,1,16434020,1995393,100.0,exact
None|leverkusen|union berlin,,Bayer 04 Leverkusen,1. FC Union Berlin,Bundesliga,2,16434042,1995394,100.0,exact
None|borussia mgladbach|elversberg,,Borussia M'gladbach,SV 07 Elversberg,Bundesliga,2,16434028,1995397,100.0,exact
None|eintracht frankfurt|augsburg,,Eintracht Frankfurt,FC Augsburg,Bundesliga,2,16434021,1995399,100.0,exact
None|schalke|bayern munich,,FC Schalke 04,FC Bayern München,Bundesliga,2,16434032,1995405,100.0,exact
None|hamburg|mainz,,Hamburger SV,1. FSV Mainz 05,Bundesliga,2,16434030,1995400,100.0,exact
None|paderborn|freiburg,,SC Paderborn 07,SC Freiburg,Bundesliga,2,16434024,1995403,100.0,exact
None|werder bremen|leipzig,,SV Werder Bremen,RB Leipzig,Bundesliga,2,16434101,1995410,100.0,exact
None|hoffenheim|borussia dortmund,,TSG Hoffenheim,Borussia Dortmund,Bundesliga,2,16434019,1995401,100.0,exact
None|stuttgart|koln,,VfB Stuttgart,1. FC Köln,Bundesliga,2,16434036,1995408,100.0,exact
None|koln|werder bremen,,1. FC Köln,SV Werder Bremen,Bundesliga,3,16434027,1995417,100.0,exact
None|union berlin|schalke,,1. FC Union Berlin,FC Schalke 04,Bundesliga,3,16434045,1995427,100.0,exact
None|mainz|eintracht frankfurt,,1. FSV Mainz 05,Eintracht Frankfurt,Bundesliga,3,16434018,1995423,100.0,exact
